temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001906,1170495758,866180047,307441,755079,107827689,287447,307714
59072,1.002358,1319885049,966235738,349168,870619,120323750,320802,349071
61224,1.002273,1358008142,967734402,470277,867843,120479739,442566,470272
62300,1.002371,1332440823,964257057,399218,853921,120052433,372079,399229
62838,1.002085,1304364960,968716180,332223,878033,120641679,303806,332221
63914,1.010421,1371910638,968383315,537595,849951,120528534,511580,537597
63914,1.002086,1311200048,970278160,332212,879424,120836246,303742,332212
64452,1.001454,1359253432,965931987,537851,856157,120230736,511471,537850
65528,1.001425,1320231423,968449780,331595,873911,120605077,303224,331602
64990,1.001526,1366163703,968192467,469468,862655,120532033,441886,469472
65528,1.007833,1353783214,971183883,400781,866932,120921737,372594,400784
65528,1.001540,1365323113,970683119,467843,867875,120846065,439764,468352
66066,1.001185,1316887270,964695462,332879,856206,120123674,303897,332272
66604,1.001773,1364680941,967799659,467928,851746,120473701,441535,467930
66604,1.001250,1346748143,968218620,399893,860863,120549231,371958,399893
67142,1.005453,1313411837,947876520,381157,857202,118032178,353697,381458
67680,1.001417,1339386495,965408826,416939,854347,120191147,390708,416688
67680,1.001485,1345662701,967912505,399987,867037,120516813,372600,399990
67680,1.001496,1364894755,966254125,468102,856736,120286818,441672,468099
68218,1.001449,1346045858,970337991,400655,869826,120819648,372463,400659
68756,1.006522,1368704514,970121738,469176,859059,120767568,441895,469168
68756,1.001466,1325630746,967671763,330156,861740,120497996,302281,330161
69294,1.001499,1366268538,968097741,469210,854349,120512974,441320,469217
69294,1.001272,1345951559,968223922,399919,857273,120546748,371728,399922
68756,1.001429,1344666419,968111750,400063,855980,120531735,371745,400071
69832,1.010321,1348077266,973095900,399336,854811,121147618,371717,399331
69832,1.001629,1345168459,970646072,400254,866455,120854826,372272,400262
70370,1.001368,1353172201,964966292,467145,842750,120114989,440669,467146
70370,1.001279,1316222738,968796751,331122,871738,120646152,302994,331128
70908,1.001471,1368276995,970376195,537676,858522,120783106,511307,537668
70370,1.004890,1313924266,967176273,329039,860020,120435078,302893,329051
70908,1.001706,1305397209,970307464,330124,882065,120842328,303876,330125
70908,1.001468,1347406529,963859821,535368,849107,119967983,511439,535367
70908,1.001474,1310393527,971015159,330008,883991,120931693,303897,330012
70908,1.001663,1367307033,964438510,536313,850075,120040517,511308,536320
71984,1.012461,1321810344,978640917,331336,886978,121878340,304000,331338
71984,1.001431,1372145740,965902506,537087,854910,120225946,511269,537089
70908,1.001476,1315968452,967988217,330621,869152,120543750,302928,330621
71984,1.001469,1360040427,970655554,469533,866544,120840405,442009,469530
71984,1.001103,1342688105,965489507,399096,852945,120204445,371503,399098
72522,1.011380,1357010106,977168305,400892,875340,121670092,372821,400901
71984,1.001312,1338451090,965702925,399160,850446,120228554,371362,399166
72522,1.001540,1346401433,967981515,399689,857466,120516966,371705,399692
73060,1.001532,1368098897,968382433,469278,853191,120547179,441192,469277
72522,1.001308,1322311622,967852747,330654,858356,120517419,302070,330663
72522,1.006586,1367891291,970921953,468847,852147,120860551,441281,468846
73598,1.001251,1345747568,967714693,399956,854638,120481361,371548,399955
73598,1.001274,1344195947,968859437,392908,865390,120634585,364864,393211
73060,1.001540,1332853859,964518143,404678,848189,120078152,378645,404427
73060,1.001533,1346122459,968284100,399592,866205,120562103,372459,399597
73598,1.009503,1373413757,973166452,468828,865109,121149921,442097,468829
73598,1.001308,1347431924,968597695,400484,867446,120602007,372500,400485
73598,1.001448,1345078411,967895088,400241,863068,120511258,372069,400255
