temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001628,2382393333,1993635507,21225,14346577,241514147,9050,21227
58534,1.001038,2386108802,1943983174,901,1050326,241591612,1506,905
59072,1.001546,2376233482,1936011317,935,1046292,240598249,1031,933
60148,1.001266,2383748290,1942327760,785,1033518,241374470,1258,788
60148,1.000877,2356935980,1920349988,1268,1030786,238652263,1261,1269
60148,1.001376,2388801015,1946405000,870,1039262,241890880,1272,868
61224,1.000815,2393474941,1948943550,603,1039331,242206160,839,605
61224,1.000992,2395024959,1951552256,599,1040645,242530605,796,601
61224,1.000814,2394906527,1951460520,517,1040576,242519340,794,516
62300,1.000879,2391725472,1948763457,868,1039787,242184954,1559,865
62300,1.000914,2380417277,1939430659,2370,1037349,241026046,1803,2371
62300,1.000901,2381982533,1940779734,2055,1037658,241193583,1342,2057
62838,1.000821,2381820822,1940647808,2004,1037274,241176833,1400,2005
62838,1.000614,2381077247,1940033649,2002,1037062,241100576,1413,2003
62838,1.000631,2380911170,1939934841,2233,1037503,241088770,789,2235
62838,1.138044,2705457388,2204290281,2808,1179214,273941958,1635,2806
63376,1.000599,2381921186,1940707257,2047,1037763,241184624,1316,2052
63376,1.000621,2378641094,1938026649,2390,1036378,240851848,1355,2388
63914,1.000620,2381893005,1940703121,1986,1037558,241183987,1340,1987
63376,1.000586,2381240720,1940177574,2005,1037021,241118725,1337,2006
64452,1.000585,2380684285,1939714492,2080,1036737,241061389,1350,2082
63914,1.000835,2381504261,1940384739,2093,1037350,241144385,1426,2095
64452,1.000830,2381961217,1940769105,2060,1037328,241192087,1375,2060
64452,1.000866,2382254449,1941027550,2095,1037785,241224386,1066,2096
64452,1.000629,2382435113,1941141601,2015,1037427,241238975,1372,2015
64452,1.000610,2383772524,1942234018,1729,1037636,241373640,1414,1732
65528,1.000610,2393278519,1950083064,553,1039748,242348103,1174,559
64452,1.000607,2392926686,1949792547,613,1039432,242312071,1214,617
64452,1.000606,2385381741,1943567771,1655,1038070,241539617,1312,1660
65528,1.000600,2385200568,1943443558,1774,1038391,241524050,1026,1773
65528,4.557539,10870515008,8856139706,5842,4725169,1100602638,2292,5841
65528,1.000640,2394346626,1950946412,499,1040288,242455405,1191,502
66066,1.000600,2394917322,1951477525,435,1040264,242522071,762,441
65528,1.000826,2395716708,1952129767,478,1040575,242602851,749,482
66066,1.001048,2395752891,1952154558,583,1040475,242605523,761,589
65528,1.001441,2395287351,1951667225,831,1040830,242545233,1575,831
