temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001971,1206858558,1003390056,165812,14032994,118627905,139242,166326
59072,1.393222,2849005403,2222386826,358286,1521768,276417666,333831,357887
62300,2.658874,4879954066,3712557208,861262,2622724,461771755,812430,861256
63914,1.000952,1831219517,1414994602,242784,987616,176014498,226236,242785
64452,1.000989,1960216164,1524130766,245546,1067397,189583998,227525,245559
64990,1.001451,1990117058,1525260898,314120,1064763,189712742,296801,314115
64990,1.001498,1786155094,1371204640,314471,975941,170562786,297059,314476
65528,1.001598,2166144059,1669592277,314145,1138116,207635451,296440,314150
67142,2.238270,4031518644,3101139970,639787,2208334,385752155,597032,639788
66604,1.010006,1921406436,1481464804,247275,1037585,184277599,227232,247281
67680,1.003821,1971010969,1507719536,316160,1042768,187520490,296416,316161
67680,1.002485,2047960480,1562860077,384588,1075873,194361743,366106,384586
67680,1.001884,1825036641,1402661282,244029,985760,174471843,226938,244042
68756,1.004044,2004331409,1562875755,245569,1089077,194401900,227669,245568
69832,6.596392,12386890057,9463560065,2053653,6717588,1177126021,1926838,2053655
69832,1.001711,1780578607,1370893809,244478,970246,170535086,226709,244486
70908,1.001611,1588378362,1221912753,248112,917819,152039409,227837,248107
70908,1.976730,3472380594,2619348322,699593,1891998,325807403,662089,699596
71984,4.766315,9041227595,6934648183,1362810,4908512,862579837,1269398,1362812
71984,1.377779,2500982551,1923281284,395183,1346457,239202288,373767,395189
71984,1.001443,1777733287,1359984252,290267,988740,169199033,271070,290668
73060,3.600718,6938639168,5323444178,1059542,3704561,662105920,992888,1059258
73598,3.571616,6564049373,5041606856,965822,3585884,627136310,900110,965823
73598,1.001141,1685641794,1255606924,385255,917095,156177680,366020,385252
74136,1.000941,1828096815,1398785627,279105,995188,173998071,258250,279105
74136,1.000981,1935008087,1493673364,281848,1030513,185781267,264500,281860
74136,1.001290,1912658884,1486866375,247578,1038589,184952894,226677,247572
75212,1.112435,2079009999,1599077822,322727,1128535,198901979,298553,322735
75212,1.002893,2035813509,1560420119,317356,1088856,194082537,296948,317352
75212,1.001079,1940089217,1486048399,315846,1034157,184829808,296532,315844
75212,1.002179,1929394462,1481093670,315883,1048836,184224773,297012,315890
75212,1.001027,1850222780,1407667870,315420,995854,175086660,296258,315412
75212,1.000883,1868808130,1443799011,244237,997743,179589533,226232,244243
75750,1.001252,2107580034,1639453528,243567,1115602,203902747,226771,243570
75750,1.001366,1983909499,1544872582,244525,1069076,192149875,227325,244526
75212,1.000889,2297652547,1822036459,228641,1121669,226511500,219396,228637
75212,1.000942,2398234429,1902553084,227523,1154150,236514466,218518,227521
75212,1.001098,2159200147,1683748645,245061,1129509,209413172,225681,245072
75750,2.052850,4024411070,3096543197,700862,2165541,385125029,664259,700856
77364,5.507458,10617757006,8160249759,1592498,5689333,1014968962,1485100,1592498
77364,2.567338,4749012186,3643012686,719060,2587915,453155656,673240,719064
77902,1.001359,1865309257,1443640236,245209,1017732,179574706,227783,245210
77364,1.002062,2047156433,1562965657,382773,1072643,194364763,365993,382772
77902,1.001295,1800103423,1373439963,247473,983935,170859543,227376,247477
77902,5.365206,10003905500,7645749484,1591254,5438735,951038820,1485823,1591255
78440,1.001300,1757407308,1349742575,274618,944693,167889522,258937,274998
78440,1.000966,1702870199,1308585154,212859,957941,162813257,194304,212554
78440,1.001546,1822914721,1380365435,451800,970712,171651361,435611,451800
79516,1.000903,1784975319,1371934864,245562,984901,170671989,227802,245563
78978,1.001144,1847298178,1438614628,245661,1022500,178961512,227937,245661
78978,1.000961,1945691732,1499263533,278006,1062127,186501700,259052,278014
78978,1.190145,2129559937,1625463986,426713,1142129,202147861,406901,426716
79516,1.000894,2056229005,1596752306,245582,1099747,198604776,226628,245580
79516,1.000981,1800870069,1371081697,316124,977898,170551256,296719,316130
79516,1.001074,1785056793,1361014484,290325,975882,169299248,271665,290711
79516,1.001225,2006332573,1557832454,267338,1063054,193748949,250681,267065
