temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001680,2968370513,2525298112,15135,27836354,301235933,9689,15138
59072,1.000670,2384756153,1942987837,752,1042721,241463109,1493,754
59610,1.000768,2354953882,1918777038,948,1027420,238455171,1514,951
60686,1.000647,2388452467,1946118395,591,1037465,241851363,1378,589
60686,1.000656,2363497377,1925858248,824,1023195,239332268,1489,827
61762,1.000616,2389249634,1946856757,479,1036764,241942140,775,481
61224,2.687119,6429464534,5238962198,902,2791211,651073784,1862,902
61762,1.000655,2379268689,1938619692,716,1033951,240921606,1406,718
61762,1.000580,2381538015,1940468601,711,1035716,241153103,1367,715
62300,1.000568,2384661877,1943024688,611,1036535,241470785,1340,612
62300,1.000576,2384699063,1943045446,618,1036856,241473323,1380,619
62838,1.000579,2393331296,1950099819,484,1039678,242349425,1343,482
62300,1.000557,2390270297,1947610345,535,1038631,242039967,1293,535
62300,1.000579,2387802535,1945594518,629,1037876,241790005,1317,633
63376,1.000573,2393375397,1950145766,481,1039720,242355448,1315,481
62838,1.000560,2393270592,1950062325,508,1039763,242345024,1275,505
63376,1.000572,2393086651,1949901410,491,1039482,242325108,1364,492
63376,1.000570,2393420122,1950176640,489,1039775,242359287,1318,492
63376,1.000611,2393420104,1950182063,450,1039886,242359430,1155,449
63914,6.757612,16156637987,13165174789,1553,7016806,1636105886,2475,1553
64990,1.000833,2380937059,1939736775,962,1048204,241061858,1918,964
64990,1.000903,2379946577,1938987632,825,1047896,240969383,1479,829
64990,1.000849,2379960886,1938994500,878,1047711,240970051,1581,880
64990,1.001543,2384716729,1942869310,1063,1050043,241451164,1517,1065
64990,1.000615,2385367014,1943470721,603,1050291,241525898,798,608
65528,4.744195,11311754693,9216360968,1946,4975474,1145362136,2090,1946
65528,3.227447,7704921549,6277944365,1541,3364496,780181310,2317,1542
66604,1.001439,2399213381,1954957239,688,1038640,242946120,1459,692
66604,1.002550,2398329744,1954290864,831,1038638,242863410,1026,834
66604,4.637531,11093433093,9039555018,1750,4812283,1123363093,2280,1749
66604,1.000847,2368301501,1929551370,861,1042619,239795676,844,863
66604,2.288949,5485477225,4468386677,1065,2371968,555292606,2267,1066
67680,1.001528,2400035713,1955525815,763,1038933,243016644,1754,763
67680,1.001475,2400189773,1955762988,661,1039034,243046233,1373,663
67680,1.001512,2400489812,1956012098,701,1039139,243076980,1261,700
68218,4.923567,11803243197,9618151014,1411,5103445,1195259302,2548,1411
67680,1.001470,2399982605,1955564406,673,1038925,243021197,1607,674
68218,1.001512,2400183573,1955755978,665,1038978,243044995,1370,668
67680,1.001502,2400527834,1956050141,635,1039076,243082023,1328,634
68218,1.002592,2403302368,1958302753,848,1040467,243361925,1404,850
68218,1.003314,2404760947,1959501770,907,1041121,243511393,1354,908
68218,5.227026,12531277598,10211452180,1663,5418558,1268989323,2460,1665
68756,5.015851,12025277945,9799146002,1470,5199705,1217752225,2371,1470
69294,4.539643,10883810971,8868986069,1221,4705947,1102160071,2232,1222
69294,1.000844,2398544624,1954401883,689,1038176,242877526,1578,691
69294,1.000599,2398505968,1954395059,559,1038053,242876218,1369,558
69294,1.006182,2411614733,1965082003,562,1043700,244204232,1436,564
