temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.008514,2293616394,1824492795,179900,1203053,226911749,160323,179904
59072,1.002647,2181847857,1725705407,220796,1133883,214628439,195510,220798
60686,1.002542,2424431872,1917790325,237967,1228088,238484314,215336,238267
61762,1.001904,2433974531,1922374080,210015,1251683,239076548,188693,209759
62300,1.001537,2119577195,1653646887,318292,1117116,205659335,294621,318296
63914,1.002403,2477411577,1959619745,243847,1262958,243687515,223788,243847
63914,1.002178,2205164963,1728615042,247593,1172918,215001725,225633,247597
64990,1.003259,2506984149,1984543184,243313,1279660,246783167,224267,243317
65528,1.003298,2390460579,1885491468,246881,1231933,234481156,224326,246880
65528,1.001194,2378093197,1876316662,246161,1228506,233341161,223887,246164
66604,1.001129,2144220749,1666240427,317770,1126941,207229600,294425,317768
66604,1.001094,2491613670,1970531818,242396,1268913,245041284,223356,242397
66604,1.001125,2353004228,1864218377,245285,1227221,231842999,224238,245283
67142,1.000902,2571741183,2032413604,241634,1293478,252731956,222357,241634
67680,1.001124,2629629287,2096719613,172948,1341953,260745948,153497,172955
67680,1.001100,2196791227,1711237068,316310,1140470,212816273,294026,316307
68218,1.000883,2195792875,1712889693,317240,1146390,213019186,294199,317241
68756,1.000946,2208236908,1750759139,178524,1175428,217773666,155292,178525
69294,1.000830,2448358442,1912796677,312532,1233504,237852909,292407,312535
69294,1.000841,2364329133,1872715422,247789,1237976,232913589,224213,247790
68756,1.000833,2191605783,1723946698,246277,1154023,214418145,224252,246278
70370,1.001015,2367811420,1868950315,245000,1224174,232430747,223810,245003
69832,1.000877,2574515183,2034987372,243442,1287906,253035322,222348,243446
69832,1.005071,2352583030,1846304021,244609,1215541,229625945,224536,244609
70370,1.000826,2347895597,1848213359,245686,1228089,229856274,224794,245690
70370,1.001262,2477037831,1959790827,243498,1271831,243716176,224358,243503
70908,1.001103,2286857549,1786496236,315828,1178214,222155238,294391,315830
70908,1.001441,2401929876,1888600237,245363,1240778,234885002,224296,245359
70908,1.000929,2253469727,1769828406,246778,1168963,220107754,224209,246784
71984,1.001046,2422285077,1915399957,245759,1250287,238207855,224286,245753
71446,1.000675,2194607330,1723676577,245915,1153598,214380351,224863,245918
71984,1.006956,2361368421,1858442580,245152,1233005,231133327,225218,245151
71984,1.000972,2506249617,1967515630,313297,1252195,244642649,292610,313296
71984,1.000820,2369498744,1866232219,246487,1222706,232077225,224210,246490
72522,1.005842,2314239608,1812718381,244984,1198682,225450318,225007,244983
72522,1.000990,2333540040,1851848641,177388,1235343,230336289,155726,177387
73060,1.000818,2525390595,1983315564,310972,1254793,246590608,292200,310971
72522,1.005343,2429232776,1938551706,175414,1269097,241099491,155338,175413
73060,1.003827,2365633869,1850369975,313545,1216097,230102057,294211,313544
73598,1.004826,2336787086,1842232229,280390,1223630,229105880,260821,280387
73598,1.004023,2222951230,1752288510,212293,1183141,217956384,190543,212295
73598,1.001069,2396578455,1890786307,244607,1237459,235142614,224661,244603
74136,1.001675,2475534119,1947216720,312399,1260406,242127151,293539,312403
74136,1.011031,2340797152,1848262703,244545,1213635,229847684,224979,244550
74136,1.001348,2367662532,1873670588,247124,1232948,233024362,224874,247118
74136,1.000978,2187847883,1712923931,248608,1150673,213047462,225106,248612
75212,1.001085,2237577433,1754474498,248954,1176657,218210492,225272,248958
74674,1.001094,2511049053,1974508106,311867,1257814,245511229,293090,311868
74674,1.000919,2314751203,1841764537,177920,1233060,229081697,155792,177919
75212,1.001187,2192808593,1703469180,315261,1149501,211853713,295505,315262
75212,1.001135,2488619224,1969397821,243143,1271450,244903522,223928,243145
75212,1.001264,2526831320,1996477954,243158,1288123,248272453,223813,243157
75212,1.000983,2725017766,2160030464,239783,1344675,268572490,222410,239789
75212,1.001099,2608358342,2066028277,243454,1318387,256912086,222624,243454
75750,1.000985,2495731987,1972750420,244712,1271856,245317908,222834,244708
76288,1.000979,2238298460,1770489736,178445,1180494,220221089,154169,178450
76288,1.001195,2341276263,1845568407,244859,1218004,229524550,224385,244867
76288,1.001395,2245573957,1749620086,316800,1167931,217595227,294181,316795
76288,1.000802,2414807939,1903305496,244693,1237897,236687264,223378,244697
76826,1.000943,2069791017,1621500849,249026,1106101,201686552,224950,249028
76288,1.001142,2344579366,1837284946,314205,1199425,228464115,293202,314208
76288,1.000979,2185687286,1728947496,180619,1151468,215061988,153492,180624
77364,1.001129,2126266118,1654985090,319121,1110799,205826285,292869,319127
76826,1.001011,2827670696,2261279295,170598,1398473,281167095,151681,170595
77364,1.005599,2582202101,2040595150,244365,1296735,253745714,222055,244369
77364,1.000849,2657515092,2105541475,242320,1317057,261805265,221284,242321
77364,1.001415,2830624136,2264315022,172049,1393459,281542660,151396,172047
77364,1.000751,2834296544,2253894918,240507,1399740,280238912,221729,240511
77364,1.000970,2665943893,2123117111,172860,1329567,264001154,152054,172866
77902,1.001412,2806877337,2241815837,171454,1383015,278744845,151337,171455
77364,1.000857,2596717888,2054789087,242958,1307754,255514899,222102,242961
77364,1.000977,2796041398,2221844274,240066,1376515,276252978,221259,240072
77364,1.001237,2499934255,1976659948,245120,1271204,245811571,222698,245122
77902,1.001097,2462504886,1943319882,246446,1266501,241673669,223334,246445
78440,1.000995,2723215530,2169556645,241486,1354350,269764165,221616,241490
77902,1.000722,2656689759,2115082903,169314,1322870,263006140,149516,169637
78440,1.000751,2646375121,2105703256,174295,1314729,261839588,153808,174063
78440,1.000758,2619901983,2071341573,242023,1298898,257556860,221481,242027
78440,1.000748,2235483260,1743341428,315766,1159995,216809722,293060,315766
78978,1.000732,2522897487,2002522612,215184,1298428,249036821,194015,215187
78440,1.000957,2656036344,2107324933,201709,1332373,262041662,181797,201710
78978,1.001408,2700764460,2138281238,241252,1341804,265875701,222370,241257
78978,1.001320,2680276111,2135801504,183477,1364928,265602418,164343,183481
78978,1.000866,2406061344,1901331192,235267,1241245,236459239,212072,235278
79516,1.001090,2125492889,1663378749,318331,1131329,206887078,294431,318328
79516,1.000868,2595038874,2064581253,173648,1321518,256751019,152921,173652
79516,1.000866,2759879426,2189629686,240263,1361147,272251625,221287,240263
79516,1.001059,2773495835,2211776642,171827,1376560,275025239,151564,171830
79516,1.000863,2684215957,2123531018,241549,1326763,264041911,221096,241550
79516,1.000994,3000830907,2406950058,167784,1465521,299265065,150896,167783
79516,1.000838,2629614341,2076660149,242369,1306848,258221184,221502,242371
