temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001622,2745213297,2234932905,32726,1278585,277843604,6507,32728
58534,1.007198,3235392577,2634899562,27140,1465215,327540195,1049,27144
60148,1.001462,2980499096,2427064642,30308,1360022,301723905,848,30307
61762,1.015318,2978742368,2425489421,30714,1364864,301528654,963,30713
62300,1.009073,2856434868,2325585238,33012,1325221,289127388,1082,33013
62838,1.009789,3142728954,2559156181,28503,1435265,318133031,1044,28508
62838,1.009897,2807856121,2286127992,33253,1296730,284221539,1026,33259
64452,1.009782,3200194042,2606173642,27680,1452848,323974308,1043,27681
64452,1.007403,3046237019,2480638798,29838,1387878,308379646,1095,29839
64990,1.007967,2845463226,2316907059,32209,1304451,288038930,998,32209
65528,1.005378,3025363062,2463469623,29415,1385868,306243967,1030,29420
65528,1.007530,3151960345,2566766686,28254,1433408,319075363,1052,28256
66066,1.007473,2936792908,2391315246,31236,1346188,297282888,1005,31234
66066,1.007521,2879125937,2344315470,32275,1319313,291438638,1061,32277
66604,1.009841,3068676440,2498778742,28938,1405962,310634809,1038,28937
66604,1.011106,2733445228,2225454899,34060,1265816,276683161,1005,34058
67142,1.003361,2795573364,2276121600,33253,1288657,282972125,966,33256
67680,1.000597,2922538556,2379518220,30758,1352394,295820807,885,30763
67680,1.000586,3143927442,2560102269,28071,1441113,318258236,791,28073
67680,1.000577,3032593706,2469304200,29429,1395710,306976399,809,29433
68756,1.000584,2980108725,2426725985,30372,1358705,301675593,836,30374
68756,1.003973,2817782195,2294126867,32587,1305300,285215432,1008,32592
68756,1.001249,2973432836,2421131146,30682,1365680,300992626,906,30684
68756,1.000876,2761822064,2248632620,33388,1276551,279563064,887,33387
69294,1.000835,2616410657,2129826108,35616,1231695,264811864,814,35618
69832,1.000829,3063480459,2494494373,29009,1408822,310105636,919,29013
69832,1.000848,2869844603,2336556559,31581,1330544,290483609,876,31581
70370,1.000634,2826220506,2301030886,32230,1307113,286071314,774,32234
70370,1.000592,3051681093,2484929220,28938,1398985,308913058,841,28942
70908,1.000578,3024936853,2463304956,29608,1377952,306225317,816,29608
70908,1.000580,2690965251,2190839258,34280,1246618,272383080,779,34284
70908,1.000582,2941398718,2395049867,30678,1350878,297753340,800,30679
70908,1.000578,3078756128,2506966856,28999,1414952,311653258,825,29000
71446,1.000603,2855198224,2324694283,31426,1319481,289009718,809,31428
71446,1.000712,2959070843,2409359244,30544,1364519,299529903,866,30544
71984,1.000682,2777250487,2261246250,33055,1278479,281126904,838,33053
71984,1.000580,2975114132,2422480260,30116,1369361,301159715,782,30119
71984,1.000787,2848883059,2319451640,31758,1323613,288361448,807,31761
71984,1.000812,3043763559,2478566931,29276,1390903,308122412,842,29278
72522,1.000754,2928831605,2384699203,30984,1351552,296466175,812,30987
72522,1.000574,2977711296,2424547502,30454,1373707,301415464,818,30455
73060,1.000632,3170046629,2581443248,27488,1450154,320907709,860,27489
73060,1.000574,2977780702,2424582505,30251,1375611,301417251,790,30253
72522,1.000620,3237230726,2636246743,26676,1476934,327711513,842,26676
73598,1.000595,2953341238,2404905986,30268,1347615,298967179,806,30267
73060,1.000629,2795192279,2275954233,33006,1282481,282951441,830,33010
73598,1.000574,3112441153,2534572093,28295,1419852,315080950,839,28294
74136,1.000610,3082150899,2508896114,28600,1405834,311890128,939,28602
74136,1.000768,2943642187,2396864747,30890,1353288,297978633,850,30891
74136,1.000778,3230221461,2630521965,26220,1472804,326992060,862,26226
74136,1.000861,2929342427,2383837306,30420,1350127,296358940,962,30421
74136,1.000771,2944404837,2397437610,30962,1353699,298043739,806,30964
74136,1.000573,2639180107,2148666971,35011,1223333,267140484,818,35011
74674,1.000618,3051405236,2484677706,29169,1402299,308888068,872,29174
74674,1.000576,2805980623,2284629378,32300,1294499,284030440,745,32302
75212,1.000665,2767534596,2253337332,32674,1274308,280142896,838,32675
75212,1.000636,3003468040,2445671584,29380,1378110,304040609,849,29380
75212,1.000628,2723137960,2217132169,32850,1257301,275646756,767,32847
75212,1.000587,2849530473,2320263284,31877,1306111,288457149,840,31881
75212,1.000944,2840131920,2312524879,32392,1303368,287491345,946,32396
75750,1.004944,3145254110,2561381597,27944,1428712,318407615,943,27943
75750,1.000640,3047689754,2481828404,29063,1390865,308531019,844,29061
75212,1.000613,2908518103,2368135683,30759,1341406,294403331,797,30759
75750,1.007288,3039867290,2475274734,29459,1394584,307716187,963,29462
75750,1.000578,2842788788,2314773384,31528,1303060,287771788,816,31531
76288,1.007132,2883613898,2347916151,31073,1327515,291896002,1038,31078
76826,1.003762,2795524120,2276167288,33238,1283721,282977576,982,33239
76826,1.003297,2901321927,2362468309,30988,1328797,293699523,788,30994
76288,1.003768,2807275462,2285764771,32945,1289420,284175399,923,32943
76288,1.003285,2856617790,2326034159,32423,1307807,289166856,870,32420
76826,1.009634,3167501200,2579604315,27711,1434144,320671900,969,27712
76826,1.003284,3134440233,2552523488,28315,1426338,317304157,900,28315
76826,1.009475,3125531580,2545073221,29126,1432370,316387770,1023,29128
77364,1.004080,2930345242,2385971940,31028,1348161,296622202,971,31027
77364,1.006620,2953679753,2405039071,31068,1356677,298987845,1048,31070
76826,1.007397,2729076659,2221970782,34438,1259341,276252348,1070,34438
77364,1.009543,2907286505,2367149513,32040,1339602,294281376,969,32046
77364,1.003388,2851450624,2321670536,32534,1315703,288637310,913,32531
77902,1.000588,2945557375,2398538352,31364,1343026,298174521,801,31365
77902,1.000606,2731756955,2224092655,33476,1262721,276507841,764,33477
78440,1.000606,3059152479,2491023386,28950,1403502,309674575,824,28951
77902,1.000648,2991966818,2436200462,29768,1377730,302862809,808,29771
78440,1.000618,2773320359,2257873522,32483,1287560,280712697,747,32485
77902,1.000759,2940933407,2394742051,30920,1348447,297711681,815,30922
77902,1.000612,2948030767,2400393971,30157,1356335,298406255,822,30155
77902,1.000640,2943234496,2396578487,30524,1349001,297939357,785,30526
78440,1.000573,2962135058,2412066196,30263,1352031,299856433,827,30265
77902,1.000593,2862722984,2330821297,31346,1322089,289771607,785,31347
78978,1.000590,2906691072,2366694722,30651,1339934,294227528,759,30652
78440,1.000791,2755369053,2243435129,33839,1268553,278910907,831,33838
78978,1.000794,3171973583,2583228881,28165,1434647,321123122,830,28166
78978,1.000588,2936962033,2391554286,31011,1341572,297311931,731,31010
78978,1.000579,2898001721,2359675916,31297,1328682,293346683,829,31300
79516,1.000604,2862634462,2330828608,31498,1314859,289765650,800,31501
79516,1.000633,2923451006,2380477138,30472,1339460,295937259,752,30475
78978,1.000590,2902027827,2362860840,30858,1337757,293748644,822,30857
79516,1.000596,2991182785,2435686871,30360,1368325,302792573,807,30363
79516,1.007060,2762779710,2249433670,33800,1273232,279659359,938,33801
79516,1.008601,3050611276,2484197483,29747,1391540,308828318,988,29746
78978,1.000588,3028930410,2466459097,29577,1384159,306612906,799,29580
79516,1.004788,2972899097,2420657511,30316,1366932,300932539,919,30313
79516,1.000575,3006398357,2448091684,30039,1375940,304337149,811,30045
79516,1.007081,2992946730,2437000877,30040,1373443,302958982,973,30041
79516,1.003541,2806981697,2285307104,32398,1301775,284115298,909,32401
