temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.001536,4364188912,3555614050,6624,1923962,441882671,6919,6625
59072,1.000611,4779140353,3894093673,740,2089598,483940683,813,743
60686,1.000582,4782660255,3896975477,591,2090822,484297747,653,595
61762,1.000555,4774141492,3890030268,799,2087513,483435851,614,804
63376,1.000547,4779291357,3894225261,633,2089271,483956531,713,636
63376,1.000540,4782096611,3896512993,616,2090479,484240323,674,615
64452,1.000524,4779040056,3894022772,660,2089076,483931125,691,660
64990,1.000563,4779498809,3894389927,617,2089811,483977549,730,619
64990,1.000539,4782757836,3897050221,552,2090793,484307142,665,554
65528,1.000501,4779606958,3894494426,593,2089509,483990205,586,594
66604,1.000546,4779884769,3894711382,634,2089315,484017392,742,634
66604,1.000542,4782224470,3896616888,585,2090456,484253291,670,585
67142,1.000527,4778619660,3893677566,640,2088955,483889216,676,640
66604,1.000520,4779494616,3894405313,608,2089055,483979517,559,611
67142,1.000556,4782537013,3896872272,607,2090552,484285232,673,610
67680,1.000517,4779399927,3894322867,626,2089284,483968816,625,628
67680,1.000552,4779177707,3894137118,614,2088687,483946043,736,617
68218,1.000545,4782184042,3896580486,620,2090628,484248819,657,620
68756,1.000524,4774644609,3889530860,797,2086979,483373786,694,800
68756,1.000542,4779281744,3894216916,662,2089718,483955672,670,665
68756,1.000534,4782583944,3896912065,543,2090702,484289980,678,544
69294,1.000509,4780009072,3894822805,566,2089396,484030860,602,570
69294,1.000547,4779668991,3894531901,658,2089413,483994892,717,659
69832,1.000537,4782596931,3896922889,575,2090570,484291565,654,575
69832,1.000521,4778920263,3893931021,649,2089115,483920025,631,651
69832,1.000559,4779643244,3894511594,605,2089611,483992694,717,606
70908,1.000538,4782004247,3896436453,600,2090261,484231541,664,601
70908,1.000530,4779988539,3894805303,587,2089518,484028744,659,588
70908,1.000559,4779644320,3894511103,596,2089835,483993062,721,595
70908,1.000536,4782724610,3897029296,554,2091110,484304175,655,554
71446,1.000515,4777878829,3893075686,698,2089034,483813980,616,698
71984,1.000553,4780082675,3894850877,577,2089398,484035402,754,579
71446,1.000546,4782172954,3896568948,605,2090828,484247021,653,605
71446,1.000523,4779393435,3894309765,611,2089772,483967328,669,611
71984,1.000540,4779310217,3894235192,664,2089522,483957764,733,664
71984,1.000547,4780893660,3895523837,658,2090396,484118141,683,656
72522,1.000553,4763457190,3881317621,675,2082492,482353078,781,676
73060,1.000565,4779708317,3894559596,636,2089807,483997837,719,639
73060,1.000541,4782263895,3896645081,572,2090807,484257050,662,569
73060,1.000524,4779892868,3894725026,563,2089439,484018946,650,564
73060,1.000559,4779589866,3894469036,633,2089372,483987680,730,637
73598,1.000537,4782654668,3896965026,568,2090799,484296409,660,570
73598,1.000518,4778999492,3893999884,589,2088940,483928813,631,590
73060,1.000561,4779977723,3894786970,605,2089510,484026576,755,607
74136,1.000541,4781868879,3896323102,618,2090612,484217160,676,618
74136,1.000525,4779869393,3894704157,591,2089314,484016148,651,595
73598,1.000547,4779283830,3894213869,655,2089889,483954846,734,656
74136,1.000561,4782576158,3896897993,589,2090715,484288319,688,593
74136,1.000525,4779328054,3894261527,593,2089271,483960843,652,597
74136,1.000555,4779412492,3894319699,625,2089576,483968190,732,627
74136,1.000540,4782399610,3896757931,586,2090745,484271065,666,585
75212,1.000524,4779431746,3894346503,599,2089499,483971823,644,602
75212,1.000557,4779977104,3894782743,587,2089815,484026454,734,589
74674,1.000534,4782202397,3896590627,646,2090687,484250018,673,649
75212,1.000529,4763056318,3880988898,1100,2082668,482312071,679,1103
75212,1.000563,4749150581,3869646148,1168,2076676,480902218,771,1170
75212,1.000567,4778338360,3892984741,610,2088876,483804087,704,615
75212,1.000780,4768950109,3884291857,770,2084392,482722503,734,771
76288,1.000783,4780834881,3895483240,663,2090018,484113026,757,666
75750,1.000539,4782213944,3896605809,599,2090930,484252085,674,601
75750,1.000536,4779204509,3894154548,619,2089638,483948368,657,626
75212,1.000561,4779670376,3894535730,607,2089457,483995760,741,607
76288,1.000535,4782705151,3897009005,543,2090736,484302013,656,541
76288,1.000526,4779232490,3894183407,653,2089343,483951603,634,656
76288,1.000554,4779864653,3894693596,594,2089739,484015619,743,595
76826,1.000546,4781647210,3896145350,616,2090362,484195160,682,617
76826,1.000548,4778933516,3893931579,610,2089340,483920112,739,611
76826,1.000559,4779487786,3894386185,666,2089457,483976850,720,668
76826,1.000538,4782800723,3897083905,524,2091141,484311257,668,529
77364,1.000512,4779277691,3894230390,622,2089407,483957592,593,622
77364,1.000555,4779330712,3894257041,648,2089412,483960930,746,650
77364,1.000544,4782216461,3896604352,600,2090948,484252295,685,602
77364,1.000526,4777733763,3892959676,606,2088818,483799606,659,607
77364,1.000509,4776263263,3891765487,757,2088218,483650650,567,754
77364,1.000537,4782303565,3896678979,564,2090594,484261474,696,570
77364,1.000521,4779589196,3894474157,549,2089468,483988038,623,549
77902,1.000544,4779237107,3894175766,635,2089584,483950293,730,638
77902,1.000538,4782675744,3896986480,534,2090580,484299369,658,534
77902,1.000525,4778909917,3893923555,611,2089175,483919526,606,610
77902,1.000561,4779800309,3894644081,607,2089271,484008960,724,605
77902,1.000549,4782390161,3896750628,556,2090555,484270176,695,560
77902,1.000522,4779964930,3894781642,571,2089618,484026343,652,572
77902,1.000559,4779584547,3894463092,652,2089679,483986346,718,652
77902,1.000541,4782723013,3897028688,552,2090534,484304518,660,554
