temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001815,2494535027,2061589561,110241,14575369,250087220,102317,110250
60148,1.270426,4510636038,3643414078,89515,2082621,452885936,82052,89514
60686,1.000746,4753528237,3873033086,1476,2078775,481329369,926,1478
62300,1.000859,4650409690,3788361288,2265,2037901,470805961,1645,2268
63376,1.001043,4314228248,3483831555,144627,1939355,432978075,142951,144628
63376,1.088281,2926662678,2317871515,240035,1443142,288187333,228169,240039
64452,1.000873,2412879762,1880432837,309962,1210295,233808783,295642,309956
65528,1.000800,2432574257,1926604507,169370,1238875,239588928,155978,169376
65528,1.000771,2612470484,2049027883,281836,1310267,254772818,268829,282232
66604,1.000935,2663538814,2098831344,195806,1329847,260978305,182703,195536
66604,1.001436,2613952680,2044868587,308668,1290890,254231271,295685,308665
66604,1.001143,2648053769,2097530989,172152,1338613,260829887,156973,172161
67680,1.001004,2701876335,2119818243,306213,1314545,263528471,294468,306214
67680,1.000868,2607556044,2064416636,220862,1292885,256680747,207782,221245
67680,1.000793,2572035409,2034076497,233830,1287593,252919354,220140,233985
67680,1.000820,2760952067,2189544313,189774,1361472,272242113,176692,189482
69294,4.075830,10034123411,7883917723,1034297,5048427,980302237,974581,1034299
69832,2.869243,7478136135,5896614506,646472,3740788,733187339,607308,646468
70370,1.001466,2501682098,1961757052,307589,1235699,243898696,295642,307595
70908,1.001074,2577226556,2042204553,168603,1288771,253938336,155747,168604
70908,1.001048,2617500119,2059167571,308226,1294789,256013154,295102,308227
71984,4.307124,11429891297,9009127358,965930,5688598,1120180580,905482,965929
73060,3.718241,9866783959,7759129645,932629,4899354,964741774,880247,932638
72522,1.000845,2632638996,2090070448,184976,1315790,259883484,171899,184982
71984,1.001058,2697275954,2124303889,238872,1329920,264122456,225276,238883
73598,2.879700,8140893941,6440624213,773740,3986769,800720881,741650,773739
73598,1.000686,3349668490,2660875067,241032,1679207,330858556,225856,241038
73060,1.000726,3620767749,2883762054,246619,1782961,358542900,232165,246620
75212,4.978442,15099872951,11977085645,1261016,7428530,1489086243,1197325,1261016
75212,1.844880,6074658868,4828284874,468742,2964905,600272339,446045,468740
74674,1.000742,3653896254,2904695627,267827,1778814,361123004,253896,268244
75750,1.000766,3530126033,2788121409,355068,1728141,346628677,341380,354790
75212,1.000945,3513047577,2788294994,312466,1739079,346662539,298699,312472
76288,5.890967,17790692504,14129304190,1345693,8749976,1756687523,1274774,1345698
76288,1.001014,3575213768,2831725954,309455,1737047,352052546,297171,309456
76826,1.001310,3634204969,2886350574,242074,1774374,358853337,228276,242077
77364,1.000730,3632193098,2877954698,310375,1749613,357781686,296895,310373
76288,1.000857,3633524068,2885705244,310873,1762835,358746045,297068,310873
77364,1.001212,3656168744,2901908974,312746,1779794,360772249,297861,312751
77364,1.001499,3658414775,2909493136,242259,1775038,361721576,227588,242265
77364,1.001457,3660187714,2903025999,312598,1785618,360902348,297861,312615
77364,1.000830,3368098738,2684376202,243145,1659865,333750071,228097,243142
77364,1.000880,3578589746,2842513468,311495,1739134,353383008,297429,311496
77364,1.001109,3654739230,2899030178,312398,1781275,360422534,297740,312399
77902,1.000877,3660703609,2911233585,243156,1790092,361948463,227863,243159
78440,1.000833,3766913141,2987117637,310658,1817967,371359259,296803,310659
78440,1.001192,3608516828,2867583782,312508,1763715,356504243,298591,312517
78440,1.001353,3434439338,2724562248,310489,1669459,338714951,298274,310484
78440,1.000845,3490458936,2780216840,243771,1725691,345672219,229481,243776
78978,3.105834,9558782417,7609138261,644715,4678576,946015650,608235,644723
78978,1.001252,3505621281,2780497966,311235,1709017,345680836,298041,311239
79516,1.001213,3656434847,2899278418,311726,1778064,360446506,297605,311724
79516,4.817072,14932732991,11844695662,1245383,7286193,1472573154,1187556,1245384
79516,1.841117,5756147060,4588477963,333935,2846043,570516621,311788,333939
