temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001599,396287395,375657335,14338,13482141,40435647,8675,14339
57458,1.000816,172519,32952,441,1360,3905,976,444
56920,1.000992,128353,31241,402,1284,3724,956,402
56920,1.000956,126200,31178,373,1287,3715,936,376
56382,1.000930,126039,31127,367,1202,3704,933,369
55844,1.000903,112744,30828,333,1256,3660,802,333
55844,1.000917,107805,30676,320,1213,3634,756,320
55844,1.000940,106671,30671,307,1220,3635,752,306
55844,1.001061,107858,30705,319,1243,3639,755,319
55844,1.000984,118650,30948,352,1265,3673,874,350
55844,1.001045,202108,32424,594,1392,3913,1362,596
55844,4.385858,243411,33303,775,1540,4051,1937,777
56382,1.001378,130514,31343,450,1315,3738,1027,453
55844,1.001024,130521,31262,422,1290,3728,963,422
55844,1.000970,136110,31191,406,1308,3713,987,407
55844,1.000918,127705,31212,383,1314,3719,961,384
55844,1.028989,119527,30682,353,1285,3633,908,357
55844,1.000945,107898,30687,318,1236,3632,736,320
55844,1.000888,102251,30674,304,1247,3633,740,305
55844,1.000902,100162,30686,303,1244,3634,717,305
55306,1.000860,97187,30686,296,1228,3633,675,297
54768,1.005588,99461,30682,339,1230,3639,707,338
55306,1.265344,231950,32972,722,1508,3995,1826,722
56382,1.000685,154517,31012,349,1273,3687,836,350
55844,4.678464,249993,33200,785,1537,4040,1955,786
56382,1.001205,127504,31246,423,1326,3718,937,423
55844,1.001077,129708,31095,394,1282,3699,956,396
55844,1.000798,162778,31314,433,1315,3732,981,434
55844,1.001247,131548,31165,444,1299,3711,1001,445
55844,1.001332,107459,30787,320,1321,3648,724,320
55306,4.434529,228570,32742,705,1506,3962,1772,705
54768,5.061550,248060,33344,778,1520,4051,1868,777
55844,1.001178,111543,30978,364,1298,3683,800,364
55844,1.000996,102822,30680,334,1239,3633,725,335
55306,1.000928,104883,30675,298,1218,3633,753,299
55306,1.000918,102673,30664,303,1192,3635,730,305
55306,1.000837,112089,31000,364,1269,3689,736,364
55844,1.000596,225007,32599,649,1404,3936,1465,649
55844,1.000876,167041,31405,418,1329,3751,1003,420
56382,1.001146,127986,31289,397,1278,3731,961,398
55306,1.000983,117950,30946,337,1265,3680,864,337
55306,1.001051,127811,31255,401,1310,3724,984,403
55306,1.313271,140711,31253,425,1304,3724,1144,425
55306,1.001023,103244,30761,288,1241,3648,731,288
55306,1.001068,101431,30677,303,1218,3632,716,305
55306,1.000979,105947,30684,323,1235,3636,723,324
54768,1.000983,193246,32438,594,1406,3912,1430,596
55844,1.000733,145402,30788,321,1229,3651,750,321
54768,4.124944,480698,214129,787,6150,24824,1923,788
55844,1.000715,153511,31313,377,1326,3734,916,378
55844,1.001328,103875,30690,355,1289,3638,760,354
55306,1.001426,104122,30692,335,1290,3634,753,337
54768,1.001364,171008,32034,569,1425,3845,1284,570
55844,1.000653,240954,32411,651,1432,3906,1468,652
54768,5.114210,241076,32764,748,1531,3962,1741,750
54230,7.113595,281883,33462,812,1550,4072,2007,813
55306,1.230092,119523,30762,361,1262,3648,937,363
54768,1.000916,105226,30680,291,1220,3632,753,290
54768,1.000912,102877,30677,305,1209,3632,713,305
54768,1.000852,166055,31883,476,1356,3824,1229,476
54768,1.000656,131451,30758,306,1226,3651,748,307
54768,1.000951,108919,30779,369,1250,3649,776,371
54768,1.001181,216515,32832,657,1413,3972,1596,657
56382,1.001108,135252,31272,369,1249,3729,962,369
54768,1.001517,133536,31164,416,1342,3710,976,414
54768,1.001262,125005,31158,390,1277,3708,924,392
54768,1.000926,116706,30944,329,1197,3679,851,329
55306,1.025865,111694,30661,300,1147,3632,848,300
54768,1.000954,108913,30653,274,1151,3634,772,275
54768,1.000889,105781,30688,286,1181,3641,755,284
54230,1.000895,133116,31340,383,1203,3737,996,385
55306,1.000710,260781,32502,545,1344,3922,1420,546
54768,1.380374,125887,31055,342,1123,3697,1005,346
54768,1.000903,102239,30746,264,1053,3646,711,265
54768,1.001335,103798,30656,325,1206,3636,731,326
54768,1.002205,108241,30688,436,1371,3636,777,438
54768,1.002747,111577,30745,470,1396,3646,766,472
54230,1.588539,258655,33208,866,1638,4031,1919,867
55306,1.002721,113427,30889,471,1358,3665,783,472
54230,4.220930,241672,32989,815,1570,3999,1837,815
55844,1.000974,132930,31451,375,1271,3758,1007,376
54768,1.001100,125306,31238,356,1259,3723,924,354
54768,1.001133,125389,31147,403,1305,3709,948,403
54768,1.001074,123485,31179,351,1276,3714,936,352
54768,1.001058,104851,30663,265,1215,3634,733,267
54230,4.105373,125036,30646,320,1213,3634,950,321
55306,1.000679,128245,30680,259,1201,3637,721,259
54230,1.598181,231072,43665,976,2087,5160,2110,975
