temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.001957,1241801808,1128169077,185047,40499976,121449323,183231,185054
59610,1.001353,82821389,4788065,310498,238625,740151,294243,310495
60686,1.001411,69204105,4250463,243392,251727,700934,224989,243392
60686,1.001433,64001328,4108312,241229,236019,669428,224032,241233
61224,1.002957,82820402,4754640,311190,235119,732898,294048,311193
61762,1.002115,82045872,4761330,311100,235774,734394,293861,311095
62300,4.997677,380994558,22453647,1415846,1182809,3544446,1326245,1415850
63376,5.144581,381111556,22835217,1421880,1225219,3629184,1328853,1421881
64452,1.010690,83515178,4775383,311664,237474,737495,294999,311664
63914,1.034102,84872721,4853474,313191,246551,754936,296469,313199
63376,1.032383,83217587,4831634,312802,244046,749995,296242,312809
64452,1.010750,83707997,4854210,312955,246217,755036,295243,312951
64452,1.002229,53000979,3526059,173786,244301,620090,154885,173790
64452,1.006331,83588522,4735848,311834,233129,728719,294886,311835
64990,1.002483,82509721,4727629,310914,231984,726890,293776,310913
64990,1.002186,82238157,4733006,311048,232664,728082,293753,311046
64452,1.002250,84458781,4856409,313192,246380,755545,294445,313193
64990,1.001004,50764746,3478248,172925,238699,609461,154377,172926
64990,1.002149,82345698,4708942,311102,229986,722748,293653,311107
65528,1.002446,81319726,4739971,311430,233425,729664,293618,311432
66066,6.196676,460780946,27556322,1736472,1459648,4358666,1621475,1736479
66604,1.002257,82693727,4708997,310932,229949,722717,293848,310937
66604,1.002006,84396566,4827947,312548,243354,749331,294317,312539
66604,1.001096,51930565,3497943,173370,240875,613832,154667,173373
66604,1.001727,81235860,4723965,311598,231532,726100,293515,311600
66604,1.759665,128637735,7720463,476847,418962,1231752,444311,476847
66604,1.001710,83815496,4722499,311484,231412,725758,293713,311486
66604,1.001737,82507854,4722568,311468,231384,725761,293612,311464
66604,1.001669,82446281,4717249,311193,230923,724699,293444,311188
66604,1.026856,62099470,3967139,208321,260389,681835,189938,208632
67142,1.005434,74649434,4397956,279493,229500,690626,261719,279274
67142,1.003201,74399391,4693110,311466,228321,719205,293939,311470
67142,1.004899,72537350,4710447,311884,230446,723059,294334,311882
66604,1.001666,82576991,4787855,312920,239348,740776,293927,312923
67142,1.001379,48551050,3525172,174135,244003,619878,154822,174146
67142,1.002074,74853551,4766031,313339,236627,735670,294308,313339
66604,1.001927,80992944,4742433,312003,233815,730243,293694,312004
67680,1.001952,79886328,4730833,311726,232496,727644,293758,311727
67142,1.001279,81020378,4815216,312617,241743,746466,293826,312619
66604,1.000804,50669688,3504733,173785,241648,615362,154529,173791
67680,1.001538,80022087,4674926,311351,226308,715353,293322,311357
67680,1.001335,80777088,4713498,311301,230471,723794,293510,311297
67680,1.001105,81396722,4718270,311454,231110,725021,293334,311461
68218,1.011993,57596109,3803574,194557,255391,660397,174650,194866
67680,1.001235,78147031,4522786,292104,229724,703809,273556,291873
68218,1.001543,74494518,4694310,311300,228289,719508,293435,311305
68218,1.001733,70650035,4671680,310842,225731,714458,293372,310842
68218,1.001353,78038596,4837674,313331,244534,751621,294168,313327
68756,1.001002,48497329,3478698,173556,238763,609544,154425,173569
68756,1.001541,79521409,4701804,311468,229071,721165,293455,311468
68218,1.001457,81107701,4702904,311155,229206,721385,293491,311154
67680,1.001520,81451743,4711344,311271,230156,723274,293452,311274
68756,1.001475,53413300,3600635,175070,252301,636691,155267,175068
68218,1.001504,81665728,4695421,311293,228364,719734,293365,311293
68218,1.001626,81480058,4706169,311187,229584,722123,293433,311190
68756,1.001419,81390769,4718514,311486,231099,724975,293508,311487
68756,1.001425,81586064,4828458,313060,243140,749345,294122,313060
68218,1.001038,51488087,3529652,174142,244382,620873,154760,174145
68756,1.001771,80702016,4717088,311506,230742,724541,293644,311524
68756,1.001425,80582651,4703762,310989,229282,721590,293481,310994
69294,1.001548,81157069,4699780,310806,228812,720694,293478,310804
68756,1.001423,60925514,3939705,210255,253186,671772,190924,210569
68756,1.001200,71074884,4372034,275638,229814,688865,257433,275431
68756,1.001480,80363577,4741703,311634,233520,730011,293717,311634
69294,1.001572,79885636,4704500,311039,229366,721745,293469,311044
69294,1.001653,79061159,4736068,311155,232835,728783,293544,311159
68756,5.954136,409525194,25893632,1592857,1419271,4148734,1478478,1592860
68756,1.708662,127843977,7446402,473557,389474,1171329,443983,473555
69832,1.001537,84240626,4694690,311149,228525,719720,293553,311155
69832,1.001530,83046006,4714908,311166,230514,724075,293525,311171
69832,1.001406,83380494,4741867,311627,233559,730106,293683,311623
