temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.008151,2002103229,1876880246,108569,67303155,201845294,119995,108570
59072,1.001060,46834594,3244920,224328,140009,477385,217880,224331
59072,1.001291,34438430,2725580,155861,155133,442284,148222,155862
60148,5.497449,213433433,15965846,992442,826353,2503768,949834,992440
60148,1.001046,34315981,2674994,155197,149586,431005,148046,155199
60148,1.001561,35238297,2741731,155889,157032,445863,148670,155890
60148,1.000947,35139941,2736764,155564,156410,444777,148348,155566
60148,1.001014,46864197,3270496,224059,142953,483296,217514,224058
60686,1.001007,34483127,2738137,155692,156507,445088,148180,155695
60148,3.322713,129967741,9735440,608933,497586,1519540,584199,608935
60148,1.001012,35308352,2737810,155568,156486,444992,148458,155569
61224,1.001015,34985005,2745634,155564,157338,446737,148416,155564
61224,1.001056,46161361,3294270,223999,145556,488574,217567,223999
60686,1.000741,34594817,2722246,155280,154758,441513,148192,155284
61224,1.000978,34735604,2743266,155476,157072,446221,148287,155478
61224,1.000921,46896130,3349601,224476,151735,500894,217799,224475
61224,1.000806,34404349,2667945,154731,148713,429447,147931,154733
61224,1.001014,35238230,2742561,155527,157044,446073,148349,155528
61224,1.001018,34695399,2741745,155362,156962,445890,148301,155365
61762,1.001024,46116352,3277477,223892,143711,484819,217498,223897
61224,1.001015,35147260,2743371,155247,157106,446241,148349,155248
61762,1.000988,35107833,2744715,155376,157255,446535,148359,155375
62300,1.001085,46865760,3283546,223678,144377,486178,217532,223677
61762,1.000999,34673212,2743184,155279,157075,446203,148311,155277
61762,1.000965,34876228,2741326,155272,156863,445795,148225,155274
61762,1.001083,45790588,3281946,223555,144224,485894,217046,223555
61224,1.711001,67188928,5015178,305779,264109,790966,293561,305782
61762,1.000809,34685122,2699472,155310,152256,436455,148118,155311
61762,1.000973,35237978,2739450,155598,156832,445476,148333,155598
61762,1.001376,44670986,3206632,207415,154731,490979,201383,208887
61762,1.000807,37524181,2777387,170659,144329,435351,163705,170519
62300,1.001156,35574623,2729944,155754,155839,443429,148324,155756
62300,1.000940,35338292,2732505,155445,155880,443853,148282,155449
62300,1.000999,46286131,3265892,223927,142392,482248,217436,223929
61762,1.001017,35424861,2723050,155872,155157,441936,148231,155879
62300,1.001025,35357029,2729265,155797,155609,443175,148287,155799
62300,1.000927,47166047,3349141,224932,151682,500800,217816,224929
62300,1.000805,34707633,2636537,155033,145433,422595,147808,155034
62838,1.000987,35495084,2721926,156004,154740,441491,148251,156003
62300,1.001011,35162078,2721570,155681,154683,441406,148178,155678
62300,1.001156,46630159,3260901,224289,142687,481745,217342,224289
62300,1.000763,35564590,2710209,156122,153422,438840,148179,156127
62838,1.001005,35440448,2717987,155923,154286,440612,148266,155926
62838,1.001009,35206929,2719814,155823,154489,441008,148197,155827
62300,1.001064,47080214,3256391,224532,141420,480198,217368,224533
62838,1.001037,35125904,2724674,156223,155267,442240,148228,156224
62300,1.000992,34897553,2731585,156044,155800,443628,148142,156040
62300,1.000955,46836865,3293118,224699,145435,488359,217358,224703
62838,1.000792,34887806,2673254,155792,149616,430862,147929,155794
62300,1.000997,34810615,2724577,155979,155010,442080,148149,155985
62838,5.121485,195857449,14705545,917183,760046,2304522,876635,917186
62838,1.001062,34929757,2720711,155950,154903,441393,148352,155952
63376,1.002659,34543878,2729659,156317,155866,443173,148610,156323
63376,1.001514,46998408,3294390,224610,145878,488825,217699,224611
63376,1.001023,35579027,2688269,155614,151136,434003,148121,155620
62838,1.001016,34969417,2727123,155894,155279,442636,148100,155894
63376,1.429199,51667447,3949197,232342,218805,634388,221735,232345
63376,1.000998,46756559,3259246,224176,141850,480902,217375,224179
63376,1.001329,35139429,2721236,155947,154625,441332,148335,155944
63376,1.000997,35162896,2729963,155833,155611,443269,148224,155838
63376,1.000982,47328036,3327145,224747,149670,496223,217646,224747
63376,1.000789,34674254,2669187,155311,148834,429736,147949,155317
62838,1.001010,35512852,2726790,155787,155802,442955,148256,155786
63376,1.000973,34731888,2728955,155823,155656,443154,148291,155826
63376,1.001002,46260149,3259364,224222,141973,481048,217309,224223
62838,1.001036,35066353,2720363,155968,155090,441516,148214,155971
63376,1.001002,34667506,2724455,155678,154999,442026,148197,155676
63376,1.000960,47789579,3328480,224927,149447,496254,217754,224926
63376,1.000853,34841645,2649023,155420,146639,425258,147872,155422
63376,1.001084,35140681,2716753,156116,154110,440316,148219,156113
63376,1.001015,34441787,2724520,155964,155518,442442,148155,155969
63914,1.001302,46359828,3263434,224472,142666,482078,217300,224479
63376,1.001026,35134377,2715636,156055,154484,440407,148223,156054
63914,1.001037,35333535,2719762,156043,154947,441313,148284,156043
63376,1.000910,41323822,3046148,191231,154138,473304,183717,191458
63376,1.000827,40486423,2925313,188777,142083,447683,181397,188627
63914,1.001112,34588073,2717028,156169,154360,440529,148147,156175
63376,1.000974,34728159,2722454,156162,154788,441610,148164,156165
63376,1.000964,46410251,3294186,224485,145750,488741,217262,224486
63376,2.618607,98920472,7508064,460629,396138,1185166,439624,460629
63376,1.000861,33809419,2625256,155323,144262,420170,147808,155326
64452,1.001006,35108122,2712151,156050,153871,439462,148172,156052
63376,1.001009,35472072,2719705,156113,154774,441179,148255,156118
64452,1.000966,47735334,3283775,224662,144539,486365,217445,224663
63914,1.000807,34544625,2673676,155839,149356,430719,148011,155841
63376,1.001001,35131862,2710164,156142,153706,439072,148123,156145
64452,1.000980,35580603,2717841,156119,154507,440698,148216,156119
63376,1.001032,47059503,3249204,224319,140788,478715,217305,224320
63376,1.001084,34575966,2713512,156415,153792,439607,148083,156415
63376,1.001011,34890987,2709836,156126,153674,439025,148199,156127
64452,1.000976,34955467,2712103,155911,153638,439295,148125,155910
63914,1.000999,46163099,3240850,224399,139867,476858,217238,224403
63914,1.001040,34706133,2705845,156316,153042,437957,148100,156315
64452,1.001015,34824097,2706805,156085,153035,438118,148075,156088
64452,1.000907,41273194,3036243,191992,152755,470730,184050,192220
64452,1.000749,40531444,2911245,188669,140983,445023,180995,188519
64452,1.001026,35085848,2705647,156239,153116,437987,148178,156239
64452,1.001061,34505094,2709985,156178,153656,439036,147980,156183
64452,4.797603,180532591,13604001,844430,710234,2139671,804669,844428
64452,1.001009,35088256,2721454,156189,154950,441572,148332,156190
64452,1.000988,46312342,3267711,224514,143356,483205,217279,224516
64452,1.000828,35068913,2709170,156231,153350,438630,148134,156235
63914,1.000939,16904622,1248767,76786,63801,194166,73796,76790
63376,1.000680,16767914,1248437,76722,63750,194119,73609,76720
62300,1.000899,16737609,1248407,76713,63759,194116,73605,76713
61224,1.000936,16738221,1248421,76720,63758,194112,73611,76720
61224,1.000903,16734910,1248403,76710,63750,194114,73542,76711
60686,1.000935,16739084,1248406,76712,63728,194114,73610,76713
60148,2.669579,16753461,1248468,76767,63758,194119,73816,76768
61224,1.000897,16734687,1248461,76693,63777,194121,73540,76694
60148,1.000897,16739053,1248448,76687,63780,194112,73599,76689
60148,0.699335,16870541,1261450,77416,64656,195668,74971,77414
