temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001976,77431405,4910887,271254,302686,851440,232135,271262
58534,1.005701,79413685,3940631,197573,309807,764928,158942,197578
60148,1.002121,79189025,4089822,267750,261594,739241,223154,267756
61224,1.001494,91063810,5086724,335852,292999,863301,296563,335854
62300,1.001199,61482036,4393714,269355,293644,802925,225556,269360
62300,1.001576,82649193,4656276,301839,285158,817296,260309,302185
63376,1.006096,98810730,4813522,306553,293847,837331,266934,306298
63914,1.005241,113822637,5552488,390369,285665,901364,352524,390737
64452,1.001987,80194934,4450916,272251,287890,793691,232545,272013
64990,1.006496,95150532,5039483,334248,286101,848638,295806,334262
64990,1.016636,86563439,4260024,245708,297838,785900,205259,245702
65528,1.000988,73711768,3943761,220181,291489,752285,177663,220184
65528,1.001314,122224516,5741435,405173,291916,925623,365937,405175
65528,1.001416,79607474,4405388,266660,291176,794867,225821,266666
66604,1.001189,92319174,5047326,335565,289195,855838,295155,335562
66604,1.001008,89487341,4465768,266725,295640,802333,226014,266727
66604,1.001420,106052784,5019396,337150,287302,853190,295244,337153
66604,1.001326,98234522,5052279,335513,288314,853658,296184,335508
66604,1.001435,75787155,4523620,267685,303010,817972,227257,267686
67680,1.001666,72443249,4387969,268401,291361,796862,225847,268401
68218,1.001427,100770802,4996930,334229,282383,841833,295908,334224
67680,1.001050,67659859,3855606,196618,300429,746405,157472,196627
68756,1.006880,99940513,5200220,351306,289783,870905,310502,351308
68756,1.009394,105232965,4700416,320069,268044,799732,280554,320072
68756,1.038673,97176179,5210377,340084,309052,895530,297864,340078
69294,1.029566,73502258,4431870,269128,296285,805458,227686,269133
69294,1.006396,102087335,5151255,336780,299884,875844,298013,336782
69832,1.006282,98192175,5030518,334871,285713,846931,297187,334874
69294,1.005715,84569916,4265151,266795,277546,767982,225435,266799
69832,1.004722,84715382,4454634,265918,293832,797274,227771,265925
70370,1.002127,69837134,4376116,267679,290073,794336,225957,267685
70370,1.001570,109426524,5050877,336256,289488,856288,296295,336260
70370,1.001689,103089672,5083321,336821,293494,864851,295538,336825
70908,1.001428,73910709,4379322,266512,287905,788222,225620,266517
70908,1.001587,82729321,4506511,267085,300048,811148,226293,267089
70908,1.002479,97904568,5114571,335762,294535,865111,296485,335764
70908,1.002004,104629951,5020988,336399,287397,852855,295131,336401
70908,1.001989,77614074,4505723,266609,300743,812789,226566,266611
71446,1.001896,103271484,5016546,334750,285164,847245,295370,334756
71446,1.001713,107442448,5046752,334698,287083,850315,295697,334701
71446,1.007368,66151576,4278448,268124,278949,771281,225105,268126
70908,1.007754,79256480,4680364,267516,318059,845914,229462,267515
71984,1.020514,98558922,5020872,335742,286064,848352,297168,335745
71984,1.015673,85088368,4184671,267778,269457,752215,224870,267785
71984,1.005126,74842107,4475213,267855,299811,811698,226192,267859
72522,1.009814,123452251,5670588,402487,284644,911474,366014,402496
71984,1.006501,84168337,4513576,266854,301928,815266,227141,266860
72522,1.007304,84824380,4981335,334757,282792,843438,295354,334755
73060,1.003326,77384892,4503622,267210,300212,811216,226659,267223
73598,1.006867,82693753,4299011,267654,281669,776816,225707,267654
73060,1.007409,101835485,5054736,336407,290686,859028,295837,336406
73060,1.003820,77035017,4609337,293166,287777,812078,251355,293538
73598,1.006771,99983299,4801062,309991,288885,829883,269517,309731
73060,1.007251,76238855,4168809,233096,300795,780867,191753,233450
73598,1.006055,81911104,4751349,300784,292968,829183,259859,300566
73598,1.008816,105891187,5722170,406063,291779,926401,365282,406063
