temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001805,654885969,592769105,7870,15091353,66673366,5457,7871
56382,1.000790,632782960,562341051,4680,12047190,64326756,2771,4679
57996,1.000697,735221888,598600507,1936,329984,74396681,3046,1936
57996,1.000634,1104615007,899699143,1755,495979,111815443,1542,1756
59072,1.000597,1108046882,902504654,1561,497272,112163873,1561,1560
59072,1.000594,1114182226,907521920,1344,499438,112787111,1515,1344
59072,1.000587,1116933097,909764743,1289,500739,113065919,1526,1289
59072,1.000566,1139418005,928131536,1184,510788,115348546,943,1184
59072,1.000582,1121400493,913428211,1119,502446,113521123,1257,1118
59072,1.000606,1117405238,910160594,1227,500970,113115348,1295,1228
59610,1.000561,1093220590,890488534,1289,490899,110670037,778,1289
60148,1.000590,1087641617,885913855,1247,487391,110101575,1365,1248
60148,1.000589,1165576048,949453975,912,522829,117998474,380,912
60686,1.284234,1518157488,1236755960,826,680011,153703760,142,826
60686,1.000515,1179405392,960791704,749,528046,119407156,124,749
60148,1.000508,1185678345,965905144,572,531036,120042771,129,572
59610,1.000511,1058036609,861882607,676,474038,107114798,353,676
60148,3.255563,3262883808,2657637116,3825,1464147,330289989,3741,3825
61224,1.000566,977944954,796511302,1392,438743,98990953,1607,1392
61224,1.000597,1095357828,892166435,1500,491144,110878991,1626,1500
61224,1.000646,1099708310,895691412,1505,492908,111316759,1776,1505
61224,1.000593,1097825499,894184129,1455,492223,111129476,1579,1455
61224,1.000594,1105888165,900815336,1187,495883,111953840,885,1187
61224,1.000572,1109018798,903311791,1370,497590,112264090,1330,1370
61762,1.000578,1108095027,902541074,1563,497075,112168171,1375,1563
61224,1.000572,1068193608,869980463,1956,479428,108121195,2131,1956
61762,1.000588,1084902971,883628521,1995,487577,109818196,1592,1995
61762,1.000625,1092232079,889616696,1618,490314,110562366,1536,1618
61762,1.000561,1088394319,885804307,1611,488629,110087975,1658,1611
62300,1.000579,1101413808,897110572,1369,493837,111493369,1563,1369
61762,1.000634,1080499232,880049354,1578,485028,109373127,1524,1578
61762,1.000643,1002192171,816256578,1297,449598,101441822,1549,1297
62300,1.000614,1088890535,886900076,1497,488564,110226381,1594,1497
61762,1.000559,1084850288,883601597,1626,486938,109814660,1572,1626
62300,1.000561,1053803014,858278843,1623,472964,106667574,1895,1623
61762,1.000544,1031620826,840329756,1030,462739,104436629,730,1030
62300,2.987358,3254178922,2650625183,3600,1459028,329415201,3409,3600
62300,1.000567,1060975788,864085191,1992,476168,107390789,2381,1993
62300,1.000568,1093052513,890276433,1894,490918,110644290,1613,1897
62300,1.000534,1094708966,891615357,1888,491694,110810625,1599,1888
62300,1.000624,1098765623,894940175,1751,493213,111223731,1435,1751
62300,1.000622,1114455826,907751930,1697,500299,112816019,1231,1699
62300,1.000603,1123879244,915433709,1394,503964,113770281,1203,1394
62300,1.000593,1129289224,919862124,1513,506697,114320851,962,1515
63376,1.000607,1109941678,904062709,1821,498225,112357159,1361,1821
62838,1.000612,1106633934,901379876,1954,497036,112024112,1218,1954
62838,1.000602,1111182719,905077858,1743,498725,112483301,1292,1743
62838,1.038347,1133170382,922972543,1675,508498,114707410,1524,1675
63376,1.000637,1093337373,890508493,1719,490667,110672733,1601,1719
63376,1.000648,1108824027,902954648,1639,497176,112219506,1405,1639
62300,1.000617,1154018394,940066324,974,516874,116831382,676,974
62838,1.000589,1171885383,954643966,664,525182,118643268,319,664
62838,1.000634,1143619209,931542411,1122,513427,115772234,721,1125
62838,1.000627,983708778,801253751,1123,441075,99580113,1141,1123
62838,1.000667,1101597692,897263844,1151,493623,111512182,1292,1151
63376,1.000554,953937947,777017774,1006,428055,96567720,897,1007
63376,1.000534,1169431411,952661668,691,524077,118396776,178,691
62838,1.000642,1003119405,817036303,1097,449669,101538645,1117,1097
63376,1.000638,868396923,707186166,1557,389401,87891496,2109,1559
63914,1.000577,1076700794,876951652,1540,482999,108987772,1738,1539
62838,3.437107,3767635770,3068901000,4415,1689004,381401182,3587,4416
63376,1.000592,933844464,760561870,1436,418646,94522954,1865,1436
63376,1.000579,1082790513,881945799,1392,485410,109608499,1526,1392
63914,1.000577,1084533035,883354666,1402,486276,109783512,1555,1402
63376,1.000634,1061868336,864811417,1702,476308,107479715,2078,1702
63376,1.000614,1047005513,852724351,1664,470036,105977357,2022,1664
64452,1.000578,1067095723,869091230,1751,480100,108011309,1928,1751
64452,1.000597,1096237566,892878447,1704,492669,110967939,1485,1704
64452,1.000599,1097620683,894013472,1630,492913,111108841,1514,1630
63914,1.000598,1095199547,892025392,1846,492147,110862016,1619,1846
64452,1.000582,1098670613,894860572,1677,493629,111214305,1600,1677
64452,1.000667,1111868087,905636907,1469,499275,112553336,1403,1470
64452,1.000707,1106229431,901041476,1901,497207,111982421,1305,1902
64452,1.000718,993990226,809592215,1759,446807,100617145,1491,1760
64452,1.000780,1101821355,897430263,1555,494024,111532882,1715,1555
64452,1.000620,1100952425,896723996,1521,493533,111445300,1641,1522
64452,1.000579,1095295731,892097419,1698,491541,110870364,1692,1697
