temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.002523,569755025,478158007,71892,6594051,56500070,66923,71892
57458,1.000718,590347544,493362570,86776,6761154,58304210,81729,86776
57996,1.000730,420728915,330708809,89298,815084,40880529,85331,89299
57996,1.001406,409444025,319325980,89037,249040,39730337,85313,89038
59072,1.000981,404431432,315199418,89175,246958,39219485,85724,89176
59072,1.000816,493593095,384059713,116144,296415,47785051,112182,116144
60148,4.490251,2120891623,1656669145,444208,1297689,206138381,424527,444210
60148,1.001424,458751626,355608353,116182,273463,44239385,111681,116182
60148,1.000741,408211445,318156046,89027,248507,39590447,85056,89028
60148,1.000644,434259254,339090537,89464,263249,42192761,85504,89466
60686,1.000719,410554348,320277678,88818,250174,39852420,85418,88818
61224,1.000838,437071712,341660419,89711,267998,42511284,85010,89712
61224,1.000896,492968555,385883068,97307,300965,48019675,91857,97305
60148,1.004723,489619484,381187867,110902,295072,47424532,105716,110903
61224,3.719910,1737088517,1356065882,367972,1054043,168728975,349889,368228
60686,1.000752,418304947,326406116,86875,252955,40615594,83434,86722
61224,1.000746,454783756,353547426,106653,271763,43982807,103012,106655
62300,2.575145,1213066594,945827813,265108,741403,117688083,254031,265108
61762,1.000930,443508439,346766047,90422,273345,43150121,85240,90423
61762,1.000865,497554678,390263274,93111,301082,48562874,87650,93110
62300,1.000735,485189549,377117076,115055,290282,46915448,109672,115058
62300,2.006009,891156569,696742173,180283,544799,86697074,170885,180285
61224,1.001090,409461066,319310256,88887,249291,39730667,85180,88887
62300,1.000954,439891821,340367826,115046,263405,42343958,111639,115046
62300,1.000747,468535496,367066284,89990,286548,45678684,85938,89992
62300,1.000625,490617093,381477863,116338,297812,47465026,111912,116338
62300,2.943171,1364931588,1064979268,294866,832053,132509783,281825,294866
62300,1.000641,404287895,314806692,89204,246374,39170414,85366,89204
62300,1.000654,405497155,316001956,88864,247622,39319587,85490,88864
62838,1.000689,421126093,328469377,89046,256110,40873701,85645,89046
62300,1.000696,437589903,342088950,89729,267014,42563347,85238,89730
63376,1.000882,484293211,379717200,91082,297305,47254589,85625,91082
63914,1.000737,486036335,377877069,116815,290226,47009045,111617,116816
63376,1.000952,411897151,321208662,89197,249515,39965717,85279,89197
62300,1.001064,412924003,322157053,88939,249959,40083665,85250,88939
63376,1.001048,409270599,319094238,88861,250468,39704950,85530,88861
62838,1.001530,433734727,338961235,89479,264539,42176018,85193,89478
63376,1.001094,485206456,380477073,91131,297474,47345251,85533,91130
63376,1.001099,484802494,376527459,116858,290166,46843934,111821,116862
63376,1.181079,490194551,381834707,108995,301239,47512462,104139,108995
62838,1.000685,416842886,327681299,71278,253714,40778175,67758,71279
63376,1.000764,422465838,326580702,113003,254115,40627488,109545,113003
63376,1.000911,417240611,325465647,91067,253827,40495595,87120,91069
63376,1.001019,478418617,374843315,91285,295181,46648840,85753,91285
63376,2.073316,929749572,724667301,206918,560470,90159771,197371,206923
63376,1.001065,416012938,324565783,88942,252209,40383858,85349,88941
63376,1.000953,420569411,328278641,88926,254700,40845701,85465,88928
64452,1.001033,427796758,333873841,89688,264922,41546780,85481,89689
