temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001676,1080851083,929012347,9347,12566563,109727811,7449,9347
56920,1.000617,820986271,672964970,2140,1564151,83067995,3162,2141
57996,1.000621,975372214,794333979,1616,437050,98719865,2275,1617
58534,1.000580,988827236,805301897,2021,444318,100082590,2110,2021
59072,1.000566,1166038321,949884131,1445,522363,118051221,301,1445
59072,1.000634,1166513552,949608944,1264,522242,118017031,399,1264
58534,1.127233,929049913,756440196,1977,416163,94007935,2980,1977
60148,1.000668,999307950,813812921,1650,447757,101142477,2359,1650
60148,1.000519,1032887775,841295205,1241,463177,104555536,1431,1241
60148,1.000558,1170432742,953466151,1107,524371,118496380,256,1107
59610,1.000557,1170568707,953577958,1134,524275,118510296,238,1134
60148,1.000751,932419614,759342891,1557,417965,94368757,1913,1556
59610,1.000626,872096874,710134678,1670,390757,88257307,2643,1670
60686,1.000560,997252387,812203064,1516,447401,100940188,1920,1516
60686,1.000580,1166709104,950431255,1259,522644,118119233,265,1260
60148,1.000578,1061580191,864695146,1441,475818,107464344,1091,1442
60148,1.000584,785641550,639657104,1721,352001,79496842,2832,1720
61224,1.000574,1071599345,872755457,1461,479941,108465847,2147,1462
61224,1.000710,1087758861,886071329,1184,487631,110120364,652,1184
61224,1.000553,1170108894,953208135,1136,524066,118464403,213,1136
61224,1.000553,1176707957,958587628,987,526984,119132712,222,987
61224,1.000539,1175317231,957455476,1034,526329,118992254,206,1034
61224,1.000655,1172898196,955450066,1102,525277,118742840,286,1103
61224,1.088460,886754702,721996756,1816,397364,89727490,2960,1816
61762,1.000924,987046305,803833616,1518,442323,99900482,2341,1524
61762,1.000563,1032941073,841365723,1299,463231,104564424,1108,1299
61762,1.000615,1169516305,952722640,1116,523828,118404051,218,1116
61762,1.002223,1041145995,848021105,1365,466484,105389536,1224,1365
61224,1.000732,799395126,650902614,1764,358303,80895958,2736,1765
61762,1.000602,1084445042,883237623,1433,485712,109768368,2045,1433
62300,1.000603,1058100946,861900962,1154,474477,107116563,699,1154
61762,1.000508,1170966178,953906571,1129,524497,118551061,199,1129
61762,1.001600,1041445465,848266686,1441,466715,105422343,1215,1443
61224,1.000625,801962246,652975151,1726,359195,81149394,2768,1726
62300,1.000634,1078274470,878163764,1484,482673,109137161,2173,1484
62300,1.000574,1059862383,863351673,1146,475322,107298140,697,1147
62300,1.000622,1170446261,953481921,1095,524390,118498448,210,1093
62300,1.000577,1119376716,911830944,1260,501580,113322251,641,1261
62300,1.000605,790604020,643741964,1694,354485,80004339,2761,1694
62300,1.000557,1017138269,828360822,1456,455570,102948836,2237,1456
62838,1.000609,1049790159,855120981,1265,470911,106273941,727,1266
62838,1.000546,1165347785,949322279,1304,521997,117981521,274,1305
62838,1.000639,835316933,680195492,1756,374523,84532443,2584,1756
62300,1.000703,935858817,762108724,1673,419290,94716493,2566,1673
62838,1.000609,1061198841,864395963,1301,475942,107426644,1010,1301
62838,1.000517,1165920284,949786208,1236,522417,118039072,313,1236
62838,1.000557,1167091435,950745785,1254,522885,118158380,219,1255
62838,1.000612,982388662,800114048,1598,440173,99435781,1580,1598
62838,1.000759,835758570,680496533,1762,374476,84571350,2783,1762
63376,1.000848,1015707396,827266173,1417,455475,102813657,1856,1417
63376,1.000529,1165457579,949393878,1285,522470,117990525,265,1285
62838,1.000532,1165764952,949657508,1292,522344,118023077,273,1292
63376,1.000643,1114664217,907978996,1395,499552,112841082,633,1395
62300,1.000777,784048327,638353132,1774,351549,79333915,2960,1774
63376,1.000710,1010071075,822613350,1618,452881,102236149,2420,1618
64452,1.000543,1090816454,888577402,1267,488747,110432257,430,1267
63914,1.000619,1165974537,949831178,1231,522322,118044646,253,1230
63376,1.000632,1167047844,950703746,1309,522951,118153262,275,1309
63376,1.202346,1011093435,823323467,2029,453323,102320166,3016,2029
63914,1.000715,977966738,796404070,1696,438247,98976304,2591,1696
63376,1.000643,1059295760,862876498,1267,475112,107239401,668,1267
63376,1.000512,1168457739,951854554,1226,523427,118295859,270,1226
64452,1.000554,1109480465,903752983,1511,497594,112318528,698,1511
63376,1.000595,781356043,636132590,1962,350830,79056741,3089,1962
63914,1.000700,1030977578,839662478,1492,462126,104354901,2232,1492
63914,1.001112,1155431664,940511362,1217,517626,116886129,910,1217
63376,1.000546,1097225271,893823569,1098,491626,111084068,333,1099
64452,1.000555,1170922948,953861998,1146,524619,118545630,244,1148
63914,1.000557,1171428883,954283962,1203,524737,118598022,213,1203
63376,1.053108,1233306275,1004680613,1202,552513,124861379,268,1202
63376,1.000551,786126274,640085467,1736,352429,79551090,2895,1741
63376,1.000562,985072950,802229817,1560,441333,99701275,2354,1560
63914,1.000547,1047329424,853066580,1349,469679,106018590,1196,1350
64452,1.000512,1169794135,952948504,1228,524091,118431955,251,1229
64452,1.000524,1170250694,953313784,1139,524197,118477542,229,1139
63376,1.551410,1419219986,1155803224,2449,635967,143642639,3081,2449
64452,1.000627,1034434625,842496813,1306,463327,104705435,1933,1306
64452,1.000776,1119443117,911791611,1285,501692,113317290,1728,1285
64452,1.000721,1089357281,887389932,897,488257,110284146,466,897
64452,1.000622,1180914474,962015107,976,528890,119558827,231,977
64452,1.000691,1181507920,962497092,983,529180,119618781,185,983
64452,1.842039,1829575832,1490128445,2473,819697,185192381,2560,2473
64452,1.000725,918644008,748073178,1593,411666,92968241,2531,1592
64452,1.000784,1020886395,831511810,1341,457886,103341546,1514,1341
64990,1.000562,1170550070,953556175,1104,524256,118507799,251,1105
64452,1.000551,1170322529,953378138,1118,524260,118485478,268,1118
63376,1.000826,870590888,708946016,1616,390130,88105443,2391,1615
64452,1.000614,917952374,747519192,1650,411307,92903399,2620,1650
64452,1.000553,1022205803,832573265,1284,458355,103471564,1509,1284
64990,1.000616,1173501952,955977165,1085,525539,118808444,219,1086
64452,1.000562,1182784420,963543442,812,529567,119748661,188,812
63376,1.000552,1176420774,958355106,983,526956,119103890,195,983
64452,1.000666,1022859743,833094395,1387,458391,103537017,1346,1387
64452,1.000611,824954198,671700359,1656,369710,83479107,2750,1656
64990,1.000591,1090360655,888056450,1450,488415,110367538,2052,1450
64990,1.000576,1047607804,853330241,1242,469761,106051388,976,1242
64452,1.000503,1169816692,952965058,1201,523944,118434137,274,1201
64990,1.000621,1135009386,924570758,1285,508576,114905852,580,1285
64452,1.000531,790350554,643510675,1753,354101,79975566,2814,1753
64990,1.000574,1013412015,825326462,1503,453997,102571592,2344,1503
64990,1.000676,1048304350,853879519,1165,469894,106119602,1167,1165
64452,1.000533,1170440529,953465488,1169,524247,118496176,272,1169
64452,1.000506,1169570197,952766630,1147,523819,118409448,236,1147
64990,1.000580,924123131,752584055,1597,414188,93531182,2016,1597
64452,1.000577,869553067,708055288,1705,389615,87997342,2666,1705
65528,1.000568,1007386107,820493316,1405,451776,101970515,1507,1405
65528,1.000525,1165641787,949566694,1258,522352,118011918,244,1258
64990,1.000533,951915925,775256860,1566,426753,96349009,1812,1565
64990,1.000494,1009909455,822559650,1303,452321,102227466,1368,1303
64990,1.000610,956289351,778772821,1538,428954,96785619,2161,1538
65528,1.000538,1104449028,899695800,1048,494646,111813882,365,1048
65528,1.000504,1170743063,953717902,1139,524433,118527720,231,1139
64990,1.000500,1169879477,953018449,1154,524131,118440759,245,1154
64990,1.000504,1170758361,953728130,1218,524416,118528964,254,1218
65528,1.000633,938810894,764545560,1573,420735,95015333,1929,1573
64452,1.000626,870198825,708571695,1658,389952,88060464,2637,1658
65528,1.000675,1000288303,814692167,1375,448575,101250961,1805,1377
65528,1.000698,1169957685,953087744,1152,523865,118449165,262,1153
65528,1.000667,85812375,69890187,125,38468,8684437,114,125
64452,0.362258,14750325,11962821,359,7040,1486653,792,359
