temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001709,681251753,605774168,31475,13916577,68870430,30230,31475
56920,1.000769,781158524,696593788,24990,16138070,79115721,21952,24990
57458,1.000723,646525274,564084589,33289,10777634,65158165,31348,33289
58534,1.000588,518799758,417142402,32270,262131,51866401,31815,32270
59072,1.000588,701971883,562513736,59512,353779,69936885,58429,59513
59072,1.000675,746327977,598568607,59639,376837,74420471,57911,59639
59072,1.000693,743447437,596548687,55945,377650,74168379,54561,56247
59610,1.000831,757416077,608078387,54041,383365,75606286,52188,53860
60148,5.546695,4239177556,3402085952,325837,2136558,422972653,314790,325836
61224,1.000948,725306658,581272376,59499,368368,72274395,58279,59497
60148,1.000673,724726289,582189957,50836,368488,72387328,49576,50836
61224,1.000775,738912069,592499091,59327,372689,73661764,57984,59329
60686,1.000901,758941099,608876741,59381,383370,75704909,57962,59380
60686,1.000649,759312678,609150117,59486,385159,75737762,57711,59488
60686,1.000644,778561912,624886655,59278,392486,77692694,57560,59278
60686,1.000773,770582979,618315141,59467,390167,76873564,57564,59469
61224,1.000875,748764016,600520720,59759,381234,74668590,57856,59758
61224,1.000719,745492542,597962511,59532,377881,74346378,57739,59533
61224,1.000861,781069569,627024558,59195,394430,77953402,57179,59195
61224,1.289201,915321860,734269126,69557,464726,91297613,67548,69556
61762,1.000667,739363161,593071756,59013,373060,73736903,57520,59013
61224,1.000622,742642115,595452915,58998,375659,74033917,57656,58998
61224,1.000633,613760586,493292037,41569,309726,61332520,39571,41570
61762,1.000720,735161232,589530612,59820,368887,73290852,57591,59820
62300,1.001020,691325824,555086818,50950,348357,69012601,48759,50952
62300,1.001207,721800453,579789760,50970,362488,72087528,48754,50970
62300,1.000709,689840339,553681773,51190,348568,68840768,49564,51193
62300,1.000821,720311590,577458787,60015,362616,71790096,58116,60017
61762,1.001219,742081765,596327318,51309,374666,74141743,49047,51308
62300,1.000947,744633682,597200604,59852,373072,74250424,57585,59853
61224,1.000791,740335509,594883432,51370,374358,73963894,49084,51370
62300,1.000736,750739579,602224225,59942,377872,74873944,57597,59942
62300,1.000783,748186080,600096319,59764,377330,74606322,57667,59764
62300,1.000891,747573031,600809171,51281,378310,74703941,49180,51281
62300,1.000916,740681681,593813511,59917,374884,73825489,58003,59920
62300,1.001001,704844611,566227287,50470,354570,70397810,48692,50469
62838,1.000983,784625274,629833747,59876,394511,78309519,57356,59876
