temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001951,375274354,296663838,54279,233621,36922935,51475,54280
56920,1.001135,404769676,320975951,51335,239585,39946376,48412,51336
56920,1.001071,408964324,323170902,59900,240640,40216905,56936,59900
57996,1.000936,405463652,320345143,59996,240041,39866516,56884,59995
57996,1.000905,411401921,325116737,59865,241229,40458231,57056,59866
57996,1.001009,411203131,325096601,59916,241811,40459799,57078,59916
57996,1.001235,398300947,314503884,59979,236559,39138526,56876,59981
58534,1.001594,403937562,319070875,60130,239370,39711722,57033,60130
58534,1.001116,415127818,328280102,60081,243247,40849410,57048,60081
59072,1.003211,406879907,321541255,59936,239200,40017519,56777,59936
59072,1.001100,408328730,322698735,60245,241344,40160415,57121,60245
59072,1.001098,408646711,322999078,59953,240716,40197153,56699,59953
59072,1.001079,408060139,323699726,51471,242254,40287102,48355,51471
59072,1.001226,397997875,312891074,68946,236773,38936818,65880,68946
59072,1.000677,412323111,327210632,51396,243556,40721356,48308,51396
60148,1.001141,403207684,318513454,60082,239246,39639242,57136,60082
60148,1.000795,406541678,322487351,51336,240900,40138047,48229,51336
60148,1.000654,408632685,323009083,59967,240598,40194706,56829,59967
60148,1.000752,405991270,320845087,59948,239396,39931630,56914,59948
60148,1.001217,409099408,323348654,60027,241081,40237130,56986,60028
59610,1.001513,408392736,322818275,59913,240466,40173212,56805,59912
60148,1.001370,405810884,320695670,60004,239920,39913497,56876,60001
60148,1.000767,409184537,323391961,60035,241207,40242584,56745,60035
60148,1.001245,410493248,324542295,59769,240856,40387041,56805,59767
59610,1.000778,401252383,316868555,60203,238352,39438264,57053,60203
60148,1.000655,412366627,326057621,59865,241722,40576586,56920,59866
60686,1.000641,409735720,323836312,60087,242000,40298371,57072,60087
60686,1.000732,406758678,321398297,60088,241245,39998106,57061,60088
60686,1.000668,408163561,323834319,51376,242179,40305581,48309,51376
60686,1.000758,393509472,311586642,52468,235831,38778468,49281,52472
60148,1.000974,411035241,325051422,58931,242294,40451263,55889,58935
60148,1.000982,409385115,323588387,60087,241012,40268908,56914,60085
60148,1.000857,408735900,323095328,59936,240458,40207472,56828,59936
60148,1.000787,408822238,323154936,59981,241501,40219142,56902,59981
60686,1.000920,398533764,314823127,59754,236077,39181197,56815,59754
60686,1.000777,411916539,325708112,60039,241433,40532627,57054,60039
60686,1.000712,403500821,318764572,60302,239256,39667870,57027,60303
61224,1.000981,414738050,327535719,59801,242015,40758600,56912,59802
60686,1.001157,404031533,319227697,60050,239369,39727693,56893,60050
60686,1.000844,408359143,322802839,59802,240139,40171039,56884,59803
60686,1.001038,401468236,317116579,60096,238699,39465719,56894,60095
61224,1.000796,407692911,322786090,55642,241771,40171483,52481,55643
61224,1.000884,408596527,322162242,64501,241474,40091600,61475,64501
61224,1.000865,402209184,320194532,42441,239805,39851851,39429,42441
61224,1.000805,418399320,330907751,59787,244231,41181141,56938,59787
61762,1.000941,395216243,312040352,60153,236630,38837022,56985,60153
61762,1.000896,417395808,330168445,59915,244165,41084123,56915,59918
61224,1.001274,398834708,314997939,59898,236953,39202322,56876,59898
60686,1.001197,415195581,328278094,60055,243684,40851634,56913,60057
60686,1.001219,404288577,319457145,60045,238944,39755873,57140,60046
61224,1.001200,406684985,321342155,60121,240541,39993859,56910,60119
61762,1.000811,403636423,318931343,59872,238503,39688269,56903,59872
61224,1.003060,405292929,320237224,60096,240203,39856969,56957,60096
61224,1.000880,413067633,326647218,59660,241370,40646027,56730,59661
61224,1.001157,407021500,321645631,60082,240829,40031685,56898,60080
61224,1.000815,406125054,320907081,60042,240004,39937313,57040,60042
61224,1.000769,404969490,320006543,60183,240083,39825829,56910,60183
61224,1.000886,408354597,322659446,60182,241964,40152754,56908,60182
61224,1.000928,414147076,328680374,51223,243533,40903513,48031,51223
61762,1.000947,403131209,319488463,51341,240153,39762584,48249,51343
62300,1.001218,403721942,318979551,60082,238881,39696642,56863,60083
61224,1.001159,414024630,327175983,59799,242310,40714105,56961,59797
62300,1.003440,402394413,317822039,59913,238143,39552872,57026,59913
62300,1.003135,414655085,327899904,59983,242988,40804412,56946,59983
61224,1.001105,404223552,319417441,60055,238973,39751060,56846,60057
61762,1.001051,406163156,320974891,60103,240007,39944625,56852,60102
62300,1.005743,404390987,319529260,59993,239968,39765658,56934,59994
