temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.007340,667012099,542342675,5030,323955,67425979,4913,5035
56382,1.000645,714053304,581044497,1575,339551,72239959,1048,1574
56920,1.000598,716627796,583126908,1539,340639,72498716,998,1541
57458,1.000599,703837493,572719631,1540,335323,71206093,955,1539
57996,1.000611,729969027,594019750,1520,346035,73851670,950,1525
57996,1.000605,703585876,572502383,1533,335328,71179057,1083,1535
58534,1.000655,709554288,577377180,1534,337789,71784524,964,1533
59072,1.001257,711414224,578898030,1670,338600,71973451,993,1671
59072,1.001357,719467686,585447971,1642,341872,72786955,1049,1645
58534,1.001358,704196419,573001795,1681,335625,71240923,1033,1684
58534,1.001371,708613266,576608253,1717,337625,71688963,1032,1717
59072,1.001227,716605775,583119327,1557,340894,72497808,981,1561
59072,1.001236,711302519,578786218,1625,338359,71959480,1013,1626
59072,1.001409,719404343,585404632,1621,341750,72781542,1028,1621
59610,1.001364,697652985,567680152,1653,332866,70580048,1011,1657
59072,1.001402,716606085,583134750,1651,340729,72499635,965,1652
59072,1.001261,708144680,576229293,1556,337279,71641973,941,1557
60148,1.001365,716803375,583273148,1667,341009,72516850,1060,1668
59072,1.001118,714590705,581486834,1569,340022,72295044,1004,1569
59610,1.000649,709988495,577732002,1456,337921,71828721,954,1457
60148,1.000630,715691415,582373441,1456,340307,72405154,1040,1459
60148,1.000668,704975832,573662081,1488,335873,71323205,871,1489
60148,1.000676,709921870,577683276,1445,337931,71822649,908,1443
59610,1.000635,717155968,583574006,1518,340855,72554320,977,1520
59610,1.000670,717515504,583858484,1477,341136,72589658,907,1479
60148,1.000648,704729955,573430139,1463,335789,71294355,997,1466
60148,1.000612,714881384,581722914,1453,339953,72324414,911,1455
60148,1.000682,715239009,582028065,1393,340006,72362277,926,1390
60148,1.000648,709788485,577577199,1418,337774,71809417,924,1420
60148,1.000642,711032233,578581314,1442,338467,71934245,939,1444
60148,1.000631,709574353,577405653,1458,337852,71788228,922,1462
60148,1.000634,719115856,585181282,1441,341598,72753970,870,1442
60686,1.000632,716415766,582979970,1454,340463,72480590,937,1456
60148,1.000653,710846064,578433909,1447,338288,71915901,940,1445
60686,1.000613,712366320,579665650,1484,338910,72068869,960,1484
60148,1.000624,712827806,580037278,1619,339146,72114684,1106,1619
60148,1.000643,710640058,578225905,1725,338171,71889651,1214,1726
60686,1.000673,706054862,574530870,1428,336309,71431103,937,1427
60148,1.000663,706470820,574734934,1448,336349,71456355,1000,1450
60148,1.000630,715594122,582296392,1484,340107,72395584,983,1484
60686,1.000643,722157299,587654141,1461,342761,73061014,936,1463
60686,1.000623,704146874,572983459,1451,335368,71238921,952,1452
60686,1.000672,706975993,575279449,1483,336553,71524039,941,1486
61224,1.000641,718302535,584514920,1450,341345,72671172,908,1455
61224,1.000624,716252171,582850973,1435,340433,72464479,895,1438
60686,1.000626,717412547,583788130,1449,340884,72580926,925,1449
61224,1.000591,708755651,576735000,1440,337444,71704923,869,1440
60686,1.000662,713067471,580241834,1469,339155,72140272,1039,1468
61224,1.000622,712177525,579507240,1444,338868,72049174,918,1445
61224,1.000623,716223837,582816270,1422,340454,72460223,941,1424
60686,1.000607,715729931,582421356,1436,340333,72411112,937,1439
61224,1.000618,715173485,581956680,1478,340033,72353460,906,1480
61224,1.000629,706771962,575122531,1453,336683,71504542,961,1454
61224,1.000618,720714727,586474228,1468,342397,72914501,958,1467
61224,1.000627,708075235,576179872,1402,337209,71635929,894,1403
61762,1.000639,716300815,582878956,1508,340283,72467910,990,1508
61224,1.000611,705963404,574451177,1460,336189,71421188,1024,1462
61224,1.000630,718112972,584360374,1423,341219,72652054,931,1425
61224,1.000624,713648440,580728562,1429,339434,72200906,904,1429
61224,1.000596,707716220,575872769,1476,337056,71597789,1054,1473
61224,1.000729,723003982,588340485,1459,343212,73146349,983,1461
61224,1.000618,713189534,580361686,1423,339226,72155364,853,1426
61762,1.000611,711962690,579346431,1413,338729,72029307,931,1413
61224,1.000626,711905041,579304904,1379,338658,72024033,881,1380
61762,1.000615,716843957,583330178,1484,340698,72524079,920,1484
62300,1.000700,718594175,584746291,1444,341441,72699959,991,1446
62300,1.000626,707320390,575567292,1390,336790,71559918,897,1392
61762,1.000649,723718060,588935851,1477,343435,73220325,876,1478
62300,1.000627,708628853,576626485,1441,337284,71691393,960,1444
61762,1.000603,703370343,572335550,1508,335156,71158372,995,1512
61224,1.000672,719531282,585522315,1448,341658,72796269,922,1450
61224,1.000605,712400530,579687443,1446,338844,72071628,974,1445
61762,1.000605,711529442,578999311,1403,338524,71986156,916,1403
61762,1.000608,709834673,577613810,1426,337846,71814098,900,1428
62300,1.000616,713925289,580944493,1478,339434,72227747,931,1477
62300,1.000623,712529208,579817195,1421,339089,72087780,943,1421
61762,1.000610,720047709,585934386,1439,342066,72847527,917,1439
61762,1.000620,711483112,578957010,1405,338585,71980884,927,1407
62300,1.000584,713688556,580769197,1441,339472,72205976,828,1444
62300,1.000583,713889941,580890861,1434,339544,72221080,885,1434
61762,1.000575,717154325,583574950,1422,340834,72554375,898,1425
61762,1.000580,715684079,582393451,1400,340293,72407701,838,1400
62300,1.000592,704517191,573280288,1425,335754,71275786,864,1425
62300,1.000594,716576488,583105376,1475,340701,72496124,917,1478
62300,1.000590,710113258,577852237,1409,337900,71843612,871,1408
62300,1.000600,713290733,580422882,1426,339272,72162922,968,1429
61762,1.000592,706458266,574857336,1477,336660,71471686,923,1480
62300,1.000582,717522681,583895580,1385,341122,72594327,795,1385
62300,1.000583,708470979,576505788,1426,337242,71676478,860,1427
61762,1.000585,710910516,578491048,1455,338330,71923056,904,1458
62300,1.000588,713104887,580283156,1469,339244,72145590,934,1468
61762,1.000577,709125682,577043112,1367,337471,71743189,822,1370
62300,1.000589,724920069,589919885,1434,343874,73342550,842,1435
62300,1.000591,717256123,583666121,1444,340804,72565750,849,1444
62300,1.000591,711565664,579007569,1503,338500,71987119,955,1506
62300,1.000592,705923356,574411168,1648,336247,71415892,1035,1646
62300,1.000675,705603100,574132026,1779,336065,71381208,1173,1780
62300,1.000588,709458163,577309841,1439,337645,71776181,886,1438
61762,1.000584,714365919,580839969,1463,339217,72214578,968,1463
62300,1.000587,712098911,579452297,1504,338851,72042345,896,1507
62300,1.000583,719660550,585620098,1433,341758,72808449,940,1436
62300,1.000581,700638727,570123759,1417,334106,70883776,893,1418
62300,1.000579,721261706,586936330,1399,342569,72971957,759,1401
62300,1.000584,705352699,573958479,1422,335977,71360089,885,1426
62300,1.000576,715606768,582331843,1402,340152,72400042,821,1404
62300,1.000596,715833220,582495479,1456,340342,72420383,945,1456
62300,1.000589,710927407,578503149,1474,338427,71924505,880,1478
62838,1.000610,710382759,578067929,1408,338089,71870382,911,1409
61762,1.000584,708891515,576853829,1423,337462,71719709,829,1423
62300,1.000580,719980422,585885274,1427,341911,72841360,856,1427
62300,1.000581,707495258,575715919,1409,336794,71578281,919,1412
62300,1.000584,713760098,580815189,1434,339439,72211670,830,1435
62300,1.000608,713516591,580618697,1462,339348,72187267,922,1465
62300,1.000579,710927643,578508853,1402,338216,71925192,852,1403
62300,1.000582,713992208,581008109,1446,339631,72235641,841,1450
62838,1.000614,710878894,578466351,1490,338406,71919924,939,1493
62300,1.000585,715851392,582518651,1434,340272,72423254,868,1432
62300,1.000574,712655153,579906314,1465,339114,72098747,825,1465
62300,1.000584,710002193,577761239,1423,338089,71832311,872,1424
62300,0.926989,666094076,541921532,1927,317299,67375279,1946,1927
