temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001686,836763972,674449387,46858,420842,83844757,45460,46858
55844,1.000726,898600733,724782049,41475,433942,90099590,38803,41475
56920,1.000747,895537898,721989398,44428,433409,89749747,41952,44622
57458,1.000669,894646975,720956990,46743,430845,89623551,44177,46624
57996,1.000637,901191032,727245251,41508,435328,90405756,38770,41507
57996,1.000781,895216276,721071558,50304,432710,89634123,47642,50304
57996,1.000690,898743037,725037355,41309,433123,90131884,38855,41309
57996,1.000643,897255028,724038746,41422,434307,90007854,38777,41422
58534,1.000630,896858469,722379931,50069,432934,89799246,47560,50069
58534,1.000609,896226912,723242770,41353,432613,89907505,38823,41353
58534,1.000645,898059855,724696847,41518,434412,90089407,38798,41518
57996,1.000674,899356219,724530654,50042,433752,90066050,47587,50042
58534,1.000627,893429773,720962649,41508,431552,89624598,38850,41508
59072,1.000639,898445728,724994890,41415,434565,90126342,38848,41415
59072,1.000642,901269975,726120773,49988,434149,90263139,47491,49989
59072,1.000630,890709747,718715959,41616,431374,89346140,38841,41616
59072,1.000727,902252219,728164301,41383,435617,90519510,38794,41383
59610,1.000895,895707206,721358268,50047,431752,89671604,47573,50048
59072,1.000737,899401659,725806618,41380,434533,90226672,38784,41380
59610,1.000776,895616639,722712840,41530,433616,89842883,38884,41530
59072,1.000830,900895660,725798902,50008,433893,90223210,47480,50008
59072,1.000773,892433057,720111187,41594,431773,89519435,38962,41594
59610,1.000798,898787816,725312761,41416,434805,90165788,38751,41417
59610,1.000783,897851798,723211447,49913,432017,89901310,47593,49914
60148,1.000950,896934254,723778144,41481,434348,89975553,38826,41482
60686,1.000830,907082085,732083143,41292,437160,91003314,38733,41292
60148,1.000993,895796495,721623808,49898,431815,89706281,47542,49898
60148,1.000763,891964082,719710189,41624,432465,89470158,38936,41625
59072,1.000801,901540067,727559081,41372,435630,90444687,38798,41371
60148,1.005445,899072705,724242760,50089,433191,90027179,47641,50090
60148,1.000984,901853371,727833714,41418,435768,90480452,38847,41415
60148,1.000749,902025297,727954436,41416,435646,90493634,38777,41417
60148,1.000743,894881732,720868920,49985,431071,89610567,47597,49985
60686,1.000753,895766812,722790856,41575,433798,89852823,38864,41575
60686,1.007646,905409415,730687195,41474,438034,90834033,38827,41474
60686,1.000749,899783458,724830297,49966,432536,90102000,47564,49966
60148,1.000730,896201108,723168818,41504,434138,89899837,38736,41505
61224,1.000731,894743989,720676543,50147,432827,89588331,47624,50149
60686,1.000803,901449542,727572416,41237,433802,90444683,38749,41236
60148,1.005381,906958923,731972675,41410,438003,90992930,38806,41411
60686,1.000917,895046829,722212859,41589,433170,89777748,38807,41589
60686,1.000863,884552667,712300234,50397,426661,88547001,47997,50397
60686,1.000784,895807322,722430968,41593,433628,89808199,38858,41592
60686,1.000748,900362895,726605842,41420,435271,90326514,38761,41420
60686,1.003572,897830989,723207836,50132,432430,89901273,47651,50132
61224,1.000773,901111674,727218639,41396,435341,90402294,38744,41396
