temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001538,1129164809,919426429,6977,519838,114263402,7148,6982
56920,1.000601,1183825596,963658626,1527,531073,119762193,848,1525
56920,1.000573,1186340439,966380590,1410,532493,120100519,701,1409
57996,1.000589,1187351784,967203253,1363,532687,120202643,679,1366
57996,1.000668,1186649843,966627953,1384,532465,120131207,659,1384
57996,1.000614,1186553265,966546865,1383,532506,120121156,718,1379
57996,1.000569,1187063819,966974104,1321,532705,120174243,646,1320
57996,1.000606,1187297014,967158915,1311,532628,120197245,639,1311
58534,1.000554,1187124750,967023245,1338,532741,120180370,678,1336
57996,1.000606,1186772317,966722235,1378,532634,120142933,694,1379
59072,1.000695,1186276210,966325651,1369,532404,120093679,744,1368
59072,1.000585,1187136172,967014273,1325,532755,120179248,698,1322
59072,1.000564,1186917202,966852723,1348,532733,120159201,660,1347
59072,1.000682,1187430448,967268460,1366,532802,120210837,692,1365
59072,1.000540,1187019385,966941815,1359,532693,120170197,661,1357
59072,1.000658,1186114588,966187429,1383,532302,120076505,760,1384
59072,1.000557,1187395396,967240667,1359,532719,120207285,645,1356
59610,1.000530,1187104755,967010035,1295,532530,120178707,631,1296
59072,1.000540,1187193196,967083900,1294,532576,120187867,661,1296
60148,1.000599,1186234616,966285453,1369,532527,120088709,701,1365
59610,1.000546,1186685941,966666901,1332,532446,120136083,666,1331
59610,1.000570,1186405724,966424013,1406,532538,120105896,709,1408
60148,1.000595,1187316615,967182956,1335,532820,120200241,668,1332
59610,1.000557,1187002920,966914651,1341,532617,120166885,709,1342
60148,1.000552,1187227023,967107416,1352,532917,120190836,664,1349
60148,1.000581,1186641089,966624309,1312,532510,120130847,679,1315
60148,1.000579,1187162227,967054390,1366,532737,120184263,693,1366
60148,1.000560,1186339189,966371086,1336,532343,120099284,710,1335
60148,1.000620,1187202089,967087795,1377,532725,120188369,668,1375
60148,1.000575,1186989636,966891093,1350,532670,120163972,701,1348
60148,1.000552,1186836000,966788978,1362,532685,120151269,678,1362
60148,1.000573,1185757131,965889207,1403,532088,120039376,721,1403
60148,1.000567,1187327894,967189261,1361,532761,120200923,687,1360
60148,1.000560,1186461393,966473965,1359,532463,120112100,693,1360
60686,1.000615,1187354917,967209264,1297,532734,120203500,687,1296
60148,1.000555,1186548657,966544533,1314,532479,120120931,698,1314
60148,1.000532,1187196501,967083898,1327,532597,120187887,697,1327
60686,1.000577,1187069613,966971159,1348,532817,120173906,663,1347
60686,1.000574,1187229642,967107681,1312,532757,120190871,694,1312
60686,1.000569,1186578049,966563642,1379,532430,120123198,709,1378
60686,1.000611,1186767958,966732632,1345,532629,120144229,686,1348
61224,1.000590,1187078579,966977599,1347,532572,120174651,701,1346
60686,1.000569,1187282025,967154766,1323,532674,120196710,677,1324
60686,1.000553,1187249102,967124646,1352,532840,120192923,629,1350
60686,1.000562,1186831872,966785561,1333,532420,120150783,680,1331
60686,1.000607,1186715018,966677271,1357,532422,120137273,738,1355
61224,1.000674,1187125761,967022804,1369,532816,120180255,709,1371
61224,1.000522,1187240126,967116311,1357,532603,120191944,671,1357
61224,1.000522,1187175974,967070372,1328,532759,120186250,648,1330
61224,1.000577,1187237779,967097989,1328,532611,120189675,830,1328
61224,1.000583,1186248172,966299605,1402,532292,120090463,775,1398
