temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.001682,357816002,339065132,9274,12172801,36494704,7527,9274
56920,1.000671,38831096,36569099,1447,1313957,3935358,2255,1447
58534,1.000661,24690,480,126,67,75,224,126
57996,1.000926,36924,19589,39,450,2186,86,39
57458,1.000891,0,0,0,0,0,0,0
56920,1.000844,567232,58351,970,9588,21276,1788,970
59072,1.000660,30143,545,106,73,86,236,106
57996,1.001047,122574,23511,335,756,2681,682,335
57996,1.000950,181117,2885,559,361,455,1244,559
58534,1.001128,64925,23046,190,654,2587,354,190
57458,1.000950,35705,480,133,76,75,257,133
57996,1.001017,35716,448,130,69,70,240,130
57996,1.000925,30275,416,120,66,65,219,120
57996,1.000918,21718,386,121,64,62,209,121
56382,1.000887,12633,204,68,38,35,115,68
56920,6.565765,111041,1697,406,199,266,810,406
57996,1.000649,64297,22681,137,627,2543,274,137
57458,1.000903,0,0,0,0,0,0,0
56920,1.000991,0,0,0,0,0,0,0
56920,1.001005,0,0,0,0,0,0,0
56382,5.183500,264866,3596,865,425,576,1758,865
57996,1.000613,42293,513,168,75,81,286,168
57996,1.000812,74755,22947,194,722,2571,354,194
56920,1.001035,26215,480,136,74,75,250,136
56920,1.001077,34810,480,136,70,75,254,136
57458,1.000852,10497,128,39,19,20,65,39
56382,5.223756,5024,96,27,10,15,47,27
56920,1.548721,284062,26154,876,1030,3082,1780,876
57996,1.000613,36319,512,159,71,80,279,159
57458,1.001051,39564,512,152,75,80,276,152
57458,1.000830,35182,481,136,66,76,252,136
57996,1.000856,30658,448,121,59,70,232,121
56920,1.001225,2089,32,14,5,5,19,14
56920,1.552395,33532,448,140,67,70,246,140
57996,1.000927,26465,512,142,69,80,267,142
56920,1.000906,35492,19595,45,454,2186,91,45
56920,1.000964,0,0,0,0,0,0,0
56382,1.001018,0,0,0,0,0,0,0
57458,1.001030,0,0,0,0,0,0,0
57996,1.000980,0,0,0,0,0,0,0
56920,1.001077,0,0,0,0,0,0,0
56382,1.000921,0,0,0,0,0,0,0
57458,1.000888,231561,6426,746,527,890,1649,746
57996,1.000726,16768,224,57,36,35,111,57
56382,1.588031,64545,20020,139,508,2255,280,139
56382,4.751404,2696,23,15,6,9,26,15
56920,1.114749,167931,4840,700,406,629,1106,700
57996,1.000655,158593,2240,479,275,350,1004,479
57996,1.000676,73307,23032,201,661,2597,372,201
57996,1.000994,25938,480,132,74,75,257,132
56920,1.001126,25756,512,121,77,80,245,121
57996,1.001066,21574,320,67,50,50,134,67
56382,5.019328,153847,2433,513,272,381,1116,513
56920,3.855893,35888,19549,24,533,2182,59,24
57458,1.000557,0,0,0,0,0,0,0
56920,1.000788,0,0,0,0,0,0,0
57458,1.000874,0,0,0,0,0,0,0
56920,1.001100,0,0,0,0,0,0,0
56382,1.000887,22852,3360,110,193,393,218,110
57458,1.000787,204941,3225,664,339,511,1417,664
56920,2.146014,63236,20139,130,535,2276,321,130
56920,4.009940,3899,46,21,10,18,41,21
56382,1.215776,245458,6446,770,467,889,1610,770
57996,1.000589,47374,673,174,91,106,341,174
57458,1.001071,70413,23093,219,701,2604,408,219
57458,1.001006,23169,480,121,69,75,236,121
56920,1.000902,30804,480,111,72,75,225,111
57458,1.000951,19574,256,81,36,40,136,81
56920,5.774732,176700,2528,628,313,395,1243,628
57458,1.000613,34799,19494,20,430,2171,41,20
57458,1.000858,12068,3131,56,163,356,110,56
56382,1.739261,256779,3608,794,437,570,1673,794
56920,2.195513,54988,19988,124,571,2251,272,124
56920,5.270126,2784,23,15,6,9,26,15
56920,1.305450,217019,6277,738,490,857,1534,738
58534,1.000629,59087,864,223,112,135,440,223
57996,1.001035,74902,23235,175,712,2607,339,175
57458,1.000856,22649,352,87,50,55,165,87
56920,1.001060,0,0,0,0,0,0,0
57458,1.000873,0,0,0,0,0,0,0
56382,1.000975,0,0,0,0,0,0,0
56382,2.312789,2307,43,14,7,7,25,14
56920,1.001001,0,0,0,0,0,0,0
56382,1.000893,0,0,0,0,0,0,0
56920,0.444778,67175,7428,332,475,847,748,332
