temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.002891,395548324,375452701,9589,13454985,40360359,8519,9589
57996,1.000740,30809,576,111,79,90,245,111
56920,1.000907,40794,19750,85,449,2212,134,85
57458,1.000661,0,0,0,0,0,0,0
56920,1.001076,0,0,0,0,0,0,0
56920,1.001153,149705,4978,512,372,661,1107,512
57458,1.000607,111955,1572,399,198,249,714,399
57996,1.000695,59482,19943,144,503,2242,269,144
56920,1.001121,0,0,0,0,0,0,0
56920,1.000938,0,0,0,0,0,0,0
56382,1.001021,67974,3837,264,243,475,537,264
56920,1.000679,178144,2593,521,303,406,1197,521
57996,1.000674,17453,385,65,52,61,157,65
56920,1.001047,41892,19684,70,491,2203,142,70
57458,1.000610,0,0,0,0,0,0,0
56920,1.000879,0,0,0,0,0,0,0
56382,1.000961,0,0,0,0,0,0,0
56382,1.488915,254891,6475,832,498,890,1752,832
57996,1.000652,33403,515,139,83,83,267,139
57458,1.000889,35844,19558,37,516,2181,80,37
57996,1.000900,0,0,0,0,0,0,0
57458,1.001116,0,0,0,0,0,0,0
56920,1.000890,142741,5044,492,368,668,1074,492
56920,1.000569,102087,1537,282,185,241,665,282
57458,1.000727,22138,480,86,65,75,197,86
56920,1.000887,31234,19493,43,493,2171,39,43
57996,1.000891,0,0,0,0,0,0,0
56382,1.001009,20281,3171,94,170,363,198,94
56382,1.000970,228609,3394,728,366,532,1533,728
57996,1.000627,39339,480,215,88,75,307,215
57458,1.000927,33632,19521,30,478,2176,62,30
57996,1.000903,0,0,0,0,0,0,0
56920,1.000968,0,0,0,0,0,0,0
56920,1.000864,224780,6271,696,482,859,1507,696
58534,1.000673,45651,608,162,77,95,304,162
58534,1.001172,47804,19723,108,560,2208,196,108
57996,1.000632,0,0,0,0,0,0,0
57996,1.001031,63276,3675,328,239,426,498,328
56920,1.000647,151466,1954,538,244,307,1003,538
58534,1.000652,87600,1506,284,174,237,649,284
58534,1.000625,33100,19528,16,434,2176,54,16
58534,1.000596,0,0,0,0,0,0,0
56920,1.000851,0,0,0,0,0,0,0
56920,1.000845,0,0,0,0,0,0,0
56920,1.000896,221157,6158,726,485,838,1582,726
58534,1.000599,43704,640,131,84,100,293,131
58534,1.001077,44480,19780,81,499,2216,173,81
57996,1.000643,0,0,0,0,0,0,0
57996,1.000886,0,0,0,0,0,0,0
57458,1.000999,0,0,0,0,0,0,0
56920,1.000962,250717,6329,855,522,866,1728,855
58534,1.000713,42476,608,159,90,95,301,159
57996,1.000844,40949,19651,190,539,2197,123,190
57996,1.000571,0,0,0,0,0,0,0
57458,1.000842,0,0,0,0,0,0,0
56920,1.000868,251639,6333,821,527,865,1714,821
59072,1.000774,47828,640,170,94,100,309,170
57996,1.001041,41301,19682,92,481,2201,132,92
58534,1.000633,0,0,0,0,0,0,0
57458,1.001039,0,0,0,0,0,0,0
57458,1.000997,291698,6601,1143,593,892,1986,1143
59072,1.000779,88995,20075,297,558,2262,452,297
57996,1.000956,0,0,0,0,0,0,0
57996,1.000635,0,0,0,0,0,0,0
57458,1.000924,0,0,0,0,0,0,0
57458,1.000848,0,0,0,0,0,0,0
57458,1.000925,11057,3053,44,142,339,96,44
56920,1.000772,243583,3595,833,389,569,1702,833
57996,1.000542,70049,20037,155,610,2257,305,155
58534,1.000703,0,0,0,0,0,0,0
57996,1.000877,0,0,0,0,0,0,0
57458,1.000969,112287,4545,393,323,589,825,393
57458,1.000737,167554,2210,577,277,347,1116,577
59072,1.000784,52077,19880,108,527,2231,224,108
57996,1.000870,0,0,0,0,0,0,0
58534,1.000859,0,0,0,0,0,0,0
56920,1.000833,0,0,0,0,0,0,0
57458,1.001066,0,0,0,0,0,0,0
56920,1.709948,257788,6668,819,572,904,1796,819
59072,1.000815,26935,512,101,56,80,227,101
58534,1.000945,32098,19497,45,451,2172,40,45
57996,1.000865,0,0,0,0,0,0,0
57458,1.000988,126865,4744,470,345,607,949,470
57996,1.000634,163853,2048,520,271,320,1033,520
59072,1.000609,55661,19879,142,523,2231,241,142
57996,1.000637,0,0,0,0,0,0,0
57996,1.000995,0,0,0,0,0,0,0
57996,1.000928,0,0,0,0,0,0,0
56920,1.001045,19095,3277,82,166,379,160,82
56920,1.000962,235379,3427,740,356,538,1571,740
58534,1.000744,45713,684,246,101,100,364,246
57996,1.000795,31471,19324,27,536,2153,37,27
57996,1.001093,0,0,0,0,0,0,0
56920,1.000846,0,0,0,0,0,0,0
56920,1.000945,265238,6537,898,580,898,1792,898
58534,1.000554,53515,576,245,97,90,350,245
57996,1.015720,35220,19558,42,459,2181,81,42
58534,1.000582,0,0,0,0,0,0,0
56920,1.000835,0,0,0,0,0,0,0
56920,1.000921,13403,3235,71,144,372,127,71
57458,1.000730,242706,3522,756,404,552,1633,756
58534,1.000667,65931,20038,148,537,2257,297,148
57996,1.000782,0,0,0,0,0,0,0
57996,1.001684,0,0,0,0,0,0,0
57996,1.001684,0,0,0,0,0,0,0
57996,1.002094,248610,6632,786,532,903,1723,786
57996,1.000614,29776,576,99,81,90,230,99
57996,1.000968,33503,19526,26,453,2176,60,26
57996,1.000976,0,0,0,0,0,0,0
57996,1.000850,0,0,0,0,0,0,0
56920,1.000797,214157,6365,710,482,860,1556,710
57996,1.000571,54029,672,193,101,105,344,193
58534,1.000769,43745,19715,81,503,2207,161,81
59072,1.000527,0,0,0,0,0,0,0
57996,1.000774,0,0,0,0,0,0,0
57996,1.000841,209909,6198,708,471,828,1516,708
59072,1.000611,68958,868,214,124,139,434,214
58534,1.000562,45498,19751,157,495,2212,153,157
57996,1.000601,0,0,0,0,0,0,0
57458,1.000792,0,0,0,0,0,0,0
57996,0.705601,69912,7397,327,455,839,756,327
