temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001606,380889113,353548212,49728,12692904,38073265,46672,49728
56920,1.000969,401462941,375051313,35108,13478978,40368805,31224,35108
56920,1.001311,404557151,377781116,34886,13565426,40668601,31224,34708
57996,1.001731,46643051,22664407,115759,836305,2515307,111317,115757
59072,1.000918,29760775,2214290,138207,117099,349488,132264,138207
59610,1.000937,33812822,2546583,155904,137395,405016,149093,155907
59610,1.001159,37179220,2761536,173976,143026,432708,166651,173977
59610,1.030959,37855544,2875651,175270,155680,458078,167009,175272
59610,1.000968,37268334,2806798,174390,148065,442757,166607,174390
60148,1.000969,36968498,2757285,174046,142552,431750,166640,174048
60686,1.001006,34075840,2611866,156611,144670,419547,148953,156611
59610,1.000979,36921643,2740346,173653,140738,428003,166446,173652
60148,1.000931,37032509,2774429,174029,144480,435559,166550,174028
60686,1.000991,37171122,2800498,174345,147359,441366,166573,174347
60148,1.201522,41852892,3177452,194249,171088,505014,185743,194247
60686,1.001042,36816785,2768881,173527,143889,434326,166575,173527
60148,1.301649,45578890,3412869,212501,179055,537184,204064,212499
60686,1.000997,33921477,2606655,155781,144065,418381,149129,155779
61224,1.000978,37314953,2743580,173202,141042,428697,166598,173203
61224,1.000910,36862855,2752089,173164,142009,430617,166445,173162
60686,1.000650,35652060,2716572,165111,147141,432748,157843,165111
61224,1.000707,35676757,2694466,164745,144725,427831,157721,164746
61224,1.000976,37742256,2791548,173900,146392,439375,166715,173899
61224,8.073658,301852436,22740586,1409978,1196271,3583570,1350383,1409977
62300,1.010199,21310459,1575780,98948,82082,246732,94429,98947
62838,1.000730,33695901,2501808,156564,132443,395092,148755,156565
62838,1.000928,34048897,2597420,157025,141200,413936,149054,157027
62300,1.001163,36821823,2729945,174221,139544,425710,166466,174219
62838,1.001298,33870609,2601451,157314,143467,417199,149032,157315
62300,1.001273,36817437,2731038,174225,139662,425913,166615,174226
62300,1.001188,35295845,2671146,165560,142096,422691,157686,165559
62838,1.001364,35705153,2647704,165115,139485,417396,157711,165115
62300,1.001230,34681454,2637657,161029,143072,420626,153551,161350
62838,1.001305,32572742,2415178,151193,127808,381246,143182,151001
63376,1.001574,37298841,2707286,175548,137050,420718,166149,175546
62838,1.001263,34388363,2523842,157648,134892,399940,148760,157649
63376,1.001062,34485123,2562626,157790,139186,408601,148808,157791
62838,1.000983,37386994,2732584,175477,139901,426279,166388,175475
62300,1.000990,36071721,2690510,166653,144631,427415,157336,166654
62300,1.000973,35551668,2629246,166475,137142,412975,157846,166473
63376,2.235980,79889611,5993339,372386,320100,949783,352439,372387
63376,1.518652,50741286,3783384,234483,200395,597249,223208,234481
63376,5.376533,182044449,13365825,846604,702262,2105099,797912,846604
63914,1.000813,33613135,2538158,156477,136477,403167,148901,156478
63376,1.001001,35158044,2625734,164799,137107,412594,157640,164798
63914,1.001316,35167325,2658253,164887,138848,417305,157974,164889
63914,1.001436,34052503,2596155,156309,142903,416061,149030,156309
64452,1.000993,37475258,2724787,173468,139044,424566,166565,173468
63376,1.210441,45222647,3388937,212217,176439,531981,203316,212216
63376,1.001018,35515649,2705672,165473,145959,430306,157843,165473
63914,1.000992,35593298,2694299,165224,144690,427780,157846,165227
63914,1.001157,37344100,2788897,173940,146169,438833,166472,173940
64452,1.001186,36919009,2780355,173697,145152,436882,166391,173698
63914,1.001079,33358247,2492025,155842,131367,392950,148260,155841
64452,1.656923,55712481,4130765,256823,222422,656549,242104,256824
64452,1.001231,34036076,2520333,157095,134443,399196,148709,157096
64452,1.001210,32729409,2406868,155528,118413,369718,147638,155528
64452,1.000875,29978338,2247731,138840,122382,358624,130776,138842
64990,1.001267,37207394,2766100,176042,143513,433756,166305,176040
64452,1.001045,35899249,2698093,167583,145103,428692,157657,167585
64452,1.001121,35394941,2629484,166832,137442,413405,157355,166832
64452,1.001328,37583516,2786055,176559,145734,438216,166328,176562
64452,1.000965,35698846,2696844,166812,146136,429955,156789,167128
64452,1.000916,35684553,2595860,166985,132780,404532,157827,166790
64452,1.000976,26230058,1937318,119003,106088,309684,113038,119005
64452,4.331478,150402403,11299130,701911,600403,1786950,668346,701911
64990,5.800957,210608648,15827109,988933,828725,2489511,944031,988932
64990,1.001002,30119704,2224790,138187,119842,353605,130400,138190
64452,1.001171,34226828,2542071,158011,136905,404030,148834,158009
65528,1.001310,34431036,2517651,157439,133979,398278,148873,157439
65528,1.001339,34039230,2523203,157138,134854,399883,148810,157137
64990,1.001120,37266059,2706208,174645,136928,420399,166412,174647
64990,1.001144,34192147,2599230,157447,143315,416802,148935,157448
65528,1.001307,37154667,2733924,174263,138081,424091,166494,174261
64990,1.001352,33887362,2582031,156811,141351,412920,148868,156813
65528,1.001371,36772008,2713384,174070,137746,421990,166559,174069
64990,5.191849,180195797,13472846,838454,714675,2129294,797936,838456
65528,1.126448,37536189,2801477,176630,147516,441542,167260,176630
65528,1.001322,35442226,2670479,166437,142067,422569,157541,166437
65528,1.001266,35804667,2710281,166376,146452,431362,157724,166377
64990,1.001220,37421085,2791832,175264,146399,439432,166416,175261
65528,1.001085,37137027,2772816,175129,144288,435222,166505,175130
64990,1.001018,36948533,2747727,174901,141595,429653,166390,174904
64990,1.001046,33999584,2600236,157385,143379,416981,148941,157388
65528,1.000974,36932960,2717891,174253,138232,423002,166362,174253
65528,1.000989,33966874,2567080,156675,139693,409592,148894,156674
66066,1.001012,35656362,2674781,164904,140796,421307,157731,164905
65528,1.000937,32968930,2466200,155129,128499,387188,148266,155128
66066,1.000790,35666531,2602744,166717,134576,407482,157486,166720
65528,1.001031,34007286,2540651,157654,136721,403672,148805,157654
66066,1.000810,34115292,2583428,157715,139801,411095,148710,157717
66066,1.000988,37258138,2729727,175005,139530,425615,166196,175007
65528,1.000837,29673344,2245964,137648,122183,358313,130208,137647
65528,1.000762,13209144,1036701,58782,61740,171309,55168,58781
64452,1.001115,13207655,1036659,58774,61734,171302,55150,58773
63376,1.000754,13207655,1036659,58774,61734,171302,55150,58773
63376,1.001066,13207655,1036659,58774,61734,171302,55150,58773
63914,1.000773,13207655,1036659,58774,61734,171302,55150,58773
63376,0.576801,13279566,1044218,59120,62196,172169,55922,59119
