temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.002149,481739186,442024134,88735,15873479,47591439,82190,88736
56920,1.000915,527657026,481622372,112560,17289598,51835412,104906,112560
57996,1.001023,234926380,205755474,93107,7407317,22197622,87427,93108
59072,1.001215,27844921,2082452,130348,111146,329869,123766,130349
59072,1.001052,34375336,2528880,160035,131944,397247,152306,160034
60148,1.143309,38706243,2974536,181344,162982,475893,171692,181347
59610,1.000937,39977753,2883839,192385,138439,439753,184230,192387
60148,1.000978,33887783,2613497,157799,144814,419927,149178,157803
60148,1.000980,34121640,2598831,157615,143212,416669,149228,157615
60686,1.000968,34080107,2529873,156853,135560,401305,149124,156853
60148,1.352928,48527512,3585618,232095,179979,555467,222186,232096
61224,1.000985,33853969,2563305,156999,139236,408746,149287,156997
61224,1.000881,36124777,2714126,169391,143350,428564,161606,169670
61224,1.000753,38082826,2755332,178715,137292,425605,171401,178538
61224,1.000713,34024813,2577701,156909,140781,411899,149323,156909
60686,1.000778,34145302,2600161,157100,143338,416969,149283,157101
61762,1.000947,38388554,2818447,182887,140315,435371,175304,182886
61762,1.000733,35389484,2642878,165490,138943,416276,158075,165493
61762,1.000963,33877611,2606873,157056,144045,418433,149346,157056
61224,1.000966,35648275,2708343,165618,144496,428803,157962,165617
62300,1.001009,38542307,2788433,182838,136948,428570,175337,182839
62300,1.000947,32923079,2446744,153737,129258,386220,145436,153737
62300,1.000758,34663177,2656271,161355,143110,421755,152027,161358
62300,1.001069,32953706,2412190,156494,122415,375296,147653,156494
61224,1.000930,34072059,2553267,159337,138009,406451,148867,159340
62300,1.000981,34398525,2602089,159756,143456,417405,148880,159752
62300,1.000963,34067256,2545309,158529,137022,404439,149006,158528
62300,1.002626,27638686,2031091,128370,107240,320262,121730,128370
62300,1.000929,31947130,2352300,147530,124710,371552,139968,147531
62838,1.000981,40325793,2913123,192892,141724,446419,184001,192892
62838,4.404485,150259886,11385458,707196,609565,1806035,669762,707196
62838,4.096971,141630847,10688179,664669,568725,1691420,632043,664669
63376,1.000790,37159592,2730842,174239,139654,425938,166691,174241
63376,1.001249,37397427,2740155,174384,140636,427870,166834,174386
63376,1.001016,34148066,2621812,157298,145716,421758,149211,157298
63376,1.001262,38476692,2859568,183381,143154,442322,175455,183382
63376,1.001212,35745849,2690732,166050,144300,426944,158170,166051
63376,1.001322,33835208,2595122,157198,142797,415830,149308,157199
63914,3.995830,139598576,10449164,661198,542120,1638029,630279,661205
63914,1.000993,32534063,2443102,150433,132565,389402,142513,150434
63914,1.001097,35055204,2624220,163799,137660,412701,155506,163798
63914,1.000922,33990354,2590693,157866,140584,412636,149241,157867
63914,1.001560,33415314,2447589,156783,126424,383071,148313,156785
64452,1.001094,31691673,2368914,148315,126749,375559,139838,148316
63376,1.001262,35993307,2630599,167500,137655,413723,157628,167502
64452,1.346848,48929465,3617969,227369,192641,572765,213400,227368
63914,1.001117,35881485,2665400,167954,141474,421417,157783,167954
63914,1.001136,36299080,2674647,168364,142087,423081,158022,168364
64452,1.000864,37917684,2719635,176009,138770,423748,165959,175838
64452,1.001063,36696339,2717450,168543,147202,433027,157745,168546
63914,1.001069,39600010,2835090,185357,142078,439083,175273,185359
64452,1.001620,26845087,2015849,121160,114372,326463,113605,121158
64452,1.000752,33207919,2402576,156364,121368,372993,148690,156364
64990,1.001207,34072089,2526942,157795,135147,400657,148986,157796
64990,1.001137,33878629,2559465,157466,138803,407892,149074,157464
64452,1.001286,35634674,2636047,165942,138225,414891,157809,165942
64990,1.000868,33976529,2570937,157532,140061,410453,149151,157532
64990,1.000787,38503561,2792793,183493,137431,429627,175273,183493
64990,1.001342,34020489,2577430,157391,140764,411824,149281,157392
64990,1.001604,33942014,2604232,157554,143750,417858,149200,157554
64990,1.001593,35940900,2658372,165849,140717,419826,158044,165850
64452,1.001590,38787715,2794457,183126,137592,429938,175491,183128
65528,1.001616,34182626,2614268,157141,143224,417918,149427,157144
65528,1.001368,34095414,2599696,157325,143336,416857,149397,157326
64452,1.001647,33143039,2482913,156242,130307,390885,148408,156241
64990,1.001657,36344163,2650463,170433,135913,413768,161425,170432
64990,1.001621,37327645,2701051,175994,135789,418636,166988,175994
65528,1.001576,34499568,2562345,161991,134533,403418,153316,161991
64990,1.000850,34061430,2579151,158294,140947,412213,149103,158297
64990,1.001186,33867942,2562693,157834,138988,408308,149145,157835
65528,1.001114,34142011,2566918,157711,139674,409585,149056,157713
65528,1.001114,32841093,2386147,156020,116090,365052,147732,156020
