temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
47236,1.001001,25130512,2427179,114838,128113,387338,109143,114838
48850,1.000740,27086835,2027437,125589,113914,335950,119078,125589
49926,1.000751,26409895,1967876,119581,113147,328784,113403,119581
50464,1.000803,25402860,1960502,118111,114142,329799,111679,118111
50464,1.000726,25410072,1959318,117926,113835,329101,111761,117928
50464,1.000880,25481482,1966065,117930,114792,331044,111712,117930
50464,1.000656,25402988,1954330,117963,113500,328558,111591,117963
50464,1.000823,26656032,1955463,118171,113332,327838,111950,118171
51540,1.000897,25482318,1964710,118441,114709,330883,111703,118443
51002,1.001138,25427822,1957281,117915,113836,329140,111683,117914
51540,1.000875,25443579,1961089,117979,114233,330024,111679,117979
51540,1.000897,23980470,1876748,109385,114012,321432,102892,109387
51540,1.000905,26459749,1954245,118320,113193,327621,112010,118319
52078,1.000744,24045166,1879785,109216,114260,321774,102946,109216
51540,1.000848,27516582,2036826,126672,113542,336688,120501,126671
52078,1.000863,25506133,1956018,118064,113674,328928,111664,118064
52616,1.000944,24037132,1875024,109239,113811,321058,102814,109240
51540,1.001123,26493443,1964006,118584,114204,329641,112045,118583
52616,1.000978,25926474,1955488,117875,113709,328767,111426,117767
52616,1.001095,27334011,2052375,126820,115052,339642,120540,126819
52616,1.000827,25565863,1955320,118109,113595,328727,111659,118109
53154,1.000812,24641155,1917869,113116,114665,326077,106601,113116
52616,1.010670,28757903,2090573,132180,114270,342890,125637,132180
52616,1.000842,24408383,1871157,109356,113116,319395,103149,109356
53154,1.001148,25644476,1959536,117923,114062,329677,111638,117923
53692,1.000999,25598614,1966506,118294,114451,330582,112026,118292
53692,1.000777,25679012,1956207,117734,113970,329205,111371,117735
53692,1.000912,24186972,1882443,109461,114192,322226,103530,109645
53154,1.000694,27844243,2027910,126218,113064,334803,119912,126103
53692,1.000765,25265712,1941365,115793,114371,328087,109366,115793
53692,1.000877,27467842,2052529,127775,114062,338725,121454,127773
53692,1.000680,22599680,1804532,101688,113757,313975,95485,101688
53692,1.000836,25845812,1954788,117870,113554,328645,111659,117870
53692,1.000924,28159046,2038132,126895,113392,336165,120809,126895
53692,1.000942,24335570,1878682,109401,114203,321727,102985,109400
54230,1.000853,28741082,2120635,134576,114656,345912,128145,134574
53692,1.000637,26257285,1996840,119596,116444,334952,113066,119596
54230,1.000809,25441834,1955501,118092,113653,328927,111770,118093
53692,1.000977,26522522,1971438,118531,114940,330981,112212,118532
54768,1.001042,25487719,1960005,117945,114129,329778,111711,117946
54768,1.001139,25665908,1961317,117998,114221,329941,111741,118001
54230,1.001206,25482148,1958977,117814,113985,329506,111722,117817
54768,1.001180,25506375,1960167,118128,114137,329863,111695,118129
54230,1.003719,25868379,1973036,118550,115297,331877,111805,118549
55306,1.000923,26383045,1961357,118426,113958,329087,112033,118425
54768,1.001003,25513411,1953352,117964,113420,328393,111689,117966
55306,1.001141,25470248,1963959,117912,114502,330485,111681,117911
54768,1.007762,25516920,1965183,118115,114786,331116,111722,118116
54768,1.001343,25497712,1965937,117831,114660,330894,111708,117831
55306,1.001183,26257587,1957604,118119,113635,328484,112109,118119
55844,1.001152,25462879,1955556,118012,113645,328880,111606,118012
54768,1.000817,25679773,1981568,118455,116186,333649,111924,118455
54768,1.005605,25508152,1964419,118162,114591,330747,111699,118163
54768,1.001231,25703867,1959240,117906,113984,329494,111695,117906
55306,1.001056,26885392,1953498,118154,113169,327526,111989,118153
55844,1.001227,25492077,1952775,117829,113346,328270,111731,117828
55306,1.000996,25650139,1963717,118185,114446,330354,111750,118186
55844,1.001252,25611800,1966193,117952,114681,330846,111688,117954
55844,1.001267,25743387,1972465,118243,115306,332047,111650,118244
55844,1.000911,26211035,1966622,118571,114448,330101,112058,118570
55844,1.000734,25770982,1955197,118130,113602,328785,111735,118131
55844,1.000969,25720184,1972480,118328,115342,331973,111852,118330
55844,1.001138,26262013,1991187,121512,114175,333084,115042,121691
55844,1.000807,25292301,1925701,114350,114014,326142,107926,114235
55844,1.001030,26205831,1960272,118151,113809,328823,111879,118151
55844,1.001010,26218243,1944880,118048,112518,326479,111727,118049
55844,1.001104,25676709,1956991,118175,113827,329169,111633,118176
55844,1.001019,25800836,1971616,118380,115274,331923,111759,118380
56920,1.000938,25652476,1958449,118042,113929,329395,111599,118043
55844,1.001086,25761664,1957603,118176,113816,329169,111732,118178
55844,1.001117,26486246,1954192,118502,113197,327671,112023,118500
56382,1.001023,25584494,1960617,118221,114127,329795,111629,118220
56382,1.001029,25665848,1965482,118025,114615,330690,111807,118025
55844,1.001221,25719367,1956833,118069,113761,329068,111583,118070
56920,1.001139,25569735,1953269,118019,113430,328434,111563,118021
56382,1.001124,26570368,1974855,118629,115278,331612,112061,118629
56382,1.000852,25627287,1955481,118065,113591,328722,111611,118065
56382,1.000836,25784649,1955493,117979,113571,328641,111682,117979
56382,1.001021,25770146,1964017,118102,114436,330383,111628,118103
56382,1.001172,25931356,1957540,118181,113797,329146,111557,118183
56920,1.001240,27046023,1948769,118136,112614,326431,111952,118137
56920,1.001218,26017600,1964515,118371,114517,330486,111827,118371
56920,1.001205,25773249,1956062,118250,113672,328812,111726,118249
56920,1.001257,25689472,1956228,117814,113671,328889,111666,117815
56382,1.001200,26230932,1952461,118235,113275,328082,111687,118234
56382,1.000932,25594579,1955104,118041,113574,328616,111641,118041
56382,1.001026,25665118,1956702,117909,113715,328921,111683,117909
56920,1.001254,26706908,1967564,118471,114535,330125,112058,118470
56920,1.001046,25795335,1961322,118186,114223,329927,111714,118186
56920,1.001174,25877952,1958133,118152,113883,329265,111751,118152
56920,1.001027,25989134,1956203,118108,113704,328916,111702,118110
56920,1.001254,26022000,1953922,118284,113472,328336,111896,118285
