temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001620,2432208,778692,5682,55804,159090,6629,5682
55844,1.000704,1383649,251793,337,43834,98540,125,337
56920,1.000720,1428301,260824,358,45389,102074,102,358
56920,1.000747,1435724,261534,477,45515,102342,117,477
57458,1.000769,1380597,248350,541,43241,97192,185,541
57458,1.000694,1433064,261996,468,45588,102533,88,468
57996,1.000718,1427441,260431,325,45318,101917,126,325
57996,1.000667,1430568,261257,340,45460,102233,100,340
57996,1.000665,1437632,262299,339,45650,102649,115,339
58534,1.001092,1454944,263452,615,45841,103100,151,615
57996,1.000556,1431286,261516,396,45508,102342,92,396
58534,1.000672,1443241,263518,346,45855,103131,102,346
59072,1.006345,1438891,261818,463,45564,102458,132,463
58534,1.000556,1438043,262050,436,45609,102558,104,436
59072,1.000698,1433095,261799,318,45552,102455,101,317
59072,1.000658,1435392,260467,484,45324,101930,146,484
59072,1.000750,1435750,262857,336,45738,102869,89,336
59072,1.000773,1434184,261343,356,45488,102282,126,356
59072,1.000684,1444038,263010,444,45767,102923,127,444
59072,1.000730,1439420,261695,758,45545,102419,114,758
59610,1.000739,1433775,261029,469,45420,102146,123,469
59072,1.000708,1446791,263250,351,45819,103031,147,351
59610,1.000729,1427648,261269,332,45459,102239,92,332
59072,1.000640,1434459,262221,365,45633,102621,103,365
60148,1.000605,1441792,262561,355,45707,102755,121,355
60148,1.000609,1434224,262124,292,45609,102585,99,292
60148,1.000679,1396109,252041,486,43881,98637,160,486
59610,1.000628,1433452,260456,449,45332,101930,144,449
59610,1.000601,1440319,262272,453,45634,102631,101,453
60148,1.000619,1444638,263133,465,45795,102977,119,465
60686,1.000624,1438552,261336,469,45482,102275,144,469
59610,1.000560,1427947,260917,346,45397,102106,97,346
59072,1.000557,1432944,261872,637,45573,102487,86,637
60148,1.000591,1444526,262221,382,45629,102620,149,382
60148,1.000554,1423892,260030,320,45245,101765,110,320
60148,1.000551,1436817,261917,344,45570,102502,112,345
60148,1.001047,1432718,260667,497,45363,102011,127,497
60148,1.000607,1435921,261798,334,45554,102451,110,334
60148,1.000565,1443110,263449,487,45845,103104,91,487
60148,1.000910,1433942,260427,441,45317,101918,143,441
61224,1.000568,1432767,263121,308,45791,102975,62,308
60686,1.001316,1462001,264946,723,46131,103683,148,723
60686,1.000553,1462115,264510,583,46049,103517,166,583
59610,1.000543,1462477,265474,494,46208,103893,142,494
60686,1.002999,1453565,266064,303,46301,104125,79,303
60686,1.003151,1501922,270270,520,46475,104398,450,525
60686,1.001359,1565255,296975,864,47741,107800,575,864
61224,1.001291,1565339,297228,821,47760,107913,584,820
60686,1.001289,1564255,296971,942,47740,107796,593,944
61224,1.001355,1567922,296591,838,47667,107655,613,838
61224,1.001255,1565542,296659,755,47648,107675,612,758
60686,1.001352,1564323,297115,955,47765,107861,579,958
61224,1.001385,1566430,295416,885,47468,107200,630,885
60686,1.001340,1568595,297170,902,47736,107880,600,904
60686,1.001358,1572744,296884,882,47730,107757,635,887
61224,1.001192,1570328,296113,852,47549,107463,666,851
61224,1.001373,1571481,296506,843,47658,107625,672,842
61224,1.001329,1563214,296133,796,47563,107480,589,800
61224,1.001373,1572942,297381,1021,47794,107963,613,1022
61224,1.001219,1561538,295830,769,47483,107310,605,772
61762,1.001332,1529079,290803,751,46692,105395,576,750
61224,1.001336,1563551,295802,806,47554,107355,607,808
61224,1.001358,1560018,295676,906,47539,107298,580,908
61762,1.001264,1546377,293328,902,47074,106372,599,901
61224,1.001366,1554596,294471,949,47297,106824,607,948
61224,1.001275,1562178,295173,854,47420,107092,655,856
61224,1.001335,1545617,292716,853,46997,106137,604,856
61762,1.001339,1559419,294434,833,47298,106808,657,832
61224,1.001296,1556433,294904,1036,47400,106995,614,1037
61224,1.001253,1561046,292951,1030,47052,106183,698,1032
61224,1.003206,1577734,291630,1602,47094,105655,810,1602
