temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.006987,35418145,3111777,164495,153109,474347,156064,164498
56920,1.000774,35013437,2676797,159863,149472,430636,149782,159865
57458,1.000798,40436357,2926351,190542,144717,450425,180962,190541
58534,1.000834,35692932,2685166,163496,146499,428219,153533,163501
58534,1.000764,36684553,2752514,168335,148838,437577,158674,168339
59072,1.000796,39748696,2857205,185491,142214,440642,175818,185491
57996,1.000772,35110899,2675899,160054,149449,430588,149762,160055
59072,1.001027,41241211,2958462,194265,144405,453227,184608,194264
59072,1.000756,34955347,2655392,159915,147112,425885,149831,159916
59610,1.000782,35096856,2677557,159937,149592,430935,149812,159939
59072,1.000843,41139654,2937281,194406,142005,448425,184748,194407
59610,1.000821,35091419,2678506,160072,149635,431135,149691,160072
60148,1.000877,41241188,2944391,193824,142841,450086,184603,193824
59610,1.000882,35073117,2667405,160114,148392,428567,149978,160115
60148,1.000876,36598110,2753518,168519,148912,437783,158576,168519
60148,1.000864,39898904,2857733,185598,142250,440760,176021,185598
60148,1.000833,35260012,2676635,160017,149435,430730,149802,160017
60148,1.001692,41298490,2946559,194238,143043,450542,184643,194237
60148,1.000719,35023179,2677251,160138,149512,430832,149807,160140
60148,1.000857,40223737,2932777,188146,148177,454908,178339,188145
60148,1.000865,36145299,2676196,165828,142745,423158,156190,165829
60148,1.000816,35110355,2676387,159912,149451,430680,149711,159914
60148,1.000858,41098109,2937682,193937,142050,448567,184597,193940
60686,1.000853,35084096,2676107,160061,149383,430576,149738,160062
60686,1.001347,40026198,2900096,185955,147014,450310,175840,185956
61224,1.000831,36366305,2708694,168214,143847,427683,158442,168214
60686,1.000822,35138563,2677463,160077,149540,430935,149766,160077
60686,1.000851,40986872,2937255,194132,141958,448448,184624,194130
61224,1.000823,35061615,2675241,160237,149287,430388,149749,160237
61224,1.000975,41179197,2981234,194469,146907,458326,184652,194469
61224,1.000823,34738649,2628831,159638,144130,419954,149687,159639
61224,1.000908,35025348,2675685,160165,149390,430540,149768,160164
61224,1.000870,41276831,2933304,193892,141568,447606,184493,193893
60148,1.000877,35055560,2674986,160086,149257,430292,149980,160085
61224,1.001136,39659562,2897393,185877,146729,449714,175724,185877
61762,1.000793,36644722,2712428,168468,144339,428527,158567,168467
61224,1.000856,35090872,2677321,159852,149563,430890,149755,159852
61224,1.000860,41351765,2938909,193934,142198,448820,184739,193934
61224,1.000883,35108664,2675578,160097,149376,430459,149874,160098
62300,1.000942,41329210,2971939,194541,145894,456261,184616,194541
61224,1.000822,34806235,2637421,159634,144955,421852,149822,159637
61224,1.000877,35046221,2676312,159878,149466,430678,149785,159881
61224,1.000865,41073187,2935301,194372,141779,447988,184683,194370
61762,1.000848,35066281,2675297,160038,149287,430440,149719,160040
61224,1.001420,40068241,2901259,187279,145549,448824,177405,187280
61762,1.000804,36250547,2711522,167053,145805,430076,157036,167055
61224,1.000808,35143695,2676131,159721,149423,430600,149807,159724
62300,1.000874,41302668,2935714,194298,141784,448060,184662,194298
62300,1.000879,35176420,2675289,160195,149312,430439,149860,160197
62300,1.000894,41316817,2966191,194177,145327,454967,184658,194179
62300,1.000802,34845186,2644784,159703,145897,423538,149804,159704
62300,1.000741,35049440,2678100,160043,149646,431035,149808,160043
62300,1.000855,41400253,2938669,194446,142148,448738,184697,194447
62300,1.000844,35074877,2678895,160299,149703,431249,149774,160301
62300,1.001125,41382882,2948592,194335,143339,451078,184350,194336
62300,1.000885,35029554,2639571,160166,145385,422352,149922,160167
62838,1.000808,35161016,2674586,159873,149267,430295,149893,159874
62300,1.000869,41118806,2937725,194123,142066,448509,184594,194123
62300,1.000881,35064204,2677189,160004,149513,430855,149774,160004
62300,1.001502,41310849,2964150,194308,145053,454530,184534,194308
62300,1.000786,34855906,2645109,159969,145920,423560,149852,159972
62300,1.000757,35261775,2675936,159960,149395,430578,149837,159962
62300,1.000853,41078227,2935520,194176,141757,448019,184650,194176
62300,1.000872,35078848,2676061,159927,149386,430584,149746,159928
62838,1.000814,41169272,2962104,194394,144824,454053,184613,194392
62300,1.000881,34873906,2652632,159822,146768,425308,149786,159821
62838,1.000788,35189908,2677524,159838,149553,430926,149819,159840
62300,1.000879,41294236,2938437,194391,142108,448678,184712,194390
62838,1.000796,35161824,2679787,160051,149831,431435,149744,160050
62300,1.001198,41317114,2950027,194072,143463,451376,184360,194076
62300,1.000780,35029036,2652967,160006,146839,425395,150096,160008
62300,1.000887,36713384,2752714,168448,148822,437612,158491,168449
62838,1.000850,39754787,2860221,185616,142498,441305,175978,185616
62838,1.000798,35134980,2675072,160143,149285,430407,149728,160145
62300,1.000783,41374865,2948580,194256,143301,451037,184474,194257
62838,1.000849,35009265,2665827,160062,148226,428224,149857,160062
62838,1.000917,36613543,2754303,168461,149055,437977,158492,168461
62300,1.000748,39577488,2856959,185712,142175,440595,175916,185714
63376,1.000822,35097664,2676095,160155,149377,430609,149677,160156
63376,1.000864,41111755,2944587,194207,142857,450160,184480,194210
62838,1.000748,35062867,2667633,160137,148431,428601,149891,160138
63376,1.000841,36723454,2747720,168605,148327,436510,158485,168604
62838,1.000781,39669355,2867375,185845,143326,442908,176072,185847
63376,1.000760,35093839,2675906,159727,149377,430569,149723,159728
62838,1.000797,41120233,2937244,194042,142013,448479,184518,194041
63376,1.000729,35273010,2673986,160214,149152,430066,149727,160216
62838,1.000955,38612795,2848681,179388,148008,446274,169472,179391
63376,1.000755,37598115,2760444,174705,142973,431829,165030,174703
63376,1.000777,35140142,2677981,159839,149607,431030,149734,159841
62838,1.000794,41105031,2946380,194409,143035,450500,184697,194411
63376,1.000757,35035409,2671220,159776,148859,429466,149563,159776
63376,1.000734,40000177,2920022,187367,147481,452823,177576,187368
62838,1.000715,35973986,2694818,166540,144083,426531,156885,166542
63376,1.000772,35074750,2676341,159920,149413,430660,149721,159921
63376,1.000790,41203327,2938272,194196,142114,448682,184598,194197
63914,1.000783,35246318,2675551,159992,149356,430467,149864,159992
63376,1.001646,41215569,2974416,194535,146208,456819,184602,194536
63376,1.000762,34931972,2644883,159869,145859,423525,149832,159871
63376,1.000791,35086110,2679945,159744,149873,431459,149840,159745
63376,1.000864,41227768,2937567,194141,142042,448470,184745,194143
63376,1.000782,35126402,2678833,159938,149681,431220,149814,159938
63376,1.000919,41176978,2957804,194278,144354,453101,184583,194279
63376,1.000849,35148309,2660187,160172,147594,426964,149833,160171
63376,1.000804,35219527,2678962,159815,149740,431249,149872,159817
63376,1.000779,41306445,2938668,194263,142147,448727,184658,194265
63376,1.000785,35054930,2678488,160098,149684,431160,149697,160098
63914,1.000775,41336822,2942261,194072,142582,449594,184539,194074
63914,1.000786,35147380,2675860,160096,149323,430480,149762,160093
63376,1.001419,38514351,2843900,178992,148081,445936,168914,178993
63914,1.000763,37678753,2767190,175156,143070,432588,165609,175157
63376,1.000798,35071300,2675390,160178,149358,430448,149799,160181
63376,1.000785,41064528,2942923,194137,142678,449731,184573,194141
63376,1.000782,35071822,2669518,159905,148669,429088,149813,159905
63914,1.000784,39652272,2905682,185955,147650,451554,175817,185955
63376,1.000830,36332528,2700649,168121,143009,425896,158643,168123
63376,1.000794,35600128,2671009,159958,148912,429487,149942,159961
63914,1.000866,41375815,2938342,194217,142086,448682,184635,194217
64452,1.000777,35024621,2676918,159848,149469,430738,149764,159848
63914,1.001590,38316644,2821731,176815,147421,442932,167185,176816
63914,0.936453,32885480,2458934,149821,133775,391251,141202,149819
