temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.003923,1135714229,673320326,1460037,9391189,72839403,925671,1460037
56920,1.000648,1200763450,692610953,1588654,7856738,74581459,1059833,1588657
57996,1.000591,1200658789,628454543,2302993,2416540,64363084,1810654,2303050
58534,1.000785,1200781261,617166362,2000059,2596929,63923871,1819484,2000052
59610,1.000688,1200762187,626142281,1711524,2477700,66005439,1497673,1711581
59610,1.000901,1201048510,633796336,1473263,2333496,67981907,1162286,1473291
59610,1.000863,1201043745,623593266,1359899,2357012,67486925,1077491,1359867
60148,1.000859,1201016121,625015919,1397543,2342215,67741178,1096723,1397602
60148,1.000799,1200885726,627211872,1633087,2743130,66496326,1177695,1633103
60686,1.001107,1201303182,614986006,1830453,2329500,66723463,1107250,1830562
60686,1.000726,1200792591,618533928,1905088,2227471,66728717,1094747,1905632
60148,1.001157,1201444804,614063055,1997126,2329818,65283911,1323339,1996558
60148,1.000828,1200960478,628608591,2073116,2444773,65385746,1727383,2073152
60148,1.001237,1201439131,628893333,2138592,2510074,64381022,1850751,2138610
61224,1.000828,1200963699,627005479,1670238,2519196,66186503,1413045,1670225
61762,1.000704,1200509840,623726582,1844054,2347365,66893820,1075302,1844734
61224,1.000656,1200516934,614125762,1847232,2200673,66424367,1052157,1847000
62300,1.000897,1200859188,613600525,2037027,2373220,64638238,1559997,2037204
61224,1.000668,1200776848,629606607,2140066,2445068,64773893,1802425,2139979
61762,1.000901,1201005476,631414705,1974768,2502203,65187304,1743139,1974805
62300,1.001301,1201460555,627341956,1641988,2595908,66837974,1206574,1641974
62300,1.000716,1200433758,619160915,1941632,2162280,66544935,1081290,1941856
61224,1.001395,1201238159,609044243,1927208,2250587,65542281,1223481,1927106
62300,1.001077,1201277872,625544377,2134253,2469143,64835231,1742941,2134270
61762,1.000855,1200956128,631349971,2164557,2466209,64790461,1812129,2164576
62300,1.000809,1200951910,629895889,1791842,2479936,66157245,1526573,1791763
62300,1.000507,1200571741,625704139,1723123,2477484,66824447,1064598,1723143
62300,1.000676,1200730798,619521635,1766214,2202584,67105532,1030003,1766281
62300,1.000862,1200745235,611794914,1777810,2256180,66447052,1038039,1777836
62300,1.788519,2145732031,1106645213,3699244,4119982,116454614,2632452,3699282
62300,1.003717,1204400593,625877497,2046732,2521055,64700488,1807844,2046745
62838,1.000792,1200940339,630273497,1767693,2450187,66342183,1524190,1767773
62838,1.000638,1200747990,631748517,1549595,2342646,67293542,1218215,1549608
62838,4.674985,5609922471,2932150139,7072562,11213266,314422477,5335253,7072678
62838,1.000713,1200805259,633610384,2253117,2401946,65070785,1790866,2253110
63376,1.000960,1201105298,628160396,1987891,2518812,64902494,1767705,1987937
64452,1.000903,1201077692,631429586,1645469,2456838,66658927,1418036,1645530
63914,1.000842,1200960258,626747973,1679166,2479904,67268436,1053611,1679163
63376,1.000577,1200465164,611212508,1876388,2227214,65888648,1087575,1876398
63376,1.000975,1200916261,616963325,1926780,2256475,66195738,1223188,1926807
63376,1.000755,1200871265,624722970,2140980,2469894,64660159,1770840,2140981
63376,1.000715,1200838306,632254096,2126816,2465588,64787518,1813434,2126794
