temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001546,1152365603,726230514,2226651,12453380,79509333,771792,2226609
56920,1.000701,1200815479,770492374,2235908,13492501,84219875,686969,2235967
56920,1.000683,1200759749,681858953,2537330,7246894,71003838,1740853,2537348
59072,1.002068,1202391568,631690757,2564491,2990481,62926433,2425924,2564464
59072,1.000877,1200939498,633488308,1798208,2898529,65858528,1644368,1798253
59610,1.000938,1201087292,633249421,1527518,2619639,67086320,1403536,1527551
59072,1.000879,1201025570,630448123,1470286,2673866,67027766,1354276,1470316
59072,1.001357,1201594146,636403153,1424408,2665235,67825070,1320107,1424436
59072,1.000967,1201132293,640556171,1292030,2486209,68310822,1099146,1292068
60148,5.406910,6488312340,3448002320,6419341,13302684,371493285,5336081,6419360
60686,1.455898,1747021751,939281010,2719171,4202394,95895663,2665458,2719279
61224,1.000706,1200817707,646584181,2054847,2754462,65299619,1811968,2054862
61224,1.001028,1201193249,632352408,1598716,2586658,66758023,1398806,1598749
61224,1.000925,1201085177,637229058,1436813,2538642,68153113,1240690,1436803
61224,4.665319,5598346199,2970615099,6876744,12060509,314394523,5983806,6876801
61762,5.181335,6214929981,3229751353,9573340,12089469,344661191,6434134,9573490
62300,1.282550,1538994453,811756395,2583414,3328399,83120951,2435705,2583436
62300,1.000987,1201161709,641262082,1441545,2535786,68338877,1323180,1441583
62300,1.001046,1201249577,639343307,1444278,2494203,67663697,1286238,1444270
62300,1.000644,1200747946,632451953,1345019,2541687,67810856,1194200,1345069
62300,1.000819,1200971442,640489842,1357840,2506965,68401446,1201567,1357875
62838,1.000900,1201064696,635363328,1203006,2430440,68507815,1013663,1203027
62838,4.430280,5315779732,2825400749,5929853,10975350,300949097,5322488,5929879
62838,4.930644,5916796440,3167300066,6686930,12724311,335045820,5863866,6686949
63376,1.001028,1201217524,639727423,1811603,2526830,66972376,1531420,1811628
63376,1.000931,1201093558,631852978,1425623,2522098,67789327,1170442,1425640
63376,1.000867,1201024592,639030159,1454879,2470709,68261337,1198328,1454876
63376,1.000820,1200974763,641359669,1545736,2671363,67318787,1225280,1545862
63376,1.000895,1201113316,627543415,1781048,2285224,67178453,1136650,1780581
63376,3.679192,4414892674,2287659374,6730070,8490555,243724419,4825661,6730095
64452,1.003379,1204027392,639048711,1764817,2691208,66435735,1534091,1764837
64452,1.000958,1201104286,635790895,2069850,2614984,65317802,1775449,2069856
64990,1.001131,1201312696,630590427,1690800,2498325,66754548,1425981,1690792
64452,1.000647,1200748693,628116475,1603052,2495717,66977333,1346838,1603102
64452,1.000883,1201033042,633627668,1571116,2544010,67129185,1301526,1571139
63914,1.000826,1200962241,629599164,1673526,2417149,67635382,1069043,1673573
64452,3.990533,4787399012,2475323714,7855550,9322125,262523033,5484208,7855565
64452,1.000807,1200919249,638443727,2112411,2720123,64790495,2016405,2112400
64990,1.000730,1200844880,638196837,1611793,2648876,66885525,1523744,1611838
64990,1.000880,1201040814,639114348,1503682,2613337,67485267,1413730,1503676
64452,1.000693,1200799237,632748086,1404891,2644583,67275129,1324246,1404953
64990,1.001000,1201168452,646370801,1290302,2502213,69177524,1121919,1290334
64990,4.520752,5424815721,2883301355,5798759,11257775,308657982,4992136,5798963
64990,1.000872,1201011086,641575152,1444421,2652707,67607852,1407564,1444448
64990,1.001213,1201414047,640133700,1359395,2658315,67723317,1291461,1359429
64990,1.001194,1201395276,641320827,1317148,2635049,68216317,1233014,1317164
64990,1.001218,1201446030,641231199,1343441,2613923,68006650,1240379,1343463
64990,1.001105,1201313855,639097921,1333242,2617294,67949712,1236038,1333276
65528,1.001059,1201252884,640316353,1378364,2674949,67600517,1240917,1378387
65528,1.000776,1200817735,629806225,1853714,2427744,66628759,1303645,1853756
65528,1.000893,1200992004,620720063,1822225,2367518,66531929,1308327,1822239
65528,1.000986,1201165572,625646505,1799100,2387286,66820479,1292420,1799121
64990,1.000808,1200941055,623394268,1704365,2419276,66866027,1293305,1704391
65528,1.000835,1200966184,622923491,1716822,2540607,66935547,1356840,1716921
64990,1.000913,1201057571,624200490,1757292,2584574,66428177,1456442,1757314
65528,5.035208,6042147671,3137187020,9227767,11862757,334428619,6010446,9227819
65528,1.000620,1200097180,630458477,2462540,2652789,63009457,2265800,2462550
66604,1.000713,1200810126,633533672,2015402,2649071,64901242,1882459,2015421
66604,1.000897,1201041879,632986866,1642910,2606153,66620810,1534835,1642945
66066,1.000849,1200976462,637966559,1371057,2558683,68291083,1230171,1371082
65528,1.000724,1200865140,637964416,1381448,2467170,67977632,1140725,1381457
65528,1.000633,1200736300,634836842,1237613,2463015,68755845,1057426,1237662
65528,4.195669,5034799285,2670641667,5872675,10517082,283823661,5184873,5872714
66604,1.001082,1201248570,641738841,1943485,2709342,65407365,1560986,1943494
66604,1.000864,1200991035,630092781,1728034,2417936,67651678,1047155,1728050
66066,1.000725,1200820645,617084036,1731044,2249892,67009487,1042828,1731072
66066,1.004027,1204778091,616990750,1774391,2304314,66626226,1114975,1774405
65528,1.000801,1200899889,635478055,2446470,2599291,63832181,2214449,2446561
66604,1.000637,1200736502,639121744,2019243,2610510,65181701,1899746,2019277
66604,1.000815,1200966195,637076070,1545390,2552697,67432462,1414632,1545389
66604,1.000578,1200658897,630713692,1435715,2619850,66930259,1341336,1435759
66604,1.000842,1200885671,638593365,1437541,2577598,67875082,1334971,1437958
66604,1.000910,1201124397,637819315,1279259,2483932,68127119,1099918,1279105
65528,4.250605,5100705454,2715198112,5864589,10769713,288193652,5272481,5864620
66604,1.000816,1200961083,645370458,1361137,2696713,68011718,1355558,1361190
66604,1.000796,1200936208,648947699,1294032,2727311,68330969,1215685,1294043
66604,1.000992,1201160958,637428671,1763796,2616002,66194501,1568893,1763826
66604,1.000856,1201005083,635748106,1486196,2517161,67757162,1317786,1486241
64452,4.436958,2604639211,1405692347,3115964,6385335,149129994,2260362,3115952
