temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.007006,1143136632,609937640,4524682,2627894,69086403,723819,4524551
56920,1.000867,1201020624,638627530,4687447,2683337,72239330,729775,4687472
57458,1.001051,1201234215,645638222,4972183,2584212,72494503,672718,4972304
57458,1.004286,1205110947,645194230,4662315,2629814,73069284,643457,4662302
57996,1.004374,1205244556,651008781,4894242,2575148,73257593,650970,4894308
57996,1.008025,1209597612,648094596,4752441,2657235,73594590,632575,4752433
58534,1.000988,1201145343,645762136,4915233,2571998,72524032,672148,4915266
59072,1.001056,1201170470,646900526,4678434,2609101,73424025,607728,4678991
58534,1.000850,1201066503,649077782,4900234,2577729,72915891,665603,4899745
57996,1.000902,1201033043,639979213,4672962,2629754,72426746,647120,4673191
59072,1.000797,1200933067,647693826,4916628,2583144,72720501,666366,4916741
59072,1.000796,1200931835,640374325,4691515,2637281,72608216,621110,4691486
59610,1.000768,1200899573,652761118,4909982,2534943,73342626,652894,4910043
59072,1.001035,1201215170,643554961,4663023,2612777,73044830,612253,4663026
59072,1.000964,1201145087,648389640,4931488,2580314,72719882,663185,4931477
59610,1.000677,1200791368,643623396,4731334,2636450,73112472,618544,4731346
59610,1.000699,1200809089,643618667,4813682,2581216,72099465,687883,4813770
60148,1.000774,1200869862,646789562,4653165,2616198,73464600,614776,4653177
59610,1.000980,1201168435,644878660,4884102,2571038,72241263,669031,4884224
60148,1.000717,1200844901,646346017,4677030,2621210,73394812,610554,4677008
59610,1.000759,1200879219,650050499,4920660,2568721,72944001,664383,4920724
60148,1.001008,1201185208,644646539,4716747,2619390,73211443,616200,4716768
60148,1.001021,1201210041,648875959,4887301,2558213,72801712,674683,4887293
60148,1.001040,1201219124,642010015,4685380,2622777,72813374,615805,4685398
60686,1.000958,1201140238,647533903,4929489,2582065,72646270,677854,4929550
60148,1.000807,1200939120,642935522,4688312,2630913,72975659,640250,4688283
60148,1.000777,1200904469,649210717,4857748,2555527,72836718,660659,4857803
61224,1.001041,1201230205,644872502,4709397,2636841,73210123,613937,4709396
61224,1.000951,1201125733,647548243,4923081,2590817,72566056,664585,4923148
60686,1.000909,1201055276,641747921,4686376,2637166,72779837,625156,4686360
61224,1.001060,1201243732,648434872,4867871,2582471,72767763,672228,4867892
60686,1.001028,1201219797,647501503,4679575,2614805,73525985,607178,4679593
60686,1.000943,1201111667,649616694,4855057,2570762,72880072,670102,4855089
61224,1.000995,1201172734,643839096,4724639,2633538,73067487,616613,4724662
61224,1.000952,1201135237,647653093,4834715,2560851,72675205,678426,4834773
61762,1.008776,1210514386,646884975,4821037,2674031,73457712,634071,4820994
61224,1.000586,1200664523,649390340,4784570,2548759,72853091,667154,4784640
61224,1.000841,1200987810,640954915,4570965,2617551,72696098,630649,4571063
61224,1.000891,1201019700,648680958,4947297,2576756,72796301,670900,4947305
61224,1.000832,1200968924,641227327,4672106,2752987,73184337,675252,4672189
60686,1.000874,1201026905,649498595,4861595,2558143,72882022,659028,4861609
61762,1.000849,1201001800,644786172,4751375,2638938,73194258,608414,4751451
61224,1.000874,1201027724,647688885,4834415,2560280,72727977,672993,4834408
61224,1.000914,1201065307,644514066,4748844,2631405,73151497,617335,4748861
61224,1.001441,1201692882,645331878,4894375,2581593,72392646,672134,4894437
62300,1.001032,1201222773,643618795,4701138,2631660,73105355,631166,4701072
61762,1.001058,1201245001,645383758,4335855,2506022,72347619,715357,4335895
61762,1.001410,1201678325,644027590,4675427,2617513,73120449,617616,4675482
62300,1.001090,1201288594,646376110,4968165,2581026,72543949,660666,4968276
61762,1.001006,1201184361,643378089,4649019,2610615,73042121,622092,4649071
62300,1.001085,1201276500,648552433,4864657,2575335,72834809,677401,4864606
61762,1.001129,1201251622,643009948,4653249,2619747,72779961,638936,4653895
62300,1.000849,1201074349,647606997,4784478,2572417,72913898,661042,4783956
62300,1.001077,1201269967,644828491,4745086,2633902,73166935,619672,4745106
62300,1.001091,1201289702,648081558,4813131,2549875,72780432,662036,4813157
62300,1.001073,1201254161,641440139,4699812,2624908,72683546,649256,4699850
62300,1.001065,1201261808,648480521,4862172,2575605,72930052,659845,4862196
62300,1.000997,1201169806,643902149,4678025,2623184,73148768,623573,4678094
62300,1.000778,1200919821,647063066,4833699,2560836,72521319,662965,4833740
62300,1.000790,1200929742,644935866,4708882,2625185,73191387,610138,4708851
62300,1.001320,1201558142,647038679,4897313,2602123,72624928,661844,4897438
