temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001688,1127628974,929919733,1529571,19348378,106161299,156524,1529613
56920,1.003020,1203616523,1000201380,1581987,20995753,114129127,85174,1582029
56920,1.003361,1203901630,804788043,2446227,3814168,85409170,2524082,2446269
59072,1.002817,1203347007,909672383,751910,1202257,108832443,911838,751945
59072,1.000736,1200876250,949735892,289909,834523,116440702,334823,289949
59072,1.000622,1200738265,971181931,43510,630634,120554423,43103,43548
58534,1.204849,1445808329,1164678797,101244,816565,144364705,103883,101280
59072,1.739306,2087152522,1668036312,350177,1296888,205335493,376545,350212
59610,1.001954,1202313613,954620985,270744,807817,117081820,319179,270823
59072,1.000588,1200700458,952261269,274527,809842,116864227,316802,274507
60148,1.000600,1200701898,944362774,368205,875960,115264722,434114,368227
60148,1.000608,1200717206,953054174,274940,807397,116925875,315788,274957
60148,1.000576,1200677912,952360640,279626,814040,116904016,320110,279646
60148,1.000572,1200674548,951168009,288927,832696,116684634,331288,288947
60148,1.000557,1200656247,951198595,290069,837399,116665424,326864,290090
60148,1.000563,1200667170,950919485,289521,830525,116670827,334615,289542
60148,1.000566,1200665183,950062017,298855,842316,116411450,341059,298877
60686,1.000600,1200702229,951993248,277951,821551,116786916,325536,277972
60686,1.000625,1200734736,950958491,293848,842157,116619395,328204,293872
60686,1.000591,1200694280,952557002,277590,819058,116939292,319520,277610
60686,1.000602,1200707139,952338103,284182,819028,116804724,328570,284205
61224,1.000593,1200525529,913360931,693478,1376156,107957387,723215,693499
61224,1.000635,1200707808,946325317,346653,854707,115697172,394462,346674
61224,1.000568,1200378321,951314827,281291,828590,116589090,318252,281314
60686,1.000556,1200584530,958170412,204077,750560,117921659,237541,204097
61224,1.000569,1200422705,952838100,264239,810003,116871044,304474,264263
61224,1.000579,1200672292,935453502,369625,1256810,112340234,363385,369643
61224,1.450837,1740995628,1330419928,935641,1890090,158734080,980500,935660
61762,1.000605,1200713293,938780766,383516,973999,114591973,458025,383538
62300,1.000565,1200659117,945991831,340258,858976,115831056,410340,340281
61224,1.000571,1200607017,943037126,360113,956801,115307544,410215,360135
62300,1.000584,1200647670,966402086,87356,689576,119701489,87898,87376
61762,2.141923,2570270017,1996362668,1099930,2057725,241107922,1335187,1099953
62300,1.000544,1200644873,936351053,438806,950358,113779019,548409,438828
62300,1.000500,1200584461,946248666,326877,864873,115823641,403640,326898
62300,2.381289,2857549137,2305403727,184024,1559423,285565120,202809,184043
62300,1.000495,1200569851,960149696,172045,746023,118316384,211222,172108
62300,1.000486,1200570119,958436280,184153,751858,118064279,233665,184173
62300,1.000486,1200577290,953568863,238874,790302,117046323,315891,238894
62300,1.000466,1200524587,934140039,419933,1138046,113333465,533306,419999
62300,1.512708,1815233359,1418348056,592935,1616356,171774086,601350,592876
62838,1.000520,1200613272,948026760,284462,921032,116292013,348257,284486
62838,1.000504,1200599996,968979998,65772,706977,120215559,51507,65796
62300,1.000477,1200567434,973422800,18113,613655,120952894,9187,18134
62300,1.000463,1200518903,935590768,432522,1063950,113510876,476251,432543
62838,1.000520,1200615910,969953261,50213,675034,120357118,26782,50234
62300,4.651080,5581260111,4488920592,463974,3543328,554093507,282526,463994
62838,2.544814,3053720765,2317636720,2099443,2955589,274414111,2414369,2099520
63376,1.000544,1200666199,911997470,689032,1367289,107674783,778157,688941
63376,1.000863,1201000897,943788045,369280,885697,115112567,452089,369305
62838,1.000927,1201103233,952603570,250263,808628,116997471,320940,250283
63376,1.000884,1201043541,953390802,248643,799059,117038325,324027,248666
63914,1.000899,1201037130,952255483,263433,830088,116787607,322801,263454
63376,1.000947,1201100531,961603808,140087,749113,118673597,151605,140109
63376,2.234457,2681332074,2107745070,839597,1971872,256791510,990669,839621
63914,1.000567,1200666049,944196153,344954,959513,115267125,406907,344975
63914,1.000557,1200652982,947353585,319912,913896,115840536,370428,319936
63376,1.000621,1200638777,935033875,429227,1124815,112798893,430883,429249
63376,1.000690,1200809512,947107788,307304,938830,115963426,345913,307326
63914,1.000606,1200704392,943220130,341331,960480,115275178,395130,341351
63914,1.000704,1200832027,949813538,303625,819299,116391613,352997,303643
64452,1.000686,1200803756,949036671,308954,848780,116279229,357550,308974
63914,1.000677,1200800187,956784282,245321,782140,117538738,266621,245343
