temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001440,1141322409,826214851,2713975,1546165,101264952,148562,2713906
56382,1.000504,1200560426,875685338,2927541,1501993,107403740,38902,2927561
56920,1.000493,1200559051,876574532,2890118,1475625,107535582,36067,2890139
57996,1.000496,1200579281,878942221,2871038,1447954,107858100,23062,2871059
57458,1.000496,1200585071,877355855,2924732,1462004,107639357,20058,2924753
57996,1.000490,1200571607,876472524,2947799,1472143,107516680,22538,2947902
57996,1.000506,1200600579,877233552,2922545,1475760,107661399,23389,2922502
57996,1.000491,1200584666,879402294,2864048,1452717,107912035,19514,2864149
57996,1.000521,1200601538,876864927,2936284,1477143,107581041,22135,2936230
59072,1.000492,1200586778,878185039,2900402,1462429,107765264,20337,2900422
57996,1.000492,1200585614,878900752,2900309,1458759,107827673,10853,2900330
57996,1.000488,1200573991,879157761,2885660,1453138,107860652,13416,2885680
57996,1.000487,1200573590,877569107,2930630,1464373,107674923,14946,2930650
58534,1.000490,1200582644,879139935,2885212,1459456,107900945,12388,2885234
59072,1.000491,1200581246,878474557,2907377,1455687,107793961,13687,2907396
59072,1.000500,1200584428,879502891,2871853,1448184,107922033,15094,2871955
59072,1.000567,1200673208,878539332,2903245,1458526,107785639,14223,2903190
59072,1.000488,1200567577,878445335,2906706,1458962,107778110,13671,2906727
59072,1.000492,1200578495,878938505,2890030,1456244,107866514,14329,2890051
59072,1.000491,1200580425,877991171,2914590,1469562,107710386,15253,2914689
59072,1.000534,1200619906,879346071,2874165,1456067,107900219,15257,2874144
59072,1.000488,1200579676,877846941,2925720,1463264,107729678,14697,2925741
60148,1.000583,1200696550,878533937,2910074,1458885,107799969,12622,2910097
60148,1.000570,1200681436,878212827,2920443,1452896,107742157,13646,2920536
60148,1.000617,1200686368,881004375,2821488,1452618,108156612,14668,2821573
60148,1.000624,1200710093,877943500,2922305,1464211,107715950,14852,2922285
60148,1.000564,1200665652,879330601,2880926,1460485,107900067,12524,2880950
59072,1.000566,1200667293,879039675,2883061,1463344,107878867,15429,2883080
60148,1.000604,1200705191,878184343,2920666,1463585,107762350,12580,2920685
60148,1.000579,1200687559,880074203,2862341,1444351,107993278,12673,2862434
60148,1.000609,1200664709,878583731,2891242,1464666,107844493,17330,2891194
60148,1.000573,1200670551,878507025,2898293,1467736,107825789,15577,2898450
60148,1.000631,1200705256,878524953,2892315,1472862,107819775,17099,2892384
60148,1.000608,1200692576,879466370,2876023,1451059,107941734,14637,2875999
60686,1.000591,1200697829,877942597,2917773,1470923,107723689,15364,2917793
60686,1.000577,1200671786,877261809,2941757,1463837,107616691,15275,2941888
60686,1.000594,1200667343,879993248,2852358,1448396,108045992,16711,2852335
60148,1.000589,1200693971,876627194,2961651,1478032,107534759,13572,2961750
60686,1.000595,1200677915,878997778,2888401,1456381,107896602,14996,2888446
60686,1.000552,1200623100,879687161,2855713,1445799,107951589,17564,2855689
60148,1.000524,1200600578,879334978,2874134,1454323,107895681,15068,2874156
60686,1.000544,1200638409,877535766,2931705,1468751,107667834,14593,2931728
60686,1.000537,1200620527,879463075,2871441,1457599,107968240,15037,2871540
61224,1.000561,1200653649,878832987,2895393,1458846,107856094,13669,2895382
60148,1.000543,1200635964,878156642,2913386,1465814,107747440,14637,2913408
60686,1.000601,1200702386,878030791,2918620,1467498,107724607,13585,2918662
60686,1.000556,1200658096,879287093,2887059,1458513,107904872,11261,2887081
60686,1.000546,1200654236,879144471,2882021,1453321,107869695,14787,2882107
60686,1.000561,1200662284,878162842,2902407,1468529,107797295,17910,2902351
61224,1.000538,1200625015,878402132,2905198,1456949,107774381,14056,2905219
61224,1.000599,1200701394,879926252,2866800,1443751,107995024,13558,2866900
61224,1.000603,1200713327,878462151,2926179,1464703,107769634,16350,2926238
60686,1.000554,1200661856,878508815,2931829,1463146,107803123,13148,2931801
60686,1.000564,1200671246,878091709,2940840,1460331,107723797,15410,2940861
60686,1.000543,1200646961,877812971,2948347,1457688,107700162,16814,2948366
60686,1.000604,1200715794,877111634,2976664,1473553,107597817,14670,2976795
61224,1.000568,1200675277,879848552,2895118,1443887,107984363,13684,2895097
61762,1.000548,1200649842,877595703,2959518,1460778,107671823,15340,2959625
61224,1.000607,1200719325,879011895,2897264,1476309,107913025,15251,2897230
61224,1.000550,1200639741,876561652,2863309,1506240,107686237,42142,2863326
61224,1.000555,1200644695,877087040,2944056,1459694,107615381,19268,2944077
61762,1.000544,1200639096,877674982,2954134,1480483,107731079,13422,2954264
