temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001589,1138720968,687976820,1282232,1688339,79302160,786255,1282154
56382,1.000574,1200681352,730986694,1242843,1652226,84574584,724690,1242863
57458,1.000561,1200668732,731363915,1223364,1630099,84572782,685986,1223378
57996,1.000736,1200874666,739194672,1344672,1558112,85102076,716991,1344692
57996,1.000693,1200827026,732384760,1239823,1624008,84690868,697233,1239844
57996,1.000856,1200999997,730003535,1234414,1640178,84403908,695224,1234485
57996,1.000952,1201142392,739159593,1335842,1559642,85147639,716817,1335843
57996,1.000721,1200855878,733605103,1242964,1620693,84814234,695939,1242973
57996,1.000689,1200819463,733384066,1226301,1623982,84861030,687780,1226321
57996,1.000707,1200813456,733996467,1350010,1581643,84513596,723423,1350020
58534,1.000594,1200706564,734505079,1255312,1619310,84886723,699519,1255322
59072,1.000681,1200802277,732853098,1223246,1631439,84796989,685625,1223288
59610,1.000923,1201112043,734412334,1329771,1586648,84594624,721461,1329766
59072,1.000723,1200860299,730923434,1266112,1635153,84377924,700822,1266133
59072,1.000696,1200828079,736029201,1214772,1607529,85262890,682413,1214781
59610,1.000723,1200863900,731594196,1326427,1603207,84223242,726605,1326447
60148,1.000725,1200851621,736643221,1251381,1601159,85130564,688543,1251430
59610,1.000957,1201145054,734503992,1225251,1625995,84984060,688688,1225253
60148,1.000612,1200733303,732823981,1272622,1597396,84658536,711206,1272639
60148,1.000635,1200754173,732329642,1319114,1610092,84245519,716616,1319122
59610,1.000712,1200849531,732170555,1227548,1638804,84675231,688696,1227571
59610,1.000702,1200813411,734603283,1294292,1590031,84754154,707335,1294312
59610,1.000681,1200815907,735629010,1292007,1598675,84822518,701763,1291921
60148,1.000591,1200705160,733698187,1228894,1621420,84961041,692554,1228916
60148,1.000601,1200718607,733108292,1255881,1620280,84759579,705615,1256028
60148,1.000751,1200886837,737717581,1316467,1581541,84972256,711728,1316446
60686,1.001025,1201217725,732256433,1236385,1632103,84721270,696503,1236411
60686,1.000973,1201168350,728725679,1304571,1622901,83981481,720630,1304568
60148,1.000571,1200680377,739363693,1284519,1582083,85329623,693254,1284537
60686,1.000564,1200675872,733028968,1226744,1617922,84847295,695171,1226756
60686,1.000631,1200748138,733350511,1214924,1626114,84877754,683997,1214941
61224,1.000636,1200762531,735508550,1363118,1581254,84492712,721973,1363138
60686,1.000582,1200695970,731780481,1233672,1635057,84652488,691900,1233693
61224,1.000637,1200759998,734618513,1209073,1616880,85031893,680028,1209083
60686,1.000639,1200756456,736154602,1353006,1575958,84590996,722315,1353023
61224,1.000780,1200920179,728355655,1239028,1651624,84206560,699714,1239063
61224,1.000969,1201162793,734598687,1222899,1613710,85013010,689830,1222891
61224,1.000725,1200850761,732445344,1361493,1600194,84133008,728717,1361549
61224,1.001012,1201209430,736850799,1213939,1612137,85345316,679587,1213957
61224,1.001066,1201263684,734442153,1215987,1623117,85016867,680738,1216014
61224,1.000934,1201123011,735853380,1363525,1584661,84611238,727489,1363521
61224,1.000655,1200777577,733079684,1223602,1625633,84813421,689057,1223622
62300,1.000623,1200742679,733113602,1219838,1627518,84831329,681282,1219859
61762,1.000740,1200883967,735861872,1355773,1579894,84543213,724078,1355793
61224,1.000805,1200944949,731781236,1230823,1633867,84608178,695885,1230881
61224,1.000990,1201191809,735206764,1215515,1625113,85134862,679908,1215515
61762,1.000656,1200781686,735585653,1358350,1581137,84482953,722285,1358369
61762,1.000709,1200845218,731234315,1231094,1633547,84553056,699759,1231113
