temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
54768,1.001695,1159815918,967735558,92851,10052019,115773080,83013,92814
55844,1.000481,1200570471,940378779,683352,4913963,110940550,740060,683373
56920,1.000509,1200560389,891029737,1070422,1291167,103906112,1243469,1070441
58534,1.000533,1200624480,933598840,497904,959911,112969337,602224,497925
59072,1.000512,1200599009,941620249,314679,1152302,113935861,254646,314700
59072,1.000559,1200105163,969567934,62132,693956,120226977,23025,62153
60148,1.742243,2090301764,1610528805,1133764,1776734,193056197,1251127,1133782
59072,1.000520,1200596967,896457975,970108,1259516,105235661,1138234,970126
59072,1.000524,1200617219,936379373,387701,1039555,113469560,416923,387719
60148,1.000554,1200614976,962659925,113888,889953,118448544,59652,113905
60148,1.000743,1200858421,971118723,50821,672242,120443858,19545,50839
60148,1.000569,1200427221,971730895,40868,651440,120611163,14163,40888
60148,1.109015,1330768796,994583930,1112444,1378932,116509297,1284800,1112462
60148,1.000616,1200687892,901554180,907296,1226952,106120057,1089027,907317
60686,1.000648,1200759990,935141399,406308,1065260,113235051,426374,406323
60686,1.000598,1200654087,962643298,119490,890367,118396340,57110,119509
61224,1.000646,1200545903,958796878,202091,794215,117982304,179991,202110
60686,1.000567,1200669958,895669484,1048804,1238615,104846860,1182408,1048819
60686,1.000637,1200684295,901202068,939700,1213874,106031277,1107657,939750
61224,1.000697,1200830600,939119672,361876,1074868,113782981,361464,361875
61762,1.000656,1200726076,969727803,66261,696620,120219084,25191,66243
61224,1.000605,1200664617,970613572,58400,685185,120332135,19211,58419
61224,1.000619,1200699203,970975307,51556,673436,120447434,19832,51575
61762,1.923519,2308170437,1785276214,1178107,1935641,214501736,1303588,1178121
61224,1.000608,1200697652,900395035,933416,1239093,105853470,1115688,933437
62300,1.000613,1200697327,930536451,442334,1243830,111808303,424950,442353
62300,1.000639,1200705991,969540455,72250,715581,120110587,22993,72269
62838,1.000632,1200583965,957378641,215815,771343,117704825,220761,215834
62300,1.000635,1200751409,898151092,1007011,1249639,105045300,1189058,1007098
62300,1.000683,1200802337,904968113,840935,1206633,106836245,1051604,840907
62300,1.000530,1200622026,934113513,386844,1208248,112555676,383281,386863
62838,1.000682,1200503004,970138802,61794,688813,120290245,22225,61812
62300,1.000572,1200323638,970004899,62320,695568,120239322,20502,62341
62300,1.000589,1200587127,908228026,885043,1149619,107443275,986484,885064
62300,1.000611,1200671207,893712486,1053874,1289311,104353229,1223977,1053962
