temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.001494,1157174839,934963629,42745,625216,116155544,35070,42679
56920,1.002850,1203414901,974664107,20040,613433,121141840,12987,20061
56920,1.000836,1201001760,972731201,19205,606373,120921620,9950,19226
56920,1.000470,1200557322,973408389,16881,598616,120966065,6473,16904
57996,1.000455,1200545813,973530490,17286,596936,120972936,5544,17307
57996,1.000493,1200588119,973066763,19374,606757,120935492,8311,19397
57996,1.000458,1200548097,973399769,16964,599097,120975368,6431,16987
57996,1.000449,1200536014,973252038,18268,604522,120990422,6462,18290
59072,1.000445,1200532564,973487971,16736,597227,120978119,6054,16756
58534,1.000450,1200538404,973375238,16951,599339,120967116,6660,16975
57996,1.000449,1200535806,973561990,16815,597191,121008587,5296,16834
58534,1.000481,1200573999,972840037,19624,608900,120881611,9616,19645
59072,1.000461,1200548408,973475305,16772,597122,120951561,5979,16793
59072,1.000455,1200543482,973383798,17609,601480,120968441,5942,17630
59072,1.000447,1200532802,973459932,16868,597701,120972143,6329,16888
59072,1.000447,1200534628,973382789,16989,598098,120959442,6345,17009
59610,1.000454,1200540661,973557330,16616,596204,120978187,5287,16637
59072,1.000499,1200592505,973279072,17939,599589,120933409,7904,17978
59072,1.000458,1200546955,973470415,16908,596813,120978141,6198,16930
59610,1.000456,1200538554,973300417,17422,601627,120976109,6491,17443
59610,1.000446,1200531853,973443923,17000,597654,120961538,6224,17021
59072,1.000451,1200535338,973458774,16792,596825,120965407,6451,16815
59072,1.000455,1200545092,973432450,17201,598446,120975326,5783,17222
60148,1.000503,1200598050,973333812,17280,598690,120958826,7911,17302
60148,1.000473,1200562640,973422891,17344,598285,120962632,6370,17364
60148,1.000457,1200528698,973454631,17483,600359,121020690,6104,17504
60148,1.000447,1200534241,973420158,16634,598193,120981169,6087,16655
60148,1.000454,1200542630,973527745,16528,596665,120976044,5583,16549
60148,1.000455,1200542876,973505590,16913,598190,120981946,5567,16933
60686,1.000492,1200586208,973391998,17215,598518,120974906,7147,17236
60148,1.000461,1200551122,973328934,17961,600072,120971926,7442,17982
60148,1.000466,1200556652,973504428,17112,599226,121006069,5494,17135
60148,1.000454,1200541679,973397632,16692,598715,120988396,6674,16713
60686,1.000454,1200543139,973526321,16387,596232,120988473,5888,16409
60686,1.000466,1200556227,973441302,17359,598755,120972525,6285,17379
60686,1.000498,1200593753,973125929,19191,602235,120921661,8548,19211
60686,1.000468,1200559944,973282797,17704,601253,120947947,7324,17725
60686,1.000453,1200539697,973270798,18337,604264,121008801,6673,18356
60686,1.000452,1200536894,971018623,33192,674883,120816079,8911,33213
61224,1.000458,1200544346,972470352,21324,622667,120894278,8262,21346
60686,1.000461,1200551360,972624197,17281,598598,120869053,7026,17303
60686,1.000483,1200575207,973008342,19332,608009,120976977,8977,19352
60686,1.000459,1200545973,973406841,17037,598179,120971373,6461,17058
60686,1.000465,1200554560,973463146,17441,599652,120997709,6003,17461
60686,1.000449,1200535005,973316045,17202,599200,120948714,6979,17223
60686,1.000456,1200567080,973582669,16031,596370,120998307,5581,16052
60686,1.000467,1200558527,973530050,16799,597098,120981638,5741,16818
61224,1.000502,1200598682,973284445,17485,599734,120944587,7712,17505
60686,1.000462,1200550861,973463444,16823,596733,120970818,6299,16843
61224,1.000460,1200550388,973407757,17300,600676,120987535,6176,17320
61224,1.000449,1200536635,973374664,17231,597729,120950251,6802,17251
61224,1.000458,1200544971,973430543,16896,597436,120954474,6210,16917
61224,1.000507,1200607478,973641745,16246,596481,120998482,5190,16268
60686,1.000498,1200594587,973207623,17790,599976,120932735,8037,17812
61224,1.000473,1200563277,973498106,16750,597041,120985730,6041,16771
61224,1.000508,1200606632,973351127,17773,601599,120984698,6765,17794
61224,1.000503,1200602321,973526351,16644,596491,120966036,6323,16666
61224,1.000461,1200549411,973450868,16643,597572,120978292,6325,16663
61762,1.000505,1200603642,973598268,16813,596509,120993681,5543,16836
61224,1.000496,1200593460,973025833,18584,602276,120932872,9986,18604
61224,1.000472,1200562384,973526172,16776,597307,121005853,6279,16795
61762,1.000502,1200602433,973358527,17845,601646,120975474,6907,17867
61762,1.000454,1200541821,973428872,16852,597303,120968608,6604,16873
61224,1.000459,1200547463,973417493,16846,598022,120973621,6617,16866
61762,1.000525,1200612867,973620257,16824,596450,120993234,5660,16844
61762,1.000491,1200587757,973253948,17545,601109,120941208,7998,17565
61762,1.000467,1200554810,973426519,16986,596918,120945465,6454,17006
61762,1.000508,1200609649,973330370,18120,603566,120976410,6899,18140
61762,1.000473,1200565174,973371380,17413,600276,120972557,6562,17434
62300,1.000462,1200547933,973254463,17947,602914,120956088,7075,17970
61762,1.000509,1200608273,973499400,18054,599445,120977497,6288,18074
61762,1.000469,1200558251,973040052,18157,605140,120919054,8208,18177
61762,1.000464,1200555546,973513321,16157,596310,120965112,5969,16178
61762,1.000505,1200602456,973408058,17355,600664,120967301,6638,17375
61224,1.000464,1200553873,973379734,17078,598065,120952614,6362,17099
62300,1.000465,1200554135,973366397,17811,599087,120961464,6745,17832
61224,1.000585,1200698294,973394808,17672,599848,120944658,7021,17694
61762,1.000548,1200656634,973566477,16738,596464,120982817,6142,16759
61762,1.000465,1200551099,973393321,16876,598422,120952186,6320,16897
62300,1.000505,1200605292,973454004,17077,598952,120975027,6195,17098
61762,1.000460,1200548160,973349441,17232,598825,120949291,6757,17252
62300,1.000538,1200642199,973562475,16790,596353,120987303,6014,16809
61762,1.000550,1200657323,973419157,18118,599885,120975533,7235,18139
62300,1.000468,1200561305,973537383,16832,595789,120987645,6180,16852
62300,1.000478,1200567332,973422946,17372,598316,120962210,6549,17394
62300,1.000505,1200602599,973545817,17075,599787,120991367,5467,17095
61762,1.000461,1200551932,973402639,17380,598268,120984933,6659,17401
62300,1.000466,1200553899,973554632,16497,596150,121005608,5961,16517
62300,1.000561,1200672647,973423230,18076,599919,120997047,7459,18099
62300,1.000468,1200558929,973553595,16620,595844,121013065,5811,16641
62300,1.000869,1201040004,973786764,17301,597604,121014287,6557,17322
61762,1.000890,1201064807,973851279,17333,599403,121031213,6002,17352
62300,1.000853,1201022834,973772938,16922,598308,121017571,6666,16945
62300,1.000852,1201016563,973933023,16459,595987,121050910,5845,16479
62300,1.000916,1201098099,973704109,18514,601235,121029713,7915,18533
62300,1.000867,1201038865,973942485,16612,596687,121045627,5930,16634
62300,1.000857,1201022829,973785591,17373,599103,121047876,7070,17395
62300,1.000896,1201074846,973899358,17523,599963,121068836,5869,17542
62300,1.000855,1201023296,971533337,33058,674231,120857687,7822,33077
61762,1.002919,1203502033,973226014,23802,632503,121018288,18802,23823
62838,1.003034,1203637543,974801834,19108,605499,121130253,9209,19133
62300,1.000479,1200566400,973063812,18052,602046,120931626,8862,18069
62838,1.000471,1200559899,973397677,17107,597741,120971592,6769,17128
62300,1.000508,1200608147,973448443,17621,600482,120983004,5745,17642
62300,1.000464,1200553357,973468393,16872,597502,120971668,6147,16897
62300,1.000463,1200551178,973363168,17359,599362,120968744,6722,17379
62300,1.000519,1200622107,973592860,16849,596832,120978999,5836,16869
62300,1.000474,1200566456,973469321,16926,597838,120988195,6275,16949
62300,1.000463,1200553810,973541023,16964,596682,120977684,6150,16985
62300,1.000507,1200605681,973438608,17800,600740,120972289,6226,17821
62300,1.000460,1200550130,973423399,17526,598326,120947626,6549,17546
62300,1.000500,1200596977,973318949,17674,600377,120934202,7410,17696
63376,1.000524,1200626486,973591322,16558,597811,120980927,5475,16579
62300,1.000462,1200551832,973428676,16962,598289,120950138,6312,16982
62300,1.000500,1200596010,973488153,16913,596954,120968428,6642,16934
62300,1.000507,1200606388,973408462,17594,601380,120957900,6261,17613
62300,1.000458,1200547166,973516875,16562,597040,120999142,6208,16582
62300,1.000499,1200595645,973130228,18070,600518,120917801,8665,18092
62838,1.000519,1200620316,973630316,16117,596891,120986968,5362,16138
62838,0.946251,1135149125,919393739,24495,576620,114235792,14284,24517
