temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.002433,1147430946,770141208,6013506,12904070,87851504,87216,6013601
56920,1.000625,881307582,513285756,3511421,5190666,49126397,2287969,3511394
57996,1.000661,140317006,69868918,421926,673288,6775608,487245,421941
57996,1.000846,518704480,302100956,2823096,1790479,33204748,297474,2823196
56920,1.000556,679472011,359409973,2358301,2123153,30755249,2562977,2358281
59072,1.000616,107913773,57143418,351558,573937,5607768,383742,351580
57996,1.000868,44352035,23594471,80502,377433,2889512,59186,80520
56920,1.000831,110996305,65940301,228217,597782,6514607,146785,228237
56382,6.721566,977825056,538382760,2974801,4479721,51526211,2739920,2974864
58534,1.000599,163044434,92403708,354920,908496,8984038,377472,354924
56920,1.000815,64522446,38198417,86455,525273,4398791,50254,86478
56920,1.000991,122357722,74695497,221345,690165,7435642,131074,221371
56382,5.690212,921669851,506619383,2851576,4036255,48056843,2663267,2851643
58534,1.000587,156839070,85107303,465385,809600,8239690,473944,465372
57458,1.001166,135356366,73455275,456370,705453,7007805,480461,456451
56920,1.000863,135854311,74983111,443990,735935,7251010,435549,443969
56920,1.000954,119608460,64460775,405888,654850,6326233,400351,405899
56920,1.000763,65043340,36006465,130121,470704,4091140,100578,130140
56382,1.431766,234522300,125498642,800416,1084790,11703105,793889,800437
57458,1.000809,112270151,62291719,369049,596597,6116046,389923,369070
56920,1.000976,111305397,60957982,369750,591985,5939682,389172,369774
56920,1.001147,126223097,69055070,439697,650809,6570291,466269,439801
56920,1.000861,119804912,64816320,339723,663541,6473860,321289,339715
57996,1.000946,58625777,35228567,80844,480445,4108955,39445,80859
56920,1.000728,168424730,105709429,291680,862087,10081355,164077,291697
56920,1.000560,113269803,72245915,156518,668944,7118780,120247,156534
56920,1.000605,53067496,31120379,107119,369234,3458966,27741,107140
57458,1.000927,42502472,25311006,50996,363804,3099024,16560,51009
56382,1.000942,41578350,24777929,53698,352337,3064707,13101,53716
56382,1.000869,55417062,32665780,94436,410736,3666399,34289,94454
56382,1.000890,57461147,33810624,101469,419801,3790448,37959,101491
56382,1.733440,720105920,393075470,2347499,2423650,34612365,2596655,2347581
57996,1.000700,92836726,50016580,228980,520664,5191590,233134,228975
56920,1.000957,41760331,24469980,48878,360498,3018247,15599,48898
56920,1.001015,39626155,23303113,38700,348253,2889046,14380,38721
56920,1.000911,124517975,76474277,276564,801980,7951052,144250,276576
56382,4.096064,832629980,456607650,2660825,3380891,41780566,2646557,2660840
58534,1.000696,155004849,81387674,499015,719893,7769645,523575,499030
57458,1.001063,129409286,69322748,404233,647593,6775071,406187,404245
57996,1.000818,328874508,189708359,899831,1395198,17360039,828323,899847
56920,3.968154,720248857,391816530,2358813,2958365,36297101,2279352,2358837
