temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55844,1.001686,1142633361,796091487,3940323,18096912,87974939,444042,3940289
56920,1.001144,1201347218,828786262,4233023,18184517,91689099,399842,4233083
57458,1.001195,1201345928,678402105,3574291,10260545,69016315,1681428,3574339
59072,1.000575,1200672400,560148349,2638778,3083006,51764557,2557327,2638824
59610,1.000616,1200726017,521325217,2041004,3073709,50597886,1760418,2041083
60148,1.000791,1200914831,523074848,2006133,3083337,50648058,1777388,2006122
60148,1.000900,1200919382,519621796,1979676,3165981,50751980,1838300,1979722
60148,1.001004,1201180037,522586233,1855744,3017283,50782637,1608710,1855763
60686,2.367207,2840635277,1243363964,4396461,7138311,120309024,3890659,4396493
60148,1.001025,1201140469,534593333,1820076,3106387,51377130,1719410,1820083
60686,1.000997,1201137234,534685773,1733713,3130906,51625454,1609963,1733741
61762,1.000891,1201042855,537596662,1670965,3154565,52047289,1522531,1670995
61224,1.001141,1201349001,537092516,1620223,3148377,52093973,1482186,1620237
61762,1.000824,1200991665,536361614,1634929,3161632,51968244,1510293,1634943
61224,1.001005,1201181108,540407285,1635644,3174186,52154498,1526744,1635656
61224,1.000814,1200851059,534813974,1617898,3202951,51885705,1532190,1617918
61224,1.000880,1201020624,538269894,1604923,3184833,52161731,1491963,1604956
61224,1.000923,1201070432,537597997,1622383,3250984,52720340,1531283,1622400
62300,1.000633,1200745049,537684201,1598574,3182113,52041874,1493901,1598617
62300,1.000805,1200941368,536958060,1572407,3173761,52049558,1469203,1572445
62300,1.000802,1200815608,533447647,1610606,3194734,51700340,1499837,1610619
62300,1.000719,1200843438,536649209,1592961,3176145,51904664,1455079,1592973
62300,1.000810,1200949878,536828720,1592569,3181815,51964139,1454144,1592587
62838,1.000816,1200931515,537886605,1604600,3149231,51861478,1447144,1604647
62300,1.000610,1200752714,561358256,2290293,3154284,53043395,1608175,2290301
62838,1.000838,1200849516,499930282,2471065,2706955,48852515,1522732,2471089
62300,1.000838,1200708469,506863340,2408638,2757017,49310868,1530524,2408678
62838,5.117953,6140985082,2616758469,12068145,13993348,252527196,7750035,12068178
62838,5.515809,6618944550,2851559005,11703002,15686027,275979252,8452618,11703016
63376,1.000800,1200951691,531628418,1909494,3094302,51386369,1749267,1909511
63914,1.000818,1200933041,532114748,1887983,3065720,51051638,1796996,1888019
63376,1.000827,1200815141,520516854,1806389,3084031,50612697,1761970,1806414
64452,1.001101,1201297590,528709959,1819396,3094153,51064240,1734921,1819472
64452,1.000656,1200766940,527545798,1664348,3079692,51323192,1505020,1664355
63376,2.137601,2565104047,1138821650,3606012,6621425,110140268,3336860,3606047
64452,1.001082,1201185337,532716841,1699167,3165108,51843211,1590405,1699183
64452,1.000997,1201174822,534295255,1671916,3144444,51738813,1546615,1671936
64452,1.001097,1201293850,535214681,1676071,3155891,51803303,1550982,1676081
64452,1.001068,1201252894,534816750,1650428,3146469,51740436,1549376,1650492
64452,1.001117,1201237360,537837897,1628482,3144580,51944603,1478524,1628663
63914,1.000808,1200889786,532099868,1632766,3155760,51717617,1486043,1632751
64452,1.001154,1201366097,536273291,1638996,3147341,51906233,1458932,1639037
64990,1.000835,1200976137,537823469,1597679,3164377,52025558,1426574,1597698
64990,1.001108,1201309637,538488625,1554395,3177184,52137537,1406294,1554426
64452,1.001093,1201290425,539280706,1532514,3182934,52202470,1398413,1532552
64990,1.000778,1200591308,528277466,1796240,3093526,51211607,1489510,1796259
65528,1.001131,1201148864,528376039,1895826,3047185,51105235,1494330,1895855
65528,1.001112,1201217193,530767290,2180170,3022800,51243027,1465892,2180195
64990,1.001090,1201283852,518382665,2720980,2826100,49837926,1619460,2721026
65528,1.000929,1201075850,502202756,2710160,2712886,48792645,1643651,2710184
65528,1.001288,1201515636,507226474,2561424,2736790,49212103,1595680,2561502
64990,1.001168,1201384966,507875809,2463770,2775600,49373215,1561648,2463803
64990,1.001110,1201123241,524757679,2478024,2945707,50288073,1628346,2478054
64990,1.000950,1201104228,506850730,2498572,2766454,49351237,1576065,2498592
65528,1.000945,1201121837,503720235,2396140,2737098,49141468,1445811,2396170
65528,1.760199,2112182519,900368275,4204507,4995790,87386297,2798320,4204526
65528,1.000976,1200989467,516590488,2300703,2958053,50028138,1756036,2300740
66066,1.001028,1201212928,519327658,2173893,2949073,50604782,1608607,2173947
65528,1.033475,1240130716,537786158,2277439,3034740,52132362,1640215,2277541
65528,1.000918,1201070225,518579365,2144314,2977204,50373328,1653089,2144337
