temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001633,1140170874,859785655,873806,26058572,91386215,594255,873731
56920,1.001088,1201295556,912818210,967173,27526319,96579273,566803,967187
57996,1.001085,1201248654,613530303,3007503,5142896,56018775,3083402,3007553
59072,1.000967,1201071597,536696813,2194500,3083659,50948056,2052014,2194531
59610,1.000981,1201032180,522428029,1895826,3047599,50551366,1690563,1895862
59610,1.001158,1201359027,516072297,1762552,2922817,50430035,1425637,1762588
60148,4.769346,5723173878,2501658605,8704188,14129596,242115120,7569730,8704201
60686,5.427354,6512804493,2909751712,8817497,16735524,281056598,8223716,8817587
61762,1.000653,1200773585,549447536,1674922,3238183,52473832,1714087,1674887
61224,1.000661,1200782629,541736580,1515275,3256235,52459925,1494574,1515325
61224,1.001840,1202180489,544163727,1532746,3194397,52317324,1448694,1532754
61224,1.001019,1201198357,541133328,1423784,3188435,52531144,1310383,1423823
61762,1.000865,1201018577,532983995,1454749,3190332,51932583,1374143,1454819
61224,1.000672,1200694309,538755213,1597811,3175265,52002934,1450450,1597789
61762,1.000822,1200876494,530256333,1787876,3064080,51236676,1460099,1787910
61762,1.000810,1200906940,521404128,1974143,3029610,50786142,1544665,1974176
62300,1.000874,1200887732,519118514,2085551,2966479,50350771,1583346,2085578
62300,1.000890,1200976915,516915163,2025617,2907341,50102767,1474182,2025656
62300,1.048032,1257592871,540906901,2276703,3071152,52352704,1709017,2276741
62300,1.001425,1201545594,516195138,2215765,2912273,49889359,1622412,2215729
62300,1.000887,1200578642,508649406,2293984,2853629,49450137,1614276,2294074
62300,1.000891,1201044097,511481431,2236741,2871052,49747723,1610524,2236764
62838,1.000849,1200780865,517250972,2164491,2948488,50058488,1658887,2164559
62300,5.350515,6420581163,2816769826,11603910,15488102,271285731,7932772,11603931
63376,1.557543,1868710735,838223743,4268601,4457910,78467798,3429383,4268704
63376,1.000714,1200872230,520973389,2208792,2940631,50160527,1711685,2208718
63376,1.001212,1201433430,522487631,2109918,3008811,50337853,1765149,2109947
63376,1.001130,1201326059,522310390,2016351,3041108,50446354,1780517,2016365
63376,1.001143,1201328202,522637200,1938660,3048195,50661141,1721999,1938688
63376,1.001052,1201229052,524528486,1962712,3013365,50482247,1750536,1962812
63376,1.000893,1201035451,522706698,1877004,3045105,50666705,1717868,1877026
63914,1.000920,1201096076,529395424,1852285,3070378,51191559,1680812,1852312
63376,1.000830,1200964849,526517140,1698253,3059294,51255158,1491724,1698281
63376,1.026934,1232286863,540345860,1798074,3141904,52390051,1597408,1798083
63376,1.000927,1201083175,530910195,1752310,3068390,51331153,1547359,1752432
63376,1.000858,1201002636,527227560,1714658,3116762,51353164,1564298,1714670
64452,1.003228,1203833542,535000349,1776757,3133344,51561338,1643725,1776775
63914,1.000774,1200900245,529351685,1730428,3183570,51684191,1602531,1730453
64452,1.000816,1200956871,532325082,1711026,3092454,51560998,1526812,1711057
63914,5.923556,7108239824,3147668034,9808172,18032551,305122324,8496996,9808207
64990,1.000912,1201082706,545684086,1631425,3225013,52340116,1574455,1631453
64452,1.000772,1200886757,542515561,1579215,3242363,52531236,1518609,1579245
64990,1.002971,1203401577,536749340,1716982,3192773,51959858,1556163,1717007
64452,1.000927,1200764505,533398154,1927233,3075373,51171429,1598319,1927259
64990,1.000974,1201151553,517237552,1827482,2897257,50615648,1282259,1827502
64452,2.341651,2809768993,1219060437,4594525,6874239,118439631,3441905,4594555
64452,1.000674,1200458847,526176860,2047605,2983257,50639535,1574171,2047630
64990,1.000991,1201091001,516273914,2196793,2917577,50089408,1572430,2196844
64990,1.000809,1200711354,529188614,2262051,2975976,50804605,1551335,2262065
64990,1.000951,1201130560,518950039,2351580,2880992,50130351,1604246,2351608
64990,1.000814,1200720351,515898121,2331338,2900168,50091180,1557880,2331309
65528,1.001131,1201331397,511686829,2364205,2790305,49513018,1525317,2364246
64990,1.001073,1201076942,528541550,2271610,2953446,51054852,1559734,2271635
64990,1.000669,1200705136,528127960,2437488,2962325,50850542,1722776,2437525
64990,1.000884,1200919901,533163050,2376541,2986785,51025906,1710879,2376582
