temp,delta_t,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_BRANCH_MISSES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL_read_miss,PERF_COUNT_HW_CACHE_L1D_read_miss
55306,1.001783,1133210208,554309967,5338239,2814708,60881557,800105,5338251
56920,1.000751,1200884261,585015678,5597614,2918467,64387155,776165,5597672
57996,1.000852,1200997622,587327300,5599126,2897811,64637016,744977,5599228
57996,1.000820,1200968816,590323531,5753455,2851744,64467447,775455,5753502
58534,1.000772,1200910557,587893631,5647163,2910672,64735291,740051,5647188
58534,1.000745,1200876575,586863303,5609437,2905412,64634396,744864,5609528
58534,1.000782,1200912741,589955650,5765810,2855588,64494868,774816,5765809
58534,1.000833,1200988578,585041320,5564471,2919771,64351305,785926,5564557
59072,1.000868,1201032424,586760087,5622190,2941518,64796675,766124,5622253
59072,1.000835,1200837439,588677987,5777083,2840037,64356609,798903,5777102
59072,1.000887,1200932860,586090803,5622713,2919022,64666046,763290,5622778
60148,1.000914,1201079791,587472881,5650035,2898030,64700241,737326,5650133
59072,1.000857,1200923256,587487436,5720846,2866853,64351085,784448,5720911
59610,1.000849,1200853572,587477179,5631770,2890316,64525324,753957,5631877
59072,1.000762,1200862578,588635972,5678488,2888944,64913289,734223,5678534
60148,1.000800,1200812413,587699021,5702860,2874961,64617632,775612,5702925
59610,1.000782,1200857094,585728575,5564794,2951180,64282638,801224,5564818
60148,1.001040,1201207304,586041637,5537489,2905713,64471218,750650,5537577
60148,1.003466,1204140429,592577252,5778373,2866948,64802955,769075,5778439
60148,1.003265,1203895648,588558743,5604712,2906130,64732434,770324,5604763
60148,1.004642,1205519568,589050029,5581348,2919178,64860369,755341,5581392
60686,1.003300,1203933464,592732782,5779331,2860710,64778810,776570,5779399
60148,1.003368,1204023570,587388808,5576879,2910116,64633423,765050,5576951
60686,1.003647,1204306082,590529192,5654888,2910122,65092546,732165,5654864
